COGID	Albanian	English	French	German	Latin
560-1	v ɔ m i				
438-1	u r e				
1222-1	u t				
353-1	p i e				
201-1	k ae n o				
20-1	k f r				
503-1	p l e n				
957-1	e n o				
728-1	l au g				
244-1	n u m ə n				
289-1	n u t				
911-1	r u n d				
724-1	s r o				
145-1	d v				
992-1	k u z				
1181-1	k u n d				
741-1	p au				
560-2		w ɑ m ə t			
438-2		w ə r m			
1222-2		w f ɑ			
353-2		f ɑ s au			
201-2		w ɪ n d			
20-2		w ɑ t ə r			
503-2		p l ɪi t			
957-2		θ ɪ n			
728-2		s au ŋ			
244-2		n au			
289-2		n u t			
911-2		r n t			
724-2		t r ɑ t			
145-2		t w			
992-2		w ɑ t			
706-2		ɑ k			
106-2		f ɛ ð ə r			
741-2		p au k			
421-2		b l ɑ m			
227-2		f i t			
560-3			v ɔ m i		
438-3			v ɛ r		
1222-3			u v		
353-3			p i		
201-3			k u n		
20-3			k u r		
503-3			p u r i		
957-3			i n		
728-3			l ɑ̃ g		
244-3			n u m ə n		
289-3			n a t		
911-3			r ɑ̃ t		
724-3			d r w a t		
145-3			d v		
992-3			k u z		
1181-3			s ɑ̃		
706-3			ʒ ə n u		
106-3			p ɑ̃		
741-3			f v		
421-3			b l u s		
227-3			p u ʒ		
560-4				v u m ə n	
438-4				v u r	
1222-4				i v	
353-4				f i z u	
201-4				v i n d	
20-4				v a s ə r	
503-4				f l e	
957-4				e n	
728-4				z u k	
244-4				n u m ə n	
289-4				n u x t	
911-4				r oː t	
724-4				d r e	
145-4				d uː	
992-4				v	
1181-4				h e n	
706-4				e h	
106-4				f e r n	
421-4				f l o	
227-4				f uː s	
560-5					w e m e
438-5					w e r o
1222-5					o g
353-5					p e s o
201-5					p uː n
20-5					k o r
503-5					p l a
957-5					e n e
728-5					l o n gʷ a
244-5					a o m i n
289-5					n uː n
911-5					r oː n
724-5					s t r eː
145-5					d uː
992-5					w e t
1181-5					k u n i
706-5					o g o
106-5					p e nː a
741-5					p i k
421-5					f l u m i n
227-5					p uː d
