COGID	Albanian	English	French	German	Latin
560-1	g j				
438-1	u r				
1222-1	u g				
353-1	p e ʃ				
201-1	f y n				
20-1	f oi ə r				
503-1	p l				
957-1	e n				
728-1	l au g				
244-1	n u m ə n				
289-1	n o f				
911-1	w i n t				
724-1	d r iː				
145-1	t u				
992-1	k u				
1181-1	k u n t				
741-1	p au k				
1150-1	k u n t				
585-1	t e				
814-1	w i r e				
916-1	t				
1079-1	b e b				
630-1	o n ʒ u t				
343-1	j ɛ l o				
560-2		w ɑ t			
438-2		w r i			
1222-2		o v			
353-2		p ə s au			
201-2		f ɪ s			
20-2		f oi ə r			
503-2		p l o			
957-2		t ə			
728-2		l a ŋ			
244-2		n u m ə r			
289-2		n ɑ t			
911-2		w ɑ t ə l			
724-2		t r ə			
145-2		t w ɑ			
992-2		w ɪ			
706-2		ɑ k l ɑ			
106-2		p a t r			
741-2		d ɛ s			
421-2		f l ai			
227-2		p ʊ θ			
920-2		h ɑ r t			
1083-2		h ɑ r l			
1066-2		j f			
1125-2		j n o			
1197-2		m a r i d			
473-2		l ai v ɑ l			
284-2		l a s ai			
661-2		ɑ l			
701-2		r o j			
315-2		r au θ			
1169-2		s i l			
1150-2		ʃ au r t			
982-2		s ɪ θ s			
987-2		s i d			
1055-2		s t ɛ l			
1130-2		s ə			
433-2		s ɑ l i			
625-2		l ɪ n			
1186-2		d a			
416-2		w ɑ			
1233-2		w ə n d			
884-2		w i r i d i			
1016-2		ɛ n ə m a l			
952-2		ɛ d			
78-2		b l i s			
514-2		b r ɛ l			
116-2		ɛ t ɛ			
188-2		f r ɑ h l			
745-2		f ɪ n			
1100-2		f r ɛ f t			
47-2		h m i n			
111-2		l ɛ k			
1061-2		m ɑ t ɛ			
24-2		n u f d			
232-2		n ə n			
671-2		r ɛ f t			
560-3			g o n		
438-3			u r		
1222-3			u v		
353-3			p o s k		
201-3			p ɪ s e		
20-3			p u r i		
503-3			p u r i		
957-3			i		
728-3			s a n		
244-3			n u m i		
289-3			n u f		
911-3			w r i		
724-3			s r		
145-3			t w		
992-3			k u		
1181-3			s u n d		
706-3			u ʒ u		
106-3			p u r i		
741-3			p ʒ k u		
421-3			p n u m		
227-3			p u t		
920-3			k o r i		
1083-3			k u o		
1066-3			o f		
1125-3			g o		
1197-3			m u n d		
473-3			u		
284-3			n e s u		
661-3			u		
701-3			r u t		
315-3			r u n		
1169-3			s a n d		
1150-3			s a r t		
982-3			s eː m i		
987-3			s u		
1055-3			s t o r		
1130-3			s u ʒ		
433-3			s u n		
585-3			t y		
625-3			t i ŋ		
1186-3			t e n		
814-3			v ɑ̃ r i		
416-3			v ɔ t		
1233-3			v ɛ n t		
884-3			v i r m		
916-3			ɛ t		
1016-3			ɛ i m i		
952-3			a		
514-3			r o		
1079-3			b j b		
1100-3			p r u f t		
47-3			k ʒ u m i		
111-3			ɛ k u		
1061-3			m ɔ̃ t i		
1155-3			g a n s		
343-3			v w t ə r		
671-3			r o f t		
560-4				v a m i	
438-4				a r e	
1222-4				u v	
353-4				f eː ʃ k	
201-4				f eː k	
20-4				k a n d	
503-4				f l e n	
957-4				t ə	
728-4				l au g	
244-4				n au m ə n	
289-4				n ai s	
911-4				r eː z	
724-4				d r eː	
145-4				t oː	
992-4				h au	
1181-4				k a l	
706-4				ai k au l a	
106-4				f aː l	
421-4				f l uː z	
227-4				f uː t	
920-4				h a r t	
1083-4				h a r n	
1066-4				g ə	
1125-4				g ə n ə	
1197-4				m eː n	
473-4				n au b e l	
284-4				n eː ʃ	
661-4				v ə l	
701-4				r au b	
315-4				r au l t n t a	
1169-4				ʃ a l	
1150-4				ʃ au r ts	
982-4				z aː m ə n	
987-4				z l g	
1055-4				ʃ t ai l	
1130-4				z uː g	
433-4				z au l aː g	
585-4				ts oː	
625-4				l ə g	
1186-4				t ə n d	
814-4				a r e ts	
416-4				v a s	
1233-4				b eː l t	
884-4				v ə r m	
78-4				f l eː	
514-4				b r uː l aː	
116-4				eː t	
188-4				f a r l	
745-4				f aː d a	
1100-4				f r uː ts	
630-4				n k v z t	
1155-4				k au l e	
24-4				n a s	
232-4				n au n k	
671-4				t r v a ts	
560-5					w u m
438-5					w r s
1222-5					o g
353-5					p eː k
201-5					p aː w
20-5					k u n t r
503-5					p u t r i d o
957-5					t n
728-5					s aː ŋ
244-5					n u m e
289-5					n aː f t
911-5					w u t e
724-5					s r aː
145-5					t u
992-5					k u
1181-5					k u n t
706-5					u g i
106-5					p u t r i d o
741-5					p k u
421-5					p t o m
227-5					p u t i
920-5					k o r t i n
1083-5					k u n t
1066-5					g i
1125-5					g i n u
1197-5					m u n d r
473-5					n u w aː
284-5					n eː s i
661-5					u n
701-5					r u t
315-5					r u n t
1169-5					s o t
982-5					s iː t
987-5					s n u
1055-5					s t o n
1130-5					s e k
433-5					s u n u
585-5					t e
625-5					t i g
1186-5					t eː n u
814-5					w eː r i d i
416-5					w o t
1233-5					w i n
884-5					w i r m
916-5					aː
1016-5					aː n e m e l
952-5					aː
78-5					b l eː s
1079-5					b iː
116-5					o t
188-5					p o r n
745-5					p e n u r
47-5					k m a n
111-5					l aː k
1061-5					m u n aː e
630-5					n g u s t
1155-5					k u s
24-5					n o f t
232-5					n u
343-5					w w aː t e r
