COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	g a							
5-1	n a							
4-1	tʰ i k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	u							
60-1	s i							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ l u							
92-1	pʰ l a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d u							
107-1	pʰ l a							
112-1	pʰ ɔ ŋ							
115-1	ɕ							
114-1	t ɔ m							
120-1	d a							
124-1	a							
125-1	tʰ ɔ k							
132-1	ɕ i							
131-1	r i ŋ							
136-1	b u							
134-1	kʰ a k							
137-1	ɔ							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɔi							
149-1	m i k							
153-1	ɕ							
152-1	kʰ ɛ n							
158-1	kʰ i s							
163-1	l i							
164-1	ɲ u							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	tʰ ɔ n							
183-1	r ɛi							
185-1	m a							
188-1	kʰ u n							
189-1	ts i n							
193-1	h ɛ							
196-1	m a							
199-1	tɕʰ ɛi							
200-1	kʰ ɛ n							
201-1	kʰ i							
202-1	kʰ u							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	ɲ a m							
117-1	b u							
146-1	kʰ i p							
219-1	pʰ							
218-1	tɕʰ i							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	w a t							
255-1	n a s							
260-1	b ɛ							
263-1	r ɔː							
269-1	dʑ ɛ k							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m a m							
278-1	b ɔ ŋ							
135-1	d a							
284-1	m u							
797-1	u							
290-1	l i							
289-1	k i s							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	r ɛ							
327-1	tʰ i							
331-1	k u							
337-1	b ɛ n							
338-1	n i ŋ							
339-1	a							
350-1	kʰ u							
349-1	tʰ u ŋ							
357-1	tɕʰ a							
355-1	ɔ							
363-1	m a n							
361-1	tʰ ou							
365-1	s a ɹ							
364-1	dʑ ɛ s							
375-1	r ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ u							
396-1	j ou							
400-1	m a							
405-1	d a ŋ							
404-1	s u m							
409-1	r ɛ k							
410-1	i k t							
415-1	b ɛi							
416-1	b u							
101-1	ɲ a							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	tɕʰ ɛ n							
445-1	p							
446-1	ɕ i							
451-1	t a							
457-1	n a m							
456-1	b l a							
464-1	pʰ i ŋ ŋ							
473-1	tɕʰ i							
474-1	ɔ ŋ							
479-1	s i ɹ							
489-1	j ɛi							
490-1	h a ŋ							
494-1	ɕ a							
503-1	kʰ u							
502-1	ɕ a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ ɛ ŋ							
538-1	ɕ							
544-1	w a m							
850-1	a							
554-1	dʑ u							
553-1	d i n							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p a							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	ɔu							
582-1	l ɛi							
585-1	a t							
589-1	kʰ u m							
593-1	d ɛ n							
594-1	l u ŋ							
595-1	tʰ u ŋ							
596-1	ɲ ɔ k							
598-1	ʑ a							
599-1	d i m							
602-1	ʑ ɛi							
603-1	l a p							
606-1	s ɔ m							
605-1	b ɔ							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	r ɛ ŋ							
168-1	h ɛ k							
658-1	h ɔ n							
665-1	pʰ a							
668-1	kʰ a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m ɛ n							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	ts u m							
704-1	m a							
176-1	l a							
709-1	s							
710-1	t ɔ p							
714-1	m ɛ t							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	ts i ŋ							
726-1	dʑ ɛ ŋ							
729-1	b u							
730-1	d i							
739-1	pʰ l i							
740-1	b a							
741-1	kʰ ɔ p							
1-2		g uː						
5-2		n a						
4-2		tʰ i k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		l ɔ						
56-2		a						
60-2		s ɛː						
61-2		kʰ y ŋ						
80-2		dʑ ɔ k						
87-2		tɕʰ ɐ						
86-2		pʰ l u						
92-2		pʰ l						
102-2		m ɛ̃ː						
106-2		pʰ u k						
108-2		d ə						
107-2		pʰ l ɐ						
112-2		pʰ ɔ m						
115-2		s						
114-2		t u ŋ						
120-2		d u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i ŋ						
136-2		b ə						
134-2		kʰ ɐ k						
137-2		a						
138-2		d ɔ k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː						
147-2		h ɛː						
149-2		n i k						
153-2		s						
152-2		kʰ ɛ n						
158-2		k yː k						
163-2		l i						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ øː						
183-2		r ɛː						
185-2		m uː						
188-2		kʰ ə n						
189-2		tɕ i n						
193-2		h ɛ						
196-2		m ɐ̃ː						
199-2		tɕʰ ɛː						
200-2		kʰ ɛ n						
201-2		tɕʰ i						
202-2		kʰ ə						
203-2		tʰ u ŋ						
204-2		b yː						
206-2		n a m						
117-2		b yː						
146-2		tɕʰ eˀ						
219-2		pʰ						
218-2		tɕʰ ɛː						
224-2		m ɔ̃ː ŋ						
240-2		tɕʰ ɐ k						
244-2		j ɔ̃ː						
255-2		n ɐ̃						
260-2		b ɛˀ						
263-2		r ɔː						
269-2		dʑ ɛ k						
271-2		tʰ ɐ k						
209-2		tɕʰ eˀ						
277-2		m ə						
278-2		b u ŋ						
135-2		d ə						
284-2		m yː						
797-2		a						
290-2		l ɛ ŋ						
289-2		tɕ i k						
296-2		n i						
310-2		s						
319-2		iː						
325-2		r ɛ						
327-2		tʰ ɛː						
331-2		k ɔː						
337-2		b ɛ n						
338-2		l i ŋ						
339-2		ɐ̃ː						
350-2		kʰ ə						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		m ə n						
361-2		tʰ ɔː						
365-2		s a l						
364-2		dʑ ɛ ʔ						
375-2		r u k						
379-2		s ɛ t						
380-2		kʰ a						
396-2		j ɔː						
400-2		m uː						
405-2		d a ŋ						
404-2		s ø n						
409-2		r ɛ k						
410-2		i k						
415-2		b ɛ̃ː						
416-2		b a						
101-2		n u						
37-2		kʰ uː						
424-2		pʰ ɛː						
434-2		tɕʰ ɛ n						
445-2		p						
446-2		s iː						
451-2		t u						
457-2		n a m						
456-2		b l uː						
464-2		pʰ i ŋ						
473-2		tɕʰ iː						
474-2		ɔ ŋ						
479-2		s ɛ n						
489-2		j ɐ						
490-2		h ɐ̃ː						
494-2		s ə						
503-2		g ə						
502-2		z a ŋ						
235-2		l y ŋ						
519-2		l iː						
523-2		u k						
527-2		tɕʰ ɛ ŋ						
538-2		s						
544-2		j a n						
850-2		a						
554-2		dʑ ə						
553-2		r i n						
558-2		kʰ ɔ̃ː ŋ						
561-2		s a						
562-2		p ɐ						
564-2		j ɛː						
567-2		m ɔ						
570-2		pʰ yː						
575-2		ɔː						
582-2		l a						
585-2		ɔ̃ː						
589-2		kʰ ø n						
593-2		d ɛ n						
594-2		l ə n						
595-2		tʰ øː						
596-2		n ɔ k						
598-2		z u						
599-2		d ɛ̃ĩ						
602-2		z ɛː						
603-2		l a p						
606-2		s ɔ m						
605-2		b ɔ						
620-2		l ɛ̃ː						
637-2		pʰ ɐ k						
639-2		dʑ ɔː						
645-2		kʰ ɔ						
646-2		r ɛ ŋ						
168-2		h ɛ k						
658-2		h a n						
665-2		pʰ uː						
668-2		h uː						
677-2		t a ŋ						
75-2		k u ŋ						
678-2		s uː						
682-2		m ɛ n						
493-2		z yː						
693-2		s ə						
694-2		m uː						
702-2		tɕ ø n						
704-2		m uː						
176-2		l uː						
709-2		s						
710-2		t ɔ						
714-2		m ɛ						
718-2		kʰ ə						
719-2		tɕʰ ɔ̃ː ŋ						
22-2		m yː						
723-2		tɕ i ŋ						
726-2		dʑ ɛ ŋ						
729-2		b						
730-2		r ɛː						
739-2		pʰ l iː						
740-2		b ə						
741-2		kʰ ɔ k						
1-3			g a					
5-3			n a					
4-3			tʰ e k					
6-3			n a ŋ					
15-3			dʑ i					
55-3			l ɔ					
56-3			a					
60-3			s i					
61-3			kʰ u ŋ					
80-3			dʑ ɔ k					
87-3			tɕʰ a					
86-3			pʰ a u					
92-3			pʰ l a					
102-3			m i					
106-3			pʰ ɔ k					
108-3			d u					
107-3			pʰ l					
112-3			pʰ ɔ m					
115-3			ɕ					
114-3			tʰ ɔ m					
120-3			d a					
124-3			a					
125-3			tʰ ɔ k					
132-3			ɕ i					
131-3			l i ŋ					
136-3			m u					
134-3			kʰ a k					
137-3			a					
138-3			d ɔ k					
140-3			h a					
143-3			tɕʰ a k					
145-3			tɕʰ a m					
147-3			h ui					
149-3			m i t					
153-3			ɕ					
152-3			kʰ ɛ n					
158-3			kʰ i s					
163-3			l i					
164-3			ɲ u					
167-3			pʰ a ŋ					
171-3			ɲ u ŋ					
172-3			b u k					
173-3			tʰ ɔ n					
183-3			l i					
185-3			m a					
188-3			g u n					
189-3			ts i n					
193-3			h ɛ					
196-3			m a					
199-3			ɕ ui					
200-3			kʰ a n					
201-3			kʰ i					
202-3			kʰ ɔ					
203-3			tʰ ɔ ŋ					
204-3			b u					
206-3			ɲ a m					
117-3			b u					
146-3			kʰ ɛ					
219-3			pʰ ɔː					
218-3			tɕʰ i					
224-3			m a ŋ					
240-3			ɕ a k					
244-3			j a t					
255-3			n a s					
260-3			b ɛ					
263-3			l u					
269-3			g ɛ k ŋ					
271-3			tʰ a k					
209-3			kʰ ɛ					
277-3			m ɛ m					
278-3			pʰ ɔ ŋ					
135-3			d a					
284-3			m u					
797-3			a					
290-3			l i ŋ					
289-3			tɕ i s					
296-3			n i					
310-3			ɕ i					
319-3			i					
325-3			l ɛ					
327-3			tʰ i					
331-3			k u					
337-3			b ɛ n ŋ					
338-3			a i ŋ					
339-3			a					
350-3			kʰ u					
349-3			tʰ u ŋ					
357-3			tɕʰ a					
355-3			a					
363-3			m a n					
361-3			tʰ au					
365-3			s a l					
364-3			g ɛ tʰ					
375-3			l ɔ k					
379-3			ɕ ɛ t					
380-3			kʰ a					
396-3			j au					
400-3			m a					
405-3			d a ŋ					
404-3			s u m					
409-3			l ɛ k					
410-3			i k t					
415-3			b i					
416-3			b a					
101-3			ɲ a					
37-3			kʰ a					
424-3			pʰ ui					
434-3			ɕ ɛ l					
445-3			p					
446-3			ɕ i					
451-3			t u					
457-3			n a m					
456-3			b a a					
464-3			pʰ i ŋ ŋ					
473-3			ɕ i					
474-3			ɔ ŋ					
479-3			s i l					
489-3			j i					
490-3			h a ŋ					
494-3			ɕ a					
503-3			g u					
502-3			tɕʰ a ŋ					
235-3			l u ŋ					
519-3			l i					
523-3			u k					
527-3			kʰ ɛ ŋ ŋ					
538-3			ɕ					
544-3			j a m					
850-3			a					
554-3			b u					
553-3			d i n					
558-3			kʰ a m					
561-3			ɕ a					
562-3			p a					
564-3			j i					
567-3			m a					
570-3			pʰ u					
575-3			au					
582-3			l a					
585-3			a t					
589-3			kʰ u m					
593-3			d ɛ n					
594-3			l u ŋ					
595-3			tʰ u ŋ					
596-3			ɲ a k					
598-3			ʑ a t					
599-3			d ɕ m					
602-3			ʑ i					
603-3			l a p					
606-3			s u m					
605-3			b ɔ					
620-3			l i					
637-3			pʰ a k					
639-3			dʑ u					
645-3			kʰ ɔ					
646-3			l i ŋ					
168-3			h ɛ k					
658-3			h a n					
665-3			pʰ a					
668-3			h a					
677-3			t a ŋ					
75-3			k ɔ ŋ					
678-3			ɕ a					
682-3			m a n					
493-3			ʑ u					
693-3			ɕ a					
694-3			m a					
702-3			ts u m					
704-3			m a					
176-3			l a					
709-3			s					
710-3			t ɔ p					
714-3			m ɛ t					
718-3			kʰ a					
719-3			tɕʰ a m					
22-3			m u					
723-3			ts i ŋ					
726-3			dʑ i ŋ					
729-3			b ɔ					
730-3			d i					
739-3			pʰ l i					
740-3			b a					
741-3			kʰ ɔ p					
1-4				g uː				
5-4				n a				
4-4				tʰ i k				
6-4				n a ŋ				
15-4				dʑ i				
55-4				l ɔ				
56-4				a				
60-4				s aː				
61-4				kʰ y ŋ				
80-4				ɖʐ ɔ k				
87-4				tsʰ ɐ				
86-4				pʰ l u				
92-4				pʰ l				
102-4				m a				
106-4				pʰ u k				
108-4				d a				
107-4				pʰ l ɐ				
112-4				pʰ ɔ m				
115-4				ʂ				
114-4				tʰ u ŋ				
120-4				d u				
124-4				a				
125-4				tʰ ɔ k				
132-4				ʂ ə				
131-4				r i ŋ				
136-4				b ə				
134-4				kʰ ɐ k				
137-4				a				
138-4				d ɔ k				
140-4				h uː				
143-4				tɕʰ ɐ k				
145-4				tsʰ ɔ̃ː				
147-4				h aː				
149-4				n i k				
153-4				ʂ				
152-4				kʰ ɛ n				
158-4				kʰ i k				
163-4				l i				
164-4				n yː				
167-4				pʰ a ŋ				
171-4				n y ŋ				
172-4				b y k				
173-4				tʰ øː				
183-4				r aː				
185-4				m uː				
188-4				g ə				
189-4				ts i ŋ				
193-4				h ɛ				
196-4				m ɐ̃ː				
199-4				tsʰ aː				
200-4				kʰ a n				
201-4				ʈʂʰ i				
202-4				kʰ				
203-4				tʰ u ŋ				
204-4				b yː				
206-4				n a m				
117-4				b yː				
146-4				ʈʂʰ ɛˀ				
219-4				pʰ				
218-4				tɕʰ aː				
224-4				m ɔ̃ː				
240-4				tsʰ ɐ k				
244-4				j ɐˀ				
255-4				n ɐ̃				
260-4				b a				
263-4				r ɔː				
269-4				g ai k				
271-4				tʰ ɐ k				
209-4				ʈʂʰ ɛˀ				
277-4				m ə				
278-4				b u ŋ				
135-4				d a				
284-4				m yː				
797-4				a				
290-4				l ə n				
289-4				ts i k				
296-4				n i				
310-4				ʂ ə				
319-4				iː				
325-4				r a				
327-4				tʰ aː				
331-4				k ɔː				
337-4				b a n				
338-4				l i ŋ				
339-4				ɐ̃ː				
350-4				kʰ ə				
349-4				tʰ y ŋ				
357-4				tɕʰ u				
355-4				a				
363-4				b a				
361-4				tʰ ɔː				
365-4				s a yː				
364-4				g a ʔ				
375-4				r u k				
379-4				ʂ ɛ t				
380-4				kʰ a				
396-4				j ɔː				
400-4				m uː				
405-4				d a ŋ				
404-4				s ø n				
409-4				r ɛ k				
410-4				i k				
415-4				b a				
416-4				b a				
101-4				n u				
37-4				kʰ uː				
424-4				pʰ aː				
434-4				tsʰ ɛ n				
445-4				p				
446-4				ʂ iː				
451-4				t u				
457-4				n a m				
456-4				b l uː				
464-4				pʰ i ŋ				
473-4				tsʰ iː				
474-4				ɔ ŋ				
479-4				s i n				
489-4				j ɐ				
490-4				j ɐ̃ː				
494-4				ʂ a				
503-4				g ə				
502-4				ʐ a ŋ				
235-4				l y ŋ				
519-4				l iː				
523-4				u k				
527-4				ʈʂʰ ɛ ŋ				
538-4				ʂ				
544-4				j a n				
850-4				a				
554-4				dʑ ə				
553-4				r i ŋ				
558-4				kʰ ɔ̃ː ŋ				
561-4				ʂ a				
562-4				p ɐ				
564-4				j aː				
567-4				m ɔ				
