COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
9634								pʰ w a ¹	pʰ w a ¹				pʰ w a ¹			
3482		ȵ o n ¹	ȵ o n ¹		ȵ o n ¹	ȵ o n ¹		ȵ w a n ¹	ȵ o n ¹	ȵ o n ¹	ȵ o n ¹		ȵ u n ¹		ȵ o n ¹	
10688				ts ə m ¹							ts j ə m ¹					
7991					n̥ i ¹	n̥ i ¹				n̥ i ¹	n̥ i ¹	n̥ i ¹				
9953					ˀd j o ¹						ˀd j o ¹	ˀd j o ¹				
1801					h u p ¹	h u p ¹					h u p ¹	h ə p ¹				
9020				k aː ŋ ¹	ts j aː ŋ ¹	ts j aː ŋ ¹	k aː ŋ ¹					ts j e ŋ ¹				
4829					p j a ¹	p j a ¹					p j a ¹	p j a ¹				
10451						ɕ o ¹		h j o ¹	h j o ¹		h o ¹		ɕ o ¹	ɕ o ¹		
9202				p w ə t ¹	pʰ aː t ¹	pʰ aː t ¹	h aː t ¹				pʰ aː t ¹	h aː t ¹				
2447		p ui ¹											p ui ¹			
10800					ˀd aːi ¹	ˀd aːi ¹					ˀd aːi ¹	ˀd aːi ¹				
3481	m aːu ¹			m aːu ¹			m aːu ¹					m aːu ¹		m aːu ¹		m aːu ¹
4828	n u ¹	n u ¹	n u ¹	n u ¹						n u ¹			n u ¹	n u ¹	n u ¹	n u ¹
5826						h u ¹					h u ¹					
3663					q aːu ¹	q aːu ¹					q aːu ¹	q aːu ¹				
9918					t aː k ¹							ⁿd aː k ¹				
8782	ɕ au ¹				ɕ au ¹	ɕ au ¹				ɕ au ¹	ɕ au ¹	ɕ au ¹		ɕ au ¹	ɕ au ¹	ɕ au ¹
9367					s i ¹	s i ¹		ɕ i ¹	ɕ i ¹							
4396		n̥ a ¹	n̥ a ¹							n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹
6812						ʔ aː m ¹				ʔ aː m ¹						ʔ aː m ¹
9114	l i ¹		l i ¹	l i ¹			l i ¹									l i ¹
4236		ȶ au ¹		t a ¹												
9835		qʰ ai ¹											qʰ ai ¹			
10685	ⁿd j o ŋ ¹	t j o ŋ ¹	ⁿd j o ŋ ¹					ⁿd j o ŋ ¹	ⁿd j o ŋ ¹	ⁿd j o ŋ ¹				ⁿd j o ŋ ¹	ⁿd j o ŋ ¹	ⁿd j o ŋ ¹
6853	t o ¹	t o ¹	t o ¹			t o ¹		t o ¹	t o ¹		t o ¹			t o ¹	t o ¹	t o ¹
1572		q a m ¹											q a m ¹			
8209	l j e m ¹								l j aː m ¹		l j aː m ¹	l j aː m ¹		l j aː m ¹		
1976										ts aː n ¹						ts aː n ¹
4177	m i ŋ ¹	m i ŋ ¹		m i ŋ ¹			m i ŋ ¹						m i ŋ ¹	m i ŋ ¹	m i ŋ ¹	m i ŋ ¹
10172								q e ¹	q e ¹		q e ¹					
4255		ȶʰ a ¹			ts j a ¹	ts j a ¹					ts a ¹		ȶʰ a ¹			
3415							h̃ w aː t ¹						h̃ w aː t ¹			
4535	kʰ u ¹		kʰ u ¹	kʰ u ¹				kʰ u ¹	kʰ u ¹							kʰ u ¹
5723		kʰ a ¹											x a ¹			
1157		p a ŋ ¹											p aː n ¹			
8157	l i ¹					l i ¹				l i ¹					l i ¹	l i ¹
8008					s aːu ¹	s aːu ¹						s aːu ¹				
1973					l u ¹			l u ¹			l u ¹	l u ¹			l u ¹	
4358			p aːi ¹				p ai ¹	p aːi ¹	p aːi ¹	p aːi ¹	p aːi ¹		p aːi ¹			
3126	t u k ¹	t u k ¹								t u k ¹			t u k ¹	t u k ¹	t u k ¹	t u k ¹
5258	t i ¹			t a ¹			t ai ¹	t i ¹	t i ¹				t i ¹		t i ¹	
435		ȶʰ o t ¹											ȶʰ o t ¹	ȶʰ o t ¹	ȶʰ o t ¹	
4219		k a ¹			k a ¹							k a ¹				
10717				ⁿd w ə ¹			ⁿd w ə ¹									
9529		ȵ a p ¹		j a p ¹	kʰ a p ¹		ⁿd a p ¹					qʰ a p ¹	ȵ a p ¹			
1090				t a ¹	t a ¹	t a ¹	t a ¹			ȶ i ¹	t a ¹	t a ¹		t ə ¹		
8281					ˀd a ¹			ȶ a ¹	ȶ a ¹		t a ¹	ˀd a ¹		ȶ a ¹	ȶ a ¹	ȶ a ¹
9073	ʔ u k ¹							ʔ u k ¹							ʔ u k ¹	
6309	l o ŋ ¹	q u n ¹	q o n ¹	k u n ¹			q w ə n ¹	m o n ¹	q o n ¹				q u n ¹			l o ŋ ¹
801						ˀd a ¹						ˀd a ¹				
9784					qʰ eu ¹	qʰ eu ¹	qʰ au ¹				qʰ eu ¹	qʰ eu ¹				
