COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i t o ʔ									
56-1	t i m o									
96-1	t i m									
99-1	u t i i n ʔ									
114-1	t o k ʔ									
115-1	t t o m ʔ									
133-1	t t o p									
144-1	t o w i w i ʔ									
150-1	k o w ʔ									
234-1	t k o									
236-1	p o k o n									
241-1	t o k i n									
249-1	i tʃ o ʔ									
1-1	w a z a ʔ									
2-1	t w o n m ʔ									
65-1	i w									
74-1	p a n a									
106-1	t o m									
128-1	t o k									
147-1	t i m									
231-1	p a n a o ʔ									
232-1	t i p i t o ʔ									
239-1	m a m a k									
266-1	t i i ʔ									
51-1	i w e ʔ									
97-1	t i m o m									
109-1	u p a i i ʔ									
121-1	t o p a j i ʔ									
149-1	t o k									
160-1	t i w a k									
163-1	i p i n ʔ									
167-1	t p a ʔ									
207-1	m i k									
259-1	t o w o ʔ									
66-1	p w a k o									
134-1	n a p a t									
139-1	t t m a m									
142-1	t p a t a m ʔ									
145-1	k i w a t i t ʔ									
148-1	t k w a n ʔ									
162-1	i t i n									
166-1	i m i									
179-1	t o t									
201-1	p i									
21-1	k a a									
24-1	tʃ a k o w a a n									
52-2		t e t e								
56-2		k o m e								
96-2		i r a s a								
99-2		r i m e i								
114-2		t o k a s i								
115-2		t i r a s i								
133-2		t i p r a s i								
144-2		t t a r a s i								
150-2		t o								
234-2		k o								
236-2		p i k e t								
241-2		t a k i i								
249-2		i p i								
74-2		p a n a								
93-2		t o i r i s i								
95-2		i k i s i								
106-2		t o k a s i s i								
119-2		i j i p i s i								
128-2		o k i s i								
147-2		t i p a s i								
231-2		p i a s i								
232-2		k i p i a								
239-2		j a s i k i								
266-2		i i n i p								
51-2		i w e								
55-2		i e m								
97-2		o i e n a i								
121-2		k o p i a k i s i								
163-2		i p e								
167-2		t p e								
259-2		t o w a								
66-2		k r a k a								
112-2		t a a n i s i								
116-2		t o a a s i								
125-2		k i k i m a s i								
135-2		i k s i p i s								
139-2		k i p a s i s i								
142-2		p i r a m a s i								
148-2		t r a a a n i i								
162-2		w n k u								
166-2		i w i								
179-2		t o								
52-3			p a a							
56-3			k a m a							
96-3			k a m a a							
99-3			a t a a a a							
114-3			t a k a a							
115-3			t a m a i							
133-3			i tʃ a a m a a							
144-3			k a k a m a i							
150-3			k a a							
234-3			k o m							
236-3			p a k a a							
241-3			n a k a i							
249-3			i a							
1-3			s a a							
2-3			j a i a							
65-3			a m a							
93-3			tʃ i m a m i i							
95-3			a m a k a a							
106-3			k u m a m i a i							
119-3			m a t a a							
128-3			t a k a a							
147-3			t e m a a							
231-3			k a i a t a							
232-3			p a p i i a a							
239-3			k a m a k a a							
266-3			j a i a i i							
3-3			u a m i a							
4-3			u a m i							
55-3			a k a m a m a							
109-3			a p a a a							
121-3			k a k a j a a a							
149-3			tʃ u k							
160-3			k e m i							
207-3			m i							
112-3			t u i i i a m a tʃ a							
125-3			s a k i m a t i							
134-3			p e p i tʃ i							
135-3			t i k a t a a a							
139-3			a k a k a t a a							
52-4				t i t e						
56-4				t u m i						
96-4				a w						
99-4				a i n						
114-4				t u k						
115-4				u m						
133-4				a t i a n						
144-4				a a w a						
150-4				k a w						
234-4				k o m						
236-4				p i k i n						
241-4				o w i n						
249-4				i i						
1-4				w a ʒ̟ a						
2-4				w i						
65-4				i w						
74-4				p a n a						
93-4				t a i w						
95-4				w i						
106-4				t u n						
119-4				w i m						
128-4				m u k						
147-4				t u m						
231-4				p a n a o						
232-4				u p i o						
239-4				n a m a k a n						
266-4				i i						
3-4				a w						
4-4				w a w i						
51-4				i w e						
97-4				m a u m						
109-4				u p i a						
121-4				k u p a a						
149-4				t o k						
160-4				k i w k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t u w o						
