COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ a							
5-1	n a							
4-1	tʰ i k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	a							
60-1	ɕ ɔi							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ h u							
92-1	pʰ h							
102-1	m a							
106-1	pʰ ɔ k							
108-1	d a							
107-1	pʰ h a							
112-1	pʰ a m							
115-1	ɕ							
114-1	t ɔ ŋ							
120-1	d aˀ							
124-1	a							
125-1	tʰ ɔ k							
132-1	ɕ i							
131-1	r i ŋ							
136-1	m ɛi							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a							
147-1	h ɔi							
149-1	m i k							
153-1	ɕ							
152-1	kʰ a n							
158-1	k i k							
163-1	l i							
164-1	n u							
167-1	pʰ a ŋ							
171-1	n u ŋ							
172-1	b u k							
173-1	tʰ ɔ							
183-1	r ɔi							
185-1	m a							
188-1	kʰ i n							
189-1	ts i ŋ							
193-1	h a							
196-1	m au							
199-1	ɕ ɔi							
200-1	kʰ a n							
201-1	kʰ i							
202-1	kʰ a							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	n a m							
117-1	b u							
146-1	kʰ i							
219-1	b							
218-1	tɕʰ ɔi							
224-1	m a ŋ							
240-1	ɕ a k							
244-1	j a							
255-1	n a s							
260-1	b a							
263-1	r u							
269-1	dʑ j k							
271-1	tʰ a k							
209-1	kʰ i							
277-1	m a							
278-1	b ɔ ŋ							
135-1	d i							
284-1	m u							
797-1	a							
290-1	l i ŋ							
289-1	k i k							
296-1	n i							
310-1	ɕ							
319-1	i							
325-1	r a							
327-1	tʰ ɔi							
331-1	k u							
337-1	b a n							
338-1	h i ŋ							
339-1	au							
350-1	kʰ							
349-1	tʰ u ŋ							
357-1	tɕʰ aˀ							
355-1	a							
363-1	m a n							
361-1	tʰ u							
365-1	ɕ a ɹ							
364-1	dʑ t t							
375-1	r ɔ k							
379-1	ɕ t t							
380-1	kʰ a							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ u m							
409-1	r j k							
410-1	i k							
415-1	b a							
416-1	b a							
101-1	n aˀ							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	ɕ t n							
445-1	p							
446-1	ɕ i							
451-1	t aˀ							
457-1	n a m							
456-1	b h a							
464-1	pʰ i ŋ							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	ɕ i n							
489-1	j ɛi							
490-1	h au							
494-1	ɕ ɛi							
503-1	kʰ ɛi							
502-1	ʑ a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j ŋ							
538-1	ɕ							
544-1	j a m							
850-1	a							
554-1	dʑ i							
553-1	r i ŋ							
558-1	kʰ a ŋ							
561-1	ɕ a							
562-1	p ɛi							
564-1	j ɔi							
567-1	m a							
570-1	pʰ u							
575-1	ai							
582-1	l a							
585-1	a							
589-1	kʰ ɔ m							
593-1	d t n							
594-1	l i ŋ							
595-1	tʰ u							
596-1	n ɔ k							
598-1	ʑ aˀ							
599-1	d i							
602-1	ʑ ɔi							
603-1	l a p							
606-1	ɕ ɔ m							
605-1	b a							
620-1	l a							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	r j ŋ							
168-1	h j k							
658-1	h a n							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m t n							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	ts ɔ m							
704-1	m a							
176-1	l a							
709-1	ɕ							
710-1	t ɔ p							
714-1	m t							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	tɕʰ i ŋ							
726-1	dʑ j ŋ							
729-1	b							
730-1	d ɔi							
739-1	pʰ h i							
740-1	b ɛi							
741-1	kʰ ɔ k							
744-1	a							
743-1	h a n							
746-1	pʰ ɔ ŋ							
748-1	tʰ i							
747-1	kʰ u							
749-1	kʰ t n							
751-1	t au							
762-1	m t n							
764-1	h t n							
765-1	dʑ i							
788-1	h u m							
615-1	l a k							
803-1	ɕ aˀ							
802-1	w a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	ɕ a							
820-1	b ɛi							
828-1	ɕ a k							
827-1	p u							
835-1	n a							
308-1	r u							
844-1	ʑ i							
848-1	m u							
705-1	l a							
613-1	ɛi							
649-1	h j k							
876-1	ts au							
878-1	j ɔ ŋ							
889-1	h a							
898-1	n u k							
902-1	h a ŋ							
910-1	a n							
916-1	l i							
919-1	r ɔi							
922-1	ɕ i k							
930-1	ɕ u							
933-1	k ɔi							
939-1	r j k							
947-1	w t n							
948-1	n aˀ							
963-1	ʑ a							
967-1	tɕʰ u k							
969-1	ɕ							
970-1	k ɔ k							
972-1	n i							
731-1	m u							
973-1	dʑ i ŋ							
974-1	n a							
979-1	tɕ a n							
182-1	kʰ u							
993-1	n i							
994-1	j u							
1001-1	ɕ ɛi							
1002-1	d aˀ							
1005-1	tɕʰ u							
1009-1	kʰ ai							
1022-1	ɕ u							
1021-1	u k k							
1043-1	w u ŋ							
1049-1	t ɔi s							
1065-1	kʰ i							
1068-1	j u							
1077-1	l u ŋ							
1081-1	r a ŋ							
1084-1	h i ŋ							
1092-1	m ɛi							
1091-1	tɕʰ i							
1096-1	n ɛi							
1097-1	kʰ u							
1102-1	n ɔi							
1104-1	tʰ ɔ n							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b l a							
1116-1	ɕ au							
722-1	kʰ ai							
1141-1	j a ŋ							
1147-1	b ɛi							
1146-1	ʑ ɔ							
1150-1	h a ŋ							
1151-1	ɔ ŋ							
1158-1	l a k							
1159-1	pʰ a							
1164-1	tʰ a							
1163-1	l a							
1167-1	ɕ a ŋ							
1171-1	l ɔi							
1177-1	ʑ u							
1187-1	kʰ au							
1189-1	n i k							
52-1	kʰ a							
1195-1	ʑ i							
1203-1	tʰ u k							
1211-1	j u							
329-1	r a							
1217-1	m ɛi							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ ɔ							
1229-1	dʑ a ŋ							
1238-1	d a ŋ							
1249-1	m i							
1252-1	j a							
1254-1	n ɛi							
1253-1	ɕ ɔ m							
1257-1	k a							
1263-1	dʑ ɛi							
1266-1	dʑ a k							
584-1	t ɔ ŋ							
7-1	w ɔi							
1191-1	l a ŋ							
13-1	tɕʰ a							
18-1	dʑ i							
33-1	n a							
74-1	t a n							
81-1	ɕ a n							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	ʑ a							
123-1	tɕʰ i							
122-1	kʰ ɔ s							
121-1	m a							
154-1	tɕʰ u							
159-1	ɕ							
161-1	kʰ i							
170-1	dʑ t t							
91-1	a							
181-1	n a							
186-1	dʑ ɛi							
191-1	ɕ ɛi							
217-1	k a							
221-1	n u							
252-1	ts t n							
253-1	r a m							
261-1	b u							
262-1	u							
281-1	ts j k							
287-1	h u ŋ							
288-1	h a							
292-1	d i							
297-1	kʰ ɔ k							
311-1	k i							
332-1	b a							
358-1	j ɔ ŋ							
366-1	k ɛi							
378-1	tɕʰ a							
382-1	m i							
392-1	dʑ ɔ k							
397-1	b a							
471-1	m ɔ ŋ							
477-1	d							
478-1	r u							
481-1	dʑ a p							
483-1	ʑ a n							
511-1	kʰ							
525-1	tɕʰ i							
542-1	dʑ ɔ ŋ							
638-1	n aˀ ŋ							
656-1	ʑ ɛi							
657-1	d u ŋ							
659-1	d a							
