COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	a a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ a e			
203-1	a g u d i			
138-1	s ɪ l e			
504-1	ɗ oː s a			
662-1	ɓ ɔː d a			
478-1	g o ɗ ɗ			
409-1	a ɾ e			
410-1	g u n d i			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	s ə eː a ʔ			
847-1	n a n d i g i			
95-1	b ə ɗ i			
105-1	b ɪ n i			
510-1	b o s a			
951-1	m b m m a ɾ e			
1116-1	m b m a			
149-1	ɓ u tʃ ʔ i			
376-1	ɓ a l i			
815-1	g o ɾ a			
453-1	ɗ u ɲ e			
67-1	ɗ a s e			
47-1	ɗ o k o ɪ a			
869-1	ɗ ɔː a a			
57-1	k a g u			
303-1	g a tʃ ʔ i a			
443-1	g ɾ a			
884-1	g u n d ɪ			
166-1	g u n d i			
918-1	a b e ɾ e			
831-1	h a s i			
616-1	b iː e			
84-1	h o s a l e			
346-1	h oː h u l u			
601-1	tʃ ɪ g i			
177-1	k ʔ a eː a			
341-1	k ʔ o l a			
1066-1	eː ə n tʃ i ŋ a			
318-1	eː eː s i			
241-1	m ə s s			
556-1	h a n d u ŋ u			
191-1	ɓ ɪ m b ə l			
458-1	a tʃ ʔ i tʃ ʔ i			
1-1	h a n h i ɾ			
751-1	ɾ o			
864-1	a ŋ o n i			
154-1	a m a n tʃ i			
278-1	a m i l u ʔ a			
766-1	s oː ɾ a			
251-1	a g l ɾ u			
582-1	u ʔ o ŋ			
6-1	a l i			
1106-1	ɲ g o			
473-1	i n e			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b e			
24-1	tʃ iː			
25-1	a a ɾ e			
879-1	a b a ɾ a b ə d			
837-1	m a s i			
233-1	b i b m i o			
938-1	ɓ u l a e			
369-1	a ɾ e			
946-1	ɓ a ŋ g o			
889-1	ɓ ʔ l e e			
820-1	a s o ɾ e ɲ			
438-1	n d ə n e			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ e		
203-2		a g u d i ʔ		
138-2		ʃ i l i		
504-2		ɗ oː ʃ ɛ e		
662-2		ɓ oː d aː		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n a d i g e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b r mː a e		
1116-2		m b ə m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		d o k o l a ɗ e		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g aː s ʔ i a		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h ə ʃ e		
616-2		b iː e		
84-2		h o ʃ a l e		
346-2		h oː h o l u		
601-2		z i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f r n t e ŋ i		
318-2		f e ʃ a		
241-2		m ə ʃ ʃ o		
556-2		h a n d u u		
191-2		ɓ i m ɓ i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n h i r		
751-2		r o		
864-2		a ŋ o n i		
154-2		a m a n z i		
278-2		a m i l u i		
766-2		ʃ oː r e		
251-2		a g oː r u		
582-2		u ʔ u ŋ		
6-2		a l i		
1106-2		ŋ g o		
473-2		i ŋ e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s iː		
25-2		l a r e		
879-2		a b a r a b ɛ d i		
566-2		aː f a ɲ r r e s ʔ ʔ		
742-2		a g o		
1044-2		ʃ i m b i l		
13-2		h l mː a s i		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		ɓ i iː ʔ e		
938-2		ɓ ʔ u l a e		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ ʔ l o		
820-2		a ʃ o r e		
405-2		b ə d e		
134-2		ɓ ʔ ɗ i ʔ ʔ i		
1078-2		m i h i		
429-2		b o ŋ k o		
187-2		b s k ʔ e		
438-2		n d i n e		
468-3			θ a b a	
222-3			a b b b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g ɔ r θ	
203-3			a g u d i ʔ	
138-3			ʃ ʃ l i	
504-3			ɗ ʊu̯ ʃ ɛ f a	
662-3			p ʊː d a	
478-3			g ɔ ɗ i	
409-3			a r i	
410-3			g u n d i	
256-3			p a l i	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ʔ d b g i	
95-3			b ɛ ɗ i	
105-3			b ʔ n i	
510-3			b ɔ ʃ a	
951-3			m b m a r i	
1116-3			m b u m a	
149-3			p u s ʔ i	
376-3			p ɛ l i	
815-3			g ɔ r a	
453-3			ɗ u ŋ i	
67-3			ɗ a ʃ i	
47-3			d ɔ k ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			k a g u	
303-3			g a s ʔ i a	
443-3			g ɛː r ɛ	
884-3			g ʊ n d i	
166-3			g u n d i	
918-3			a b ɛ r i	
831-3			h a ʃ a	
616-3			b iː i	
84-3			h ɔ ʃ ɛ l a	
346-3			h ʊu̯ h ɔ l u	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n i ŋ i	
318-3			f ʔ a i	
241-3			m ə ʃ ʃ o	
556-3			h a n d u ŋ u	
191-3			p ɪ m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a ŋ h ɪ r	
751-3			r ɔ	
864-3			a ŋ ɔ n i	
154-3			a m a n s i	
278-3			a m i l u ʔ i	
766-3			ʃ ɔː r a	
251-3			a g ʊ r u	
582-3			ɔ ʔ ɔ ɲ	
6-3			a l i	
1106-3			n g ɔ	
473-3			ɪ aː e	
1111-3			h a l u	
957-3			m a r i	
24-3			ʃ i	
25-3			θ a r i	
879-3			a b a r a b ɛ t i	
