COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n ə			
2054-1	d ɔ n d ə r			
1375-1	l ɪ + ə ə t			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m uː d ə r			
1351-1	x r ɛɪ n s + v aː d ə r			
1353-1	x r ɛɪ n + m uː d ə r			
412-1	s w iː ɣ ə r + v aː d ə r ə ə n			
406-1	s w iː ɣ ə r + m uː d ə r ə ə n			
1005-1	s t iː p + v aː d ə r			
1012-1	s t iː p + m uː d ə r			
1016-1	w ɪ d w ə + r ə			
1069-1	d ɪ k			
509-1	v ɔ l ə			
693-1	m x ɛ l + + + d ə r			
2179-1	n ɛ s t			
1753-1	v x ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r n			
2241-1	n aː z			
2244-1	l ɪ p ə			
610-1	k ɔ n ə			
945-1	h ɛ r t			
1534-1	l eː k ə			
384-1	z ɛ k ə			
1650-1	n x ɑ s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛ ə			
1385-1	z aː d ə ə			
792-1	r oː k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l ə			
1230-1	d r + ɪ d ə			
2017-1	n x aː ə			
968-1	w ɛ r ə l t			
1674-1	l ɑ n t			
1671-1	h ɛ ɣ ə l			
829-1	k l ɪ v			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r ɛɪ w			
-1816-1	oː r aː ə			
-335-1	l ɑ k ə n			
1043-1	s t r ə m			
423-1	s t ɛɪ n			
2049-1	m ɔ n t			
2062-1	s t ɔ r m			
2065-1	r eː ɣ ə n + b oː ɣ ə			
1368-1	s x ɑ d ə			
1365-1	d x ɑu w			
754-1	r eː ɣ ə			
768-1	w ɛ d ə r			
1211-1	v yː r			
106-1	m ɑ n			
-98-1	b eː v			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n ɛ v t ə			
409-1	z w iː ɣ ə r + z oː n ə			
402-1	s w iː ɣ ə r + d ɔ x t ə r ə ə n			
1014-1	s t iː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r ə			
2194-1	aː k s			
2199-1	k ɑ l t			
2197-1	s x ɑ p			
1523-1	z aː w			
1521-1	b oː k			
512-1	m ɛ r			
2141-1	h oː n			
2147-1	x ɑ n s			
814-1	k r aː x			
810-1	d ɛ v			
1755-1	v h ɔ n t			
1758-1	m oː s			
1760-1	r aː t			
1620-1	v ɪ n			
1282-1	w aː l ə ə ə			
1136-1	v ɔ k s			
1309-1	l ɛɪ s			
1307-1	n ɪ t			
1305-1	v l oː			
711-1	w ɛ s t			
1442-1	v l iː ɣ			
62-1	m ʉ k			
-73-1	m ɔ s k iː t			
1810-1	h oː t			
1805-1	v l ɛɪ s			
1813-1	h aː r			
1811-1	b l ɑ t			
690-1	r ɪ p			
2177-1	h ɛ x t			
246-1	v ɛ + ɣ ə n + b r k ə			
249-1	aː x ə n + l t			
1506-1	n aː z + r ə n + + l ə k			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	n ɑ k ə			
2174-1	s x ɛ l d ə r			
575-1	aː k s ə l + h ɑu l			
603-1	ɛ l ə n + b oː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ k ə r			
901-1	k l aː ə			
608-1	v ɑ s			
596-1	t eː ə			
937-1	b ə r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l eː v ə r			
1606-1	h ɛ p t			
472-1	v n iː z ə			
1535-1	z w ɛ d ə			
1546-1	s p ʉ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r k ə			
1961-1	d r ʉ m ə			
323-1	v ə l eː v ə			
1885-1	x r ɑ s			
2156-1	v ə r + k ɛ l d + ə			
1903-1	w ɔ n d			
525-1	z w ɛ l ə ŋ			
276-1	l aː m ə			
274-1	d ɑ p			
278-1	b l ɪ n t			
258-1	b ə + d r ɪ ŋ k ə			
256-1	n ɑ k t			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n ə			
1321-1	k aː p			
1976-1	t ɑ ŋ			
1243-1	m aː l + ɛɪ d ə ə ə			
1265-1	p iː l ə			
1261-1	z iː v ə			
655-1	b r ɛɪ t			
650-1	d eː k			
1532-1	k n eː d ə			
-36-1	z ʉ p			
34-1	b oː n			
-1647-1	v ɛɪ k			
-1615-1	ɔ ɔ l ə			
125-1	v ɛ t			
1659-1	h oː n ə k			
1661-1	m ɪ l k			
1676-1	b ɔ d ə r			
480-1	x ə + d r ə ŋ k			
1466-1	k l ɛɪ d ə ŋ			
2277-1	w ɔ l			
2271-1	v ɪ l t			
2293-1	l eː d ə r			
624-1	s p ɛ n ə			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n aː d ə l ə			
1185-1	v ə r r + s ɛ s t ə r			
1179-1	h oː t			
2168-1	k ɑ m			
1952-1	d oː r			
899-1	l ɛɪ d ə r			
922-1	b eː t			
-934-1	l ɑ m p			
916-1	d r ɔ x			
1726-1	v ɛ l t			
2108-1	p l ɛɪ ɣ ə			
1133-1	v ɛ r k			
2114-1	s p aː d ə			
1272-1	r ɛɪ ɣ ə			
1979-1	x r ɑ s			
1989-1	h oː x			
-2260-1	p l ɑ n t ə			
70-1	b uː k			
-89-1	w ɛɪ n + ə + + s t ə x			
-12-1	p ɛɪ p			
713-1	z ɑ p t			
747-1	n ɛ t ə l			
308-1	d ɑ n			
289-1	b ɪ n d ə			
1930-1	b r eː k ə			
1928-1	s p ɑ l + d ə			
858-1	v ə + s t r eː k ə			
1577-1	v + h ɛ ŋ ə			
908-1	w ɑ s ə			
648-1	b oː r ə			
1855-1	h ɔ l ə			
657-1	h ɑ m ə r			
2058-1	n aː ɣ ə l			
949-1	v l r k + s m ə t			
1642-1	x ɔ l t			
1640-1	z ɪ l v ə r			
1633-1	ɛɪ r ə			
1630-1	t ɪ n			
1469-2		s aɪ n d		
2047-2		s ɔ n		
2054-2		d ɔ n d		
1375-2		l ɪ d		
760-2		w ɪ n d		
756-2		s n		
726-2		m ɪ d		
1351-2		r f d		
1353-2		ɡ r ɪ t m d		
412-2		s n f d + æ k		
406-2		s n m d + æ k		
1005-2		s d f + f d		
1012-2		s d f m d		
1016-2		w d n		
1069-2		s ɪ k		
509-2		f ɔ l		
693-2		m l s		
2179-2		n aɪ s d		
1753-2		f f ɪ s		
1131-2		w ɔ l v		
1198-2		b ɛ r		
2032-2		h ɑː r		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k n		
945-2		h ɑː r		
1534-2		l ɪ k		
384-2		s ɔ		
1650-2		n r		
1663-2		s ɑː l d		
2279-2		l ɪ n		
471-2		s ɪ		
1385-2		s ɪ d		
792-2		r ɪ k		
1111-2		m ɛ s d		
197-2		s ɔ d		
2020-2		l ɪ n		
867-2		h ɔ n d d		
1970-2		f ɔ l		
1230-2		d r d		
2017-2		n l		
968-2		w l d		
1674-2		l aɪ n d		
1671-2		h ɔ		
829-2		k l ɪ		
1025-2		w əʊ t		
1027-2		s		
1832-2		r ɪ		
-1816-2		əʊ s		
-335-2		l ɪ n		
1043-2		s d r		
423-2		s d n		
2049-2		m aɪ n		
2062-2		s d ɔ r		
2065-2		r b		
1368-2		s d		
1365-2		d l		
754-2		r ɪ		
768-2		w ɛ d		
1211-2		f ɛ		
106-2		m ɪ n		
-98-2		b aɪ		
719-2		f ɪ d		
1341-2		s ɪ n		
-2027-2		d ɑː n d		
