COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a m ə l a																		
112-1	d a b ə n a																		
331-1	n ɨ g u s																		
377-1	b u kʼ u l																		
381-1	ʔ a t																		
417-1	r u z																		
451-1	s ə b a t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ dː ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s o s t																		
593-1	ʔ a m u s																		
640-1	m a n																		
1-1	d ə bː ə r ə																		
65-1	tʼ u b																		
212-1	ʔ ɨ n																		
244-1	ʔ a r b t t																		
248-1	m u l a																		
293-1	f ə r ə z																		
373-1	kʼ ɨ m a l																		
408-1	b o r a																		
414-1	d ə b a kʼ u lː a																		
601-1	ʔ ə r o b																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	l a m a m																		
209-1	s ɨ m u t																		
242-1	ʔ a m ɨ s t																		
415-1	z ɨ n a b																		
450-1	z ə r																		
490-1	tʼ ə bː ə																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g a m e l a																	
112-2		d a b ə n a																	
331-2		n ɨ g u s																	
377-2		b ɨ kʼ u l																	
381-2		ʔ a d																	
417-2		r u z																	
451-2		s ə b a t																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ dː ɨ s t																	
535-2		ʔ a s ɨ r																	
543-2		s o s t																	
593-2		h a m u s																	
640-2		m a n																	
1-2		d ə m ə r ə																	
65-2		tʼ u b																	
163-2		s ə tʃ ə																	
212-2		ʔ e n																	
244-2		ʔ a r b a																	
248-2		m u l a																	
293-2		f ə r ə z																	
373-2		kʼ ɨ m a l																	
408-2		b o r a																	
414-2		d ɨ b a kʼ u jː a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		l a m a m																	
209-2		s ɨ m u t																	
242-2		ʔ a m ɨ s t																	
415-2		z ɨ n a m																	
450-2		z ə r																	
490-2		tʼ ə b a																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m e r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b u kʼ u r																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ tʼ ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m a n																
1-3			d ə p ə r ə m																
65-3			tʼ u b																
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r b ə t																
248-3			m u r a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b o r a																
414-3			d ɨ b a kʼ u lː a																
601-3			ʔ ə r o b																
642-3			n ɨ f a s																
60-3			n ə f ə s ə																
115-3			ʔ ə r a m																
209-3			s ɨ m u t																
242-3			ʔ a mː ɨ s t																
415-3			z ɨ r a b																
450-3			z ə r																
490-3			tʼ ə p w ə m																
61-4				d ə m															
63-4				ʔ a tʼ ɨ m															
107-4				g a m e l a															
112-4				d a b ə n a															
331-4				n ɨ g u s															
377-4				b ə kʼ l l															
381-4				ʔ a t															
417-4				r u z															
451-4				s ə b a t															
454-4				ʔ a tʃʼ ɨ r															
484-4				s ɨ tː ɨ s t															
535-4				ʔ a s ɨ r															
543-4				s o s t															
593-4				ʔ a m u s															
640-4				m a n															
1-4				d ə b ə r ə															
65-4				tʼ u w															
163-4				s ə tʃʼ ə															
408-4				b o r a															
414-4				d ə b a kʼ u l a															
601-4				ʔ ə r o b															
642-4				n ɨ f a s															
60-4				n ə f ə s ə															
115-4				ʔ a m m															
450-4				z ə r															
490-4				tʼ ə b a															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g a m e r a														
112-5					d a b ə r a														
331-5					n ɨ g w s														
377-5					b ɨ kʼ ɨ r ə														
381-5					ʔ a tː														
417-5					r u z														
