COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	a a b a			
222-1	a b eː b n e			
208-1	a b u ɾ b u d e			
962-1	a g o ɾ i a			
203-1	a g u d i i e			
138-1	iː s i l o			
504-1	ɗ a ʃ a n a			
662-1	ɓ u d eː n a			
478-1	iː g eː a			
409-1	a r e			
410-1	g u n d e			
256-1	ɓ eː l o			
622-1	n d e			
546-1	n d e			
547-1	s ɛ t a i			
847-1	n ɛ n d ɛ k e			
95-1	b ɛ t e			
105-1	b eː i a n e			
510-1	b o s e			
951-1	m b a m e r e			
1116-1	m b eː m a			
149-1	ɓ u a ʔ e			
376-1	ɓ a l e			
815-1	k o ɾ a n a			
453-1	ɗ eː n e			
67-1	ɗ eː s e			
47-1	d oː k eː ʔ o n a			
869-1	d uː ɗ a			
57-1	k eː g e			
303-1	g a a a ʔ i a			
443-1	g eː ɾ a			
884-1	g u n d e			
166-1	g u n d e			
918-1	a b ɛ r e			
831-1	h o a s e			
616-1	b a e			
84-1	h o s ɛ l o			
346-1	h o h u l e			
601-1	a i g e			
177-1	k a o a			
341-1	k o l a			
1066-1	a ɛ n a ʔ ɪ n a			
318-1	iː a a s i			
241-1	m a a s o			
556-1	h a d u nː e			
191-1	ɓ ɛ m ɓ i l			
458-1	a iː ʔ i a ʔ e			
1-1	h a ɗ i ɾ o			
751-1	ɾ o			
864-1	a n o n a n i			
154-1	a iː m a n i o			
278-1	a m i l a i a			
766-1	s iː ɾ a			
251-1	a g u ɾ e			
582-1	oː ʔ o e			
6-1	a l e			
1106-1	n g o			
473-1	n iː n e			
1111-1	h a l u			
957-1	m a r e			
41-1	b i i			
468-2		l a b a		
222-2		a b o b o n i		
208-2		a b u r b d u		
962-2		a g o r a		
203-2		a g d i ʔ		
138-2		ʃ i l i		
504-2		ɗ oː ʃ ɛ n a		
662-2		ɓ d n e		
478-2		d g o ɗ ɛ		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a t		
847-2		m ə n d iː g i		
95-2		b ɛ ɗ e		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m o r e		
1116-2		m b ɛ m a		
149-2		ɓ u s i		
376-2		ɓ ɛ l i		
815-2		g o r a ʔ a		
453-2		ɗ a ŋ e		
67-2		ɗ a ʃ i		
47-2		d o k e k o n a		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g ʔ a s i a		
443-2		g ə r ɛ		
884-2		g u n d u		
166-2		g u n d i		
918-2		a b a r e		
831-2		h ə n ʃ i		
616-2		b iː e		
84-2		o ʃ a l a		
346-2		h u h o l u		
601-2		s i g i		
177-2		k a f a ŋ		
341-2		k o l a		
1066-2		f e n s ʔ i ɲ e		
318-2		i f e ʃ a		
241-2		m ə n e ʃ o		
556-2		h a n d u ŋ u		
191-2		ɓ i m b i l		
458-2		a s ʔ i s ʔ		
1-2		h a n d i r		
751-2		r o		
864-2		a n o n a		
154-2		a d m a n i		
278-2		a m i l u ʔ o		
766-2		ʃ oː r o		
251-2		a g u r u		
582-2		ʔ u ŋ		
6-2		a l i		
1106-2		ŋ g o		
473-2		n i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b a e		
468-3			l a b a	
222-3			a b a b a n i	
208-3			a b u r b u d u	
962-3			aː g u r a	
203-3			ə g u d i	
138-3			a ʃ ɪ l e	
504-3			ɗ ɔː ʃ a	
662-3			p u d a	
478-3			eː g a ɗ a	
409-3			a r e	
410-3			g u n d i	
256-3			p ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ n d ɛ g	
95-3			b ɛ ɗ i	
105-3			b i n ɪ	
510-3			b ɔ ʃ a	
951-3			m b ə m a r e	
1116-3			m b ə m a	
149-3			p ʔ u s ʔ i	
376-3			p ʔ l i	
815-3			k ɔ r a	
453-3			ɗ u ŋ i	
67-3			ɗ a ʃ a	
47-3			d ɔ k ɔ θ a	
869-3			ɗ u l a	
57-3			k a g u	
303-3			g ʔ ə s ʔ i a	
443-3			g ɛ r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b ɛ r e	
831-3			h a ʃ e	
616-3			p a e	
84-3			h ə ʃ ɛ l i	
346-3			h ɔ l u	
601-3			h ɪ g	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n s i ŋ a	
318-3			u f eː s i	
241-3			m a ʃ o	
556-3			h a n d ʊ ŋ u	
191-3			p ʔ ɛ m b ʔ ɛ l	
458-3			ə s ʔ i s ʔ i	
1-3			h ə ŋ d i r	
751-3			r o	
864-3			aː ŋ u n ɪ	
154-3			a a m ə n s i	
278-3			a m i l ʊ ʔ a	
766-3			ʃ ɛ r a	
251-3			a g u r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			l i	
1106-3			n g o	
473-3			ŋ i n e	
1111-3			h l u	
957-3			m a r e	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r θ a
203-4				a g u d i ʔ
138-4				ʃ i l e
504-4				ɗ o ʃ ʔ a
662-4				ɓ u d ʔ a
478-4				g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ ʔ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
