COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	mʷ a b a			
222-1	a b e b e n e			
208-1	a b o ɾ b o ɗ o			
962-1	a g o ɾ e a			
203-1	a g o d e e e			
138-1	mʷ s i l e			
504-1	d o s tʃ i a			
662-1	b u d tʃ i a			
478-1	ə g tʃ ɗ a			
409-1	a ɾ e			
410-1	g u n e e			
256-1	b ʔ eː l e			
622-1	n d oː			
546-1	n d oː			
547-1	s ɲ a ʔ			
847-1	n n e eː k e			
95-1	b eː ɗ e			
105-1	b eː k e n e			
510-1	b o ʃ e			
951-1	m b ə m a ɾ i			
1116-1	m b ə m a			
149-1	b k u ɲ e e			
376-1	b k a l e			
815-1	k o ɾ tʃ i a			
453-1	d eː n e			
67-1	d eː ʃ e			
47-1	d o k e ɲ o i e			
869-1	d uː ɲ a			
57-1	k eː g o			
303-1	g k a ɲ tʃ e a			
443-1	g eː ɾ a			
884-1	g u n e o			
166-1	g u n e e			
918-1	a b e ɾ e			
831-1	ʔ ɲ e			
616-1	b eː			
84-1	ʔ o s tʃ l e			
346-1	ʔ o h e l u			
601-1	mʷ i g e			
177-1	k ʔ a ɲ a ɲ			
341-1	k ʔ o l e			
1066-1	mʷ n e d ɪ n a			
318-1	k mʷ ʃ e			
241-1	m ɲ i ʃ o			
556-1	ʔ a n e oː n o			
191-1	b k eː m e i eː l			
458-1	a mʷ e i r e e			
1-1	ʔ a n e i ɾ e			
751-1	ɾ o			
864-1	a n o n tʃ e			
154-1	a k m a n i e			
278-1	a m e l o ʔ a			
766-1	s o ɾ a			
251-1	a g o ɾ o			
582-1	o ʔ o n e			
6-1	a l e			
1106-1	ŋ g o			
473-1	n n e			
1111-1	ʔ a l o			
957-1	m a ɾ i			
41-1	b e i			
24-1	oː			
25-1	ʔ ɲ e			
879-1	a b a mʷ a b e d e			
837-1	m oː ɲ i			
233-1	b mʷ eː b e o			
938-1	b mʷ u l e e i a			
369-1	a ɲ e			
946-1	b a ŋ k o			
889-1	b ʔ eː l e			
820-1	mʷ ʔ o ɾ e ɲ			
438-1	n d e n e			
468-2		l a b a		
222-2		a b o b o ŋ i		
208-2		a b u r b u d u		
962-2		a g o r e a		
203-2		a g u d i l e		
138-2		a ʃ i l i		
504-2		ɗ o ʃ ɛ n a		
662-2		ʔ aː d e n a		
478-2		a g o ɗ a		
409-2		a r e		
410-2		g u n d i		
256-2		a ʔ a l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a l		
847-2		n ɛ n d i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ ŋ e n i		
510-2		b o ʃ a		
951-2		m b ɛ m a r e		
1116-2		m b ɛ m a		
149-2		a ʔ u s ʔ i		
376-2		a ʔ ɛ l i		
815-2		g o r a ʔ a		
453-2		ɗ u n a		
67-2		ɗ a ʃ i		
47-2		d o k e ʔ o n a		
869-2		ɗ aː l a		
57-2		k aː g u		
303-2		g aː a s ʔ i a		
443-2		g ɛ r a		
884-2		g aː n d i		
166-2		g u n d i		
918-2		a b a r o		
831-2		h ɛ n ʃ i		
616-2		b i e		
84-2		h o ʃ a l a		
346-2		h u h o l u		
601-2		s i g i		
177-2		k ʔ a f a l		
341-2		k ʔ o l a		
1066-2		f ɛ n s ʔ i n e		
318-2		a f ɛ ʃ a		
241-2		m ɛ n e ʃ o		
556-2		h aː n d u ŋ u		
191-2		b ʔ i m e ʔ i l		
458-2		a s ʔ i s ʔ i		
1-2		h aː n e i r e		
751-2		r o		
864-2		a n o n e n a		
154-2		a l m a n s i		
278-2		a m i l e ʔ o		
766-2		ʃ o r a		
251-2		a g e r u		
582-2		u ʔ u n e		
6-2		a l i		
1106-2		n g o		
473-2		ŋ i n e		
1111-2		h aː l u		
957-2		m a r e		
41-2		b i e		
24-2		s a		
25-2		ʔ u r e		
879-2		b a r e b e d e		
566-2		l f a ŋ f a r a s ʔ		
742-2		a g o l		
1044-2		ʃ i m b i l u		
13-2		a l h aː m i s		
720-2		a s ɛ l a l		
837-2		m a a i		
233-2		a ʔ a l e i o		
938-2		a ʔ u l e a n a		
369-2		a r e		
946-2		a a n g o		
889-2		a ʔ e l e		
820-2		a a o r e n		
405-2		b ɛ d a		
134-2		a ʔ a ɗ i ʔ i		
1078-2		m i h i		
429-2		b o ŋ k o ʃ		
187-2		b i s k aː ʔ e		
438-2		n d i n e		
468-3			ʔ a b a	
222-3			a b ɛ b ɔː n a	
208-3			a b u r b u d u	
962-3			a g ɔ r ʔ a	
203-3			ə g u d i d	
138-3			a ʃ ɛ l a	
504-3			d ɔː ʃ f a	
662-3			ʔ ʊ d ʔ a	
478-3			g d a	
409-3			a r a	
410-3			g u n d i	
256-3			p ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ f a ʔ	
847-3			n i n d i g i	
95-3			b i d i	
105-3			b i n i	
510-3			b ɔ ʃ a	
951-3			m b m a r a	
1116-3			m b u m a	
149-3			a ʔ u s ʔ i	
376-3			ʔ a l i	
815-3			k ɔ r a f a	
453-3			d u n a	
67-3			d a ʃ a	
47-3			d ɔ k ʔ ɔ ʔ a	
869-3			d ʔ a	
57-3			k a g u	
303-3			a ʔ ə s ʔ i a	
443-3			g r a	
884-3			g ʊ n d i	
166-3			g u n d i	
918-3			a b i r a	
831-3			ʔ a aː ʃ a	
616-3			ʔ w a	
84-3			ʔ ɔ ʃ a l a	
346-3			ʔ ɔ d o l u	
601-3			s i g i	
177-3			k ʔ a f a a	
341-3			k ʔ ɔ l a	
1066-3			f i n s ʔ i n a	
318-3			f eː s i	
241-3			m a d ʃ ɔ	
556-3			ʔ a n d u n u	
191-3			b ʔ i m b ʔ i l	
458-3			ə s ʔ i s ʔ i	
1-3			ʔ ə n d i r	
751-3			r ɔ	
864-3			a n ɔ n ʔ i	
154-3			a m ə n s i	
278-3			a m i l u ʔ a	
766-3			ʃ r a	
251-3			a g ʊ r u	
582-3			ɔ ʔ ɔ n	
6-3			a l i	
1106-3			n g ɔ	
473-3			n i n a	
1111-3			ʔ a ʔ u	
957-3			m a r a	
24-3			s a	
25-3			ʔ a r a	
879-3			a b a r a b i d a	
566-3			a n ʔ a n ʔ ɔ r ɔ s ʔ	
742-3			a g ɔ a	
1044-3			ʃ ɛ m b i l u	
13-3			a l ʔ a m i s	
720-3			a s l a a	
233-3			b ʔ i b i w ɔ	
938-3			a ʔ ʊ d d ʔ a	
369-3			a r a	
889-3			i ʔ eː ʔ a	
405-3			b i d a	
134-3			a ʔ i d i ʔ i	
1078-3			m ɛ ʔ i	
429-3			b ɔ n ʔ ɔ ʃ	
187-3			b ʊ s ʔ i k a	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ o ʃ a
662-4				b d a
478-4				g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				b l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b e n i
510-4				b o ʃ a
951-4				m b m a r e
1116-4				m b m a
149-4				b u s ʔ i
376-4				b a l i
815-4				k o r a
453-4				ɗ u e
67-4				ɗ uː ʃ e
47-4				ɗ o k o θ a
869-4				ɗ uː θ a
57-4				k g u
303-4				g a s ʔ i a
443-4				g eː r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h i ʃ e
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h o h u l u
601-4				s i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f ɛ n s i a
318-4				f uː ʃ i
241-4				m o ʃ o
556-4				h a n d u u
191-4				b ɛ m b ɛ l
458-4				a s ʔ i s ʔ i
1-4				h a t i r
751-4				r o
864-4				a o n i
154-4				a m a n i
278-4				a m i l u ʔ a
766-4				ʃ o r a
251-4				a g r u
582-4				o ʔ o
6-4				a l i
1106-4				n g o
473-4				i n e
1111-4				h a l u
957-4				m a r e
41-4				b ŋ
566-4				a n f a n f o r o s ʔ
742-4				a g o
1044-4				ʃ i m b i l
13-4				a l h a m i s
720-4				uː s ɛ l a
837-4				m i
946-4				b a g o
820-4				o r e ŋ
405-4				b e d e
134-4				b a ɗ i ʔ i
1078-4				m e h i
429-4				b o o ʃ
187-4				b u s ʔ i k e
438-4				n d ɛ n e
