COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	ʔ a b a			
222-1	a b e b e n e			
208-1	a b u r b u d u			
962-1	a g o r a			
203-1	a g u d i h i			
138-1	o s i l e			
504-1	ɗ e s o a			
662-1	b u d o ə			
478-1	e g e ɗ e			
409-1	a r e			
410-1	g u n d i			
256-1	b aː l e			
622-1	n d u			
546-1	n d u			
547-1	s e w a ʔ			
847-1	n ɪ n d e g i			
95-1	b e ɗ i			
105-1	b e n i			
510-1	b o s e			
951-1	m b e m a r e			
468-2		l a b a		
222-2		a b o b o n i		
208-2		a b u r b o d u		
962-2		a g o r a		
203-2		a g o d i		
138-2		n ʃ e l i		
504-2		ɗ o ʃ a		
662-2		b d e		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n e n d iː g i		
95-2		b ɛ ɗ e		
105-2		b ɛ ŋ e n i		
510-2		b o ʃ a		
951-2		m i m a r e		
468-3			θ a b a	
222-3			a b b ŋ n	
208-3			a b u r b u d u	
962-3			a g ɔ r a	
203-3			ə g u d i	
138-3			s ʃ iː l a	
504-3			ɗ ɔː ʃ a a	
662-3			b ʊ d a	
478-3			g ɔː ɗ a	
409-3			r e	
410-3			g u n d i	
256-3			p ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ eː f a ʔ	
847-3			n eː n d iː g	
95-3			b eː ɗ a	
105-3			b n e	
510-3			b ɔ ʃ ə	
951-3			m b eː m r e	
468-4				θ a b e
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r θ a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ o ʃ a
662-4				b d a
478-4				g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				b aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b i e e n i
510-4				b o ʃ a
951-4				m b m a r e
