COGID	Albanian	English	French	German	Latin
560-1	k a m				
438-1	u r				
1222-1	o f				
353-1	f iː ʃ k iː				
201-1	f iː n f				
20-1	f a r				
503-1	p l e n a				
957-1	e n				
728-1	l a ŋ				
244-1	n e m iː n				
289-1	n ai f				
911-1	r a z iː k				
724-1	d r ɪ a				
145-1	d u				
992-1	h iː				
1181-1	k e n d				
741-1	p au k a				
1150-1	ʃ a r d				
585-1	t y				
814-1	w i r				
916-1	t				
1079-1	b w				
630-1	eː ŋ ə t				
343-1	w j t r				
8-1	k r a z				
385-1	r e				
683-1	ʃ ə t				
650-1	k k l a				
612-1	f y m a				
871-1	d r v t a				
667-1	l a b o				
527-1	v a z ə r				
499-1	n u				
1029-1	w u				
336-1	p a r s				
198-1	m g n				
164-1	n ə m ʃ r o				
560-2		w j ɪ n			
438-2		o r ɪ			
1222-2		o			
353-2		p ɪ a k ɪ			
201-2		p i t			
20-2		k a d r			
503-2		p l ai			
957-2		ɪ n			
728-2		l a ŋ			
244-2		n m ə n			
289-2		n a f			
911-2		w ʊ r			
724-2		d r ɪ			
145-2		s ʊ			
992-2		k			
706-2		ai k au l ai			
106-2		p a d r			
741-2		d ɛ h			
421-2		v l ʊ m			
227-2		p j ɛ			
920-2		h ɛ r			
1083-2		h a r n ʊ			
1066-2		ɪ g ai			
1125-2		k n au			
1197-2		m au d r			
473-2		n ai			
284-2		n ɪ s ai			
661-2		ʊ			
701-2		r au g			
315-2		r ʃ d au n d ai			
1169-2		s a l			
1150-2		k ʊ r t ə r			
982-2		s ɪ θ ɪ			
987-2		s n			
1055-2		s t ɪ r n			
1130-2		s au g ɛ			
433-2		s u l i j			
625-2		l au ŋ ə			
1186-2		s i n d			
416-2		w			
1233-2		w ɪ n d ai			
884-2		w ʊ r m ɪ			
1016-2		ɛ n ɛ m a l			
952-2		ɛ			
78-2		v l i s			
514-2		v r ɛ n			
116-2		ɪ t ɛ			
188-2		p r ai n au l			
745-2		p ə θ			
1100-2		f r au f d			
47-2		h a m iː n			
111-2		l a h ʊ			
1061-2		m s a			
24-2		n ɪ f d			
232-2		n ʊ n			
671-2		r ɪ f d			
385-2		s			
945-2		s ɪ m n			
644-2		h ʊ s			
1041-2		s t ɪ			
492-2		d ɪ n au ɪ			
1209-2		w ai m ɛ			
527-2		au a t ə r			
14-2		g ai v			
1-2		a l			
915-2		au n d			
271-2		a s ə			
711-2		v ai t			
1112-2		v l ʊ d			
205-2		v r au t d			
301-2		k l au			
72-2		k o l d			
162-2		h ʊ d			
238-2		d e			
560-3			k j m		
438-3			u r ɛ		
1222-3			e v		
353-3			f ɛ s k ɪ		
201-3			f ɛ		
20-3			f r		
503-3			f u l		
957-3			ɛ ɑ̃		
728-3			l a ŋ		
244-3			ɛ m ɑ̃ n		
289-3			t		
911-3			r ɑ̃		
724-3			t r ɛ		
145-3			s u		
992-3			k u		
1181-3			s au n d		
706-3			u g u		
106-3			f a d ɑ̃ r		
741-3			p ɛ k a		
421-3			f l ø m		
227-3			f y s		
920-3			k ai r d		
1083-3			h a r n ʊ		
1066-3			ɛ f		
1125-3			k ɛ		
1197-3			m u n d ə r		
473-3			n ai		
284-3			n ɛ s a		
661-3			y n ai		
701-3			r u b r		
315-3			r au d		
1169-3			s a l d		
1150-3			s a r		
982-3			s ɛ t		
987-3			s v		
1055-3			s t ai r		
1130-3			s u g		
433-3			s u		
585-3			t y		
625-3			t ə ŋ ə		
1186-3			s au s		
814-3			w ɑ̃ r t		
416-3			v ai d		
1233-3			v ɛ n d		
884-3			v u r m		
916-3			ɛ t		
1016-3			ɛ n ɑ̃ m e l		
952-3			ɛ d		
514-3			b r ɛ n		
1079-3			p i b oː		
1100-3			f r r f t		
47-3			h j m ɛ n		
111-3			l a k u		
1061-3			m ø n t ɑ̃ n		
1155-3			h a l s		
343-3			w j t ɑ̃ r		
671-3			r ai d		
460-3			p au l		
8-3			k ɑ̃ r		
644-3			s eː		
683-3			k ɑ̃ ɛ t		
650-3			s i s		
612-3			f y m		
871-3			r s t		
1209-3			w ai m ə t		
667-3			l ɛ v e		
499-3			n e		
14-3			j g ɛ l b		
1029-3			j u		
272-3			s ɛ r		
278-3			m o l		
410-3			ʃ r t ɛ s		
336-3			s ɛ p s ɛ		
1009-3			v ɛ n t r		
479-3			j		
712-3			m œ r		
1113-3			s a n d		
605-3			s s		
752-3			s p i r e		
695-3			ø b		
73-3			f r i g		
162-3			k ø n d		
239-3			d		
560-4				v j eː n	
438-4				au r iː ʃ	
1222-4				e v a	
353-4				f iː ʃ k iː	
201-4				p eː z ə	
20-4				k a s r	
503-4				f uː l	
957-4				eː n	
728-4				l a ŋ g a	
244-4				eː m ə r n	
289-4				n a s	
911-4				r a s iː n	
724-4				s r iː a	
145-4				t oː	
992-4				h oː	
1181-4				h j n	
706-4				a k r l a	
106-4				pf aː s r	
421-4				f l iː r	
227-4				f uː s	
920-4				h ai r s	
1083-4				k a r n y	
1066-4				eː g eː	
1125-4				g eː n r	
1197-4				m aː s r	
473-4				n r b aː l	
284-4				n eː r	
661-4				eː	
701-4				r r b r a	
315-4				r r t oː n t a	
1169-4				ʃ a l t	
1150-4				k oː r s	
982-4				a z eː r	
987-4				z eː v	
1055-4				eː s v a r	
1130-4				z uː g eː	
433-4				ʃ a l aː j	
585-4				t uː	
625-4				l eː g	
1186-4				t oː n s	
814-4				v ə r a	
416-4				v a s	
1233-4				v eː n t a	
884-4				v aː r m iː	
78-4				b l iː s	
514-4				b r uː n	
116-4				eː t eː	
188-4				f r a k r l	
745-4				f eː n a	
1100-4				f r u iː	
630-4				n g ə ʃ t	
1155-4				h au l l a	
24-4				n a s	
232-4				n au n k	
671-4				t r v a s	
460-4				f au t r t a	
8-4				g r aː t	
385-4				ʃ i	
945-4				z eː t n	
1041-4				z s a n d	
492-4				s eː n r iː	
527-4				v ai s ə r	
14-4				g aː l a	
1-4				a l	
915-4				a n d	
271-4				a ʃ	
711-4				b ai s	
1112-4				b l ə t	
205-4				b r aː z s	
301-4				k l a	
72-4				k a l t	
238-4				t aː	
560-5					k l m
438-5					i aː k a l
1222-5					o g s
353-5					f w k k u
201-5					f uː n f
20-5					f a t e r
503-5					f l a n
957-5					d i
728-5					l a ŋ
244-5					aː m a n
289-5					n a f t
911-5					r u t e n
724-5					t r w a
145-5					t u
992-5					k iː
1181-5					k e n d
706-5					u l
106-5					f a g a r
741-5					p a k
421-5					f l u m i
227-5					f u s
920-5					k o r m a n
1083-5					k o r n
1066-5					iː f
1125-5					k iː
1197-5					m a r e r
473-5					n u w a l
284-5					n a s
661-5					w a n
701-5					r u g
315-5					r u n p
1169-5					s a l i
982-5					a iː t s
987-5					k a
1055-5					t t w a l
1130-5					s e k
433-5					s a l a w
585-5					t uː
625-5					u u g
1186-5					l u n
814-5					w i r i d i
416-5					k w a
1233-5					w eː n d
884-5					w u r m
916-5					oː
1016-5					a n a m a l
952-5					a
78-5					b l a s
1079-5					b w a
116-5					iː s
188-5					f eː r n
745-5					f e g u r
47-5					k m a m a n
111-5					l aː k
1061-5					m uː t a u n
630-5					n g u e t
1155-5					k a l s
24-5					n u f t
232-5					n u
