COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u ɴ u									
18-1	θ a i i									
35-1	h ɨ g u s u									
36-1	m a θ u dʑ u									
48-1	m a g ɨ s u r i									
60-1	θ ɨ r j u									
63-1	h a r u ɴ u									
64-1	ʔʲ e									
67-1	h i m u									
68-1	h a g r r i									
71-1	u j a u									
76-1	h a ɴ u									
83-1	θ u ɴ u									
87-1	h a θ u g u									
95-1	m a ɴ u									
98-1	h a ɴ u									
99-1	θ u dʑ u									
-102-1	θ a b u r u									
103-1	θ u ɴ u									
110-1	θ e									
116-1	m u b a ɴ u									
120-1	m a θ u r i									
132-1	ʔ a θ u r i									
139-1	ʔ a θ ɨ r u s u r									
140-1	ʔ a sː u r i									
156-1	θ a g ɨ r i i									
168-1	θ u b i u									
169-1	h a ɴ u									
170-1	m a θ u									
173-1	θ a x u									
180-1	θ u ɴ u									
185-1	h a ts u									
186-1	m a r u ɴ u									
187-1	m a x u									
190-1	ʔ a k a s u r u									
193-1	k ɨ r u b u									
194-1	k ɨ r u s u r i									
195-1	k ɨ r u s u r i									
216-1	m a sː u m ɨ i r i									
221-1	m a x									
239-1	θ a x u									
252-1	m a ɕ u									
253-1	m a dʑ u									
254-1	ʔ a θ u r u									
266-1	θ a ɴ u									
267-1	m a k ɨ r u u u r i									
268-1	ʔ u ɴ i									
272-1	ʔ a sː u r									
276-1	ʔ a m u r u r i									
281-1	m a θ j u									
304-1	θ u h u i u									
305-1	ʔ j u ɴ u									
308-1	m a ɴ u									
309-1	x a x u									
310-1	θ e									
311-1	m a g a u									
342-1	m u x u									
346-1	k a r i s u r i									
347-1	k u r u r i									
348-1	h ɨ r u s u r i									
351-1	ʔ a r u r i									
361-1	ʔ a kː r u s u r u									
379-1	k a sː ɨ r ɨ b u									
394-1	h a s u i u									
395-1	m a g i ɴ u									
400-1	h a g ɨ r u r i									
412-1	m a g ɨ r u r i									
413-1	ʔ i k i r ɨ s u r u r i									
414-1	m a θ u r i									
422-1	h a k ɨ r u r u r u									
423-1	k a r g u r u ɴ i									
430-1	m a θ u r i									
435-1	m a θ u r i									
446-1	h a s a r ɴ u									
447-1	ʔ a u h a r u									
458-1	θ a dʑ u									
56-1	h i θ ɴ									
62-1	θ u ɴ u									
70-1	ʔ i x u									
96-1	m u									
101-1	h b u									
114-1	ʔ a x i									
119-1	ts ɨ ɴ u									
134-1	m u a u r u									
138-1	m u r u r i									
146-1	ʔ u sː u r i									
161-1	m u m u									
182-1	x ɨ b u ɴ u									
188-1	m i ɴ u									
196-1	m u ɴ u									
262-1	h i a r ɨ θ s i u									
300-1	h a z ɴ ɴ u									
313-1	x a g g u									
350-1	h a g ɨ s u r i									
352-1	k a j u s u r i									
396-1	h a r a s a r u									
401-1	ʔ u θ u r i									
420-1	ʔ a b u r u ɴ									
424-1	ʔ a θ a r u r i									
442-1	n ɨ n ɨ g u k r u r i									
455-1	ʔ a k i s u r u									
15-1	ʔ a r u									
49-1	n a x sː u ɴ u									
130-1	m u θ u									
149-1	ʔ a i i									
175-1	n a ɴ u									
199-1	x ɨ θ ɨ s a r i									
230-1	x a m ɨ g u u									
233-1	ʔ a k a i ɨ r u s r i i									
264-1	z a ɴ u									
274-1	n a r a u s u r a									
298-1	k a r u a u u									
303-1	m a sː ɨ r u a u									
354-1	k a z ɨ s u r i									
369-1	k i i u ɴ									
376-1	h a r i s a r i									
415-1	m a sː ɨ s u r i									
418-1	m ɨ g ts a									
456-1	ts a ɴ a									
59-1	ʔ ɨ m u									
118-1	k i r a ɴ e									
142-1	ʔ u θ ɴ r i									
14-2		k o r o								
18-2		k oː r o								
35-2		h o t o k o								
36-2		h o b o kʲ a								
48-2		h a s u a								
60-2		k o r u kʲ a								
63-2		h oː r o r a								
64-2		k o								
67-2		h o a								
68-2		h u b								
71-2		tɕ a								
76-2		h o r o								
83-2		k o r o								
87-2		h a s u kʲ a								
95-2		m i r o								
98-2		h a m a								
99-2		k oː tɕ i								
-102-2		h a b a a o r a								
103-2		tɕ oː r a								
110-2		d e								
116-2		m k a r a								
120-2		m o s i a								
132-2		k o t u a								
139-2		k j k o r o s u a								
140-2		k w o o o u								
156-2		k o g o r u u								
168-2		k o b a kʲ a								
169-2		h o m e								
170-2		m i k u								
173-2		k oː k u								
180-2		k o r o								
185-2		h w oː kʲ a								
186-2		m o oː r u								
187-2		m i k a								
190-2		k a k u r a a								
193-2		k o r u kʲ u								
194-2		m i r u a								
195-2		k o r u a								
216-2		h a r u g a a								
221-2		h a g a u								
239-2		k oː k u								
252-2		m i k u								
253-2		m o k o								
254-2		k a tɕ i u								
266-2		k o n a								
267-2		h a t oː r u r u								
268-2		k oː r i								
272-2		k a sː u r a								
276-2		k a n i u u								
281-2		m a s u kʲ o								
304-2		k o b b o r a								
305-2		s k e tɕ a								
308-2		h a r a								
309-2		k o r o								
310-2		k o								
311-2		h w u a								
342-2		m o k e								
346-2		k oː r i u								
347-2		k o r u e								
348-2		h ts i r u a								
351-2		k o t o a								
361-2		k a m o r a a								
379-2		k o s u a r a a								
394-2		h u o b o r a								
395-2		m i dʑ u								
400-2		h k a b oː r u								
412-2		h o k oː r u								
413-2		k u ts u b u u u								
414-2		k oː r u a								
422-2		h a b u r u r u								
423-2		k o s n i a r u								
430-2		h o b u a								
435-2		h o b i a								
446-2		m a t a k r a								
447-2		k a u b a								
458-2		k o k o								
56-2		k o k o								
65-2		k o r o								
70-2		k o r o								
75-2		k k oː a a								
114-2		k o k i								
119-2		k oː r o								
161-2		e w o								
171-2		k o a a								
188-2		m oː r i								
196-2		u u r u								
262-2		h k i n u k r a a								
300-2		h o b a m o								
313-2		k w a r o								
350-2		h a n a a								
352-2		k o k u a								
396-2		h oː r a								
401-2		k a s e e								
420-2		k i r e r u								
424-2		k a t o u u								
442-2		k i m a r u a u r u								
455-2		k o k o b i r u								
22-2		h o b kʲ a								
24-2		h i r r u								
49-2		k a n n u r e								
78-2		o k oː r u a u kʲ a								
89-2		k oː a								
149-2		k o r u								
183-2		h u i								
192-2		o oː k u								
250-2		h o k u r o a								
264-2		k a r e								
298-2		k o s o a a a								
303-2		h oː r a o a kʲ o								
314-2		m i s i kʲ a								
354-2		k i ts i t								
369-2		k a s r a								
376-2		m a r a a								
415-2		m u s u k u								
451-2		d o b a r u								
456-2		ts a r a								
72-2		m o k o								
80-2		k o s o k o								
104-2		oː r i								
118-2		k i r a n a								
150-2		h o g oː r a								
204-2		u b r a								
14-3			k o o							
18-3			k o o							
35-3			s o o k o							
36-3			s o o o							
48-3			n a n k o							
60-3			k o							
63-3			s a a o							
64-3			k o							
67-3			s k o							
68-3			n a							
71-3			t o							
76-3			h a o							
83-3			s a o							
87-3			h a n k o							
95-3			m a o							
98-3			h a i e							
99-3			k o o							
-102-3			s a k o							
103-3			s o							
110-3			k o							
116-3			h k							
120-3			h o							
132-3			k o k							
139-3			k o							
140-3			k o o ɴ o							
156-3			k o t o ɴ o							
168-3			s o k k							
169-3			h o i k o							
170-3			m o o							
173-3			k o o							
180-3			k o o							
185-3			s a							
186-3			m o k o o							
187-3			h a o							
190-3			k o k k k o							
193-3			k o o o							
194-3			s i u o							
195-3			k o k o							
216-3			h a u k a ɴ							
221-3			h a							
239-3			k o k o							
252-3			h o k o							
253-3			m o k o							
254-3			k o u o							
266-3			k o i o							
267-3			n o sː u							
268-3			k o o							
272-3			k o r							
276-3			k a n k u							
281-3			s o s							
304-3			s o k k							
305-3			s k k o							
308-3			s a							
309-3			k o o							
310-3			k o							
311-3			m a k o							
342-3			m a k o							
346-3			k o u k							
347-3			k o u							
348-3			h k a							
351-3			k o z							
361-3			k o k o							
379-3			k o s a u ɴ							
394-3			h k o k o o							
395-3			h o n u							
400-3			h k o							
412-3			s o o u							
413-3			k u o u							
414-3			k o u							
422-3			h o u o							
423-3			k o g a k e o							
430-3			h o o							
435-3			h o o							
446-3			s e i k ɴ							
447-3			k n o k t o							
458-3			k o o							
56-3			h a k o							
62-3			k a o							
65-3			k o o							
70-3			k o o							
75-3			k k o o							
96-3			s a							
101-3			h o							
114-3			k o k o							
119-3			k a							
134-3			s a u o							
138-3			s a a							
146-3			k a a o							
161-3			m u k o							
171-3			k o i o o							
182-3			k a o ɴ a							
188-3			m o o							
262-3			h k a ɴ ɴ							
300-3			h o k o							
313-3			i k o							
350-3			s o a k u							
352-3			k o k a k							
396-3			h a u k e o							
401-3			k a s e							
420-3			k a u e							
424-3			k o o k							
442-3			k a n i r							
455-3			k o o k u ɴ o							
15-3			k a o							
22-3			s o i							
49-3			k a e k							
78-3			o k o							
89-3			k o k							
130-3			s a o							
149-3			k o o							
175-3			s a o							
183-3			s k o							
192-3			o o o							
199-3			a e k							
230-3			a k o							
233-3			k a m a t o e							
250-3			k o k o ɴ o							
264-3			k a a							
274-3			s a r k o ɴ ɴ							
298-3			k o n o k o o							
303-3			k o s a o o							
314-3			s a s ɴ							
354-3			k a k k e							
369-3			k o							
376-3			a a r k e							
418-3			s a							
456-3			h a k a							
59-3			e k a							
72-3			s o k o							
80-3			k o n o k o							
104-3			a o							
118-3			s a s k e							
142-3			o t o							
150-3			s o u o							
204-3			o k o							
14-4				k oː r i						
18-4				k oː r i						
35-4				d i t o k o						
36-4				h u t o i						
48-4				m a h a i						
60-4				k oː r i						
63-4				s oː n a m i						
64-4				d oː						
67-4				h j i						
68-4				h i						
71-4				k g i						
76-4				h o r o						
83-4				s o n o						
87-4				h a b k i						
95-4				m i m i						
98-4				h e m i						
99-4				k oː k e						
-102-4				h a b i						
103-4				h oː m i						
110-4				e						
116-4				h k i u r i						
120-4				m o n u						
132-4				k o g u						
139-4				k o m o m u						
140-4				d o m o o						
156-4				d o o r a						
168-4				d o t i						
169-4				h o n i						
170-4				m a n i						
173-4				k oː k i						
180-4				k oː r o						
185-4				h oː i						
186-4				m a oː r i						
187-4				m u k i						
190-4				a i u i						
193-4				k oː r u i						
194-4				s i n i						
195-4				k oː s a i						
216-4				m a s						
221-4				m i m a i						
239-4				k oː j i						
252-4				m i d e						
253-4				m o k o						
254-4				k i s u i						
266-4				k o i						
267-4				m a o r u r u						
268-4				k oː m i						
272-4				a n i k a						
276-4				k a m i						
281-4				m a s i						
304-4				k o i e a i						
305-4				k k a t i						
308-4				h oː m o						
309-4				k oː r i						
310-4				d o						
311-4				n i i						
342-4				m o k e						
346-4				k oː s i i						
347-4				k oː r u						
348-4				h i n u i						
351-4				d o e o						
361-4				k i k d o u i						
379-4				k a s u i s i						
394-4				h i oː r i						
395-4				m i b a i						
400-4				h a b i r u						
412-4				s o b oː r u						
413-4				b a u j u u						
414-4				k oː r u						
422-4				h a b u u r o						
423-4				k o n a i i r o						
430-4				h a u						
435-4				h o b u						
446-4				s u a b e i						
447-4				d u i t i a						
458-4				k o k i						
56-4				d o t a						
62-4				k a n a						
65-4				k oː r i						
70-4				oː r i						
75-4				k a o a i						
96-4				m i						
101-4				s a						
114-4				k oː k i						
119-4				k a m o						
134-4				s e o r a						
138-4				s e n a						
146-4				k a n i a						
161-4				e a i						
171-4				k o a i						
182-4				k a n a						
188-4				m oː m i						
196-4				a u r i						
262-4				h k a r a b i i i						
300-4				h e a k o						
313-4				k t i						
350-4				s e b a i						
352-4				d i k a i						
396-4				h oː r u i						
424-4				k o o u						
442-4				s a m a u b u						
455-4				o k o b a r i						
15-4				k a m a						
22-4				h o i i						
24-4				h a a m e						
49-4				k a m m u e a						
78-4				a k oː r a a						
89-4				k oː						
130-4				s a r a						
149-4				k oː r i						
175-4				s a n a						
183-4				h i						
192-4				a e k i						
199-4				k a k a						
230-4				d a n a a k a						
233-4				d a a a a b a i						
250-4				d o b u m i						
264-4				k a r a						
274-4				s a a a a						
298-4				k o n o a i						
303-4				h oː n a m o i						
354-4				k i g e a						
369-4				k a s r u						
415-4				m u s b i						
418-4				s a k						
451-4				d u b a r i						
456-4				h d a						
59-4				a i a						
72-4				m o k i						
80-4				d o m o m o						
104-4				oː m i						
142-4				t a a						
150-4				h i a r u						
204-4				u t i i						
14-5					k o r o					
18-5					k a r o					
35-5					s o t o k o					
36-5					s o t o o					
48-5					m o ɴ a o					
60-5					k o r o					
63-5					s oː r a m o					
64-5					k o					
67-5					h i o					
68-5					m o t a					
71-5					k t k i					
76-5					h o r o					
83-5					s o r o					
87-5					h e n o					
95-5					m o r i					
98-5					h o m o					
99-5					k o k i					
-102-5					s a k i					
103-5					s oː m o					
110-5					k o					
116-5					m t k a r o					
120-5					m o s u					
132-5					k o k u					
139-5					k k o r o r u					
140-5					k t o o o ɴ u					
156-5					k o t o r u					
168-5					k o k o					
169-5					h o n u					
170-5					m o r u					
173-5					k o r u					
180-5					k o r o					
185-5					h t oː i					
186-5					m o oː r u					
187-5					m oː k i					
190-5					k o k t t a o					
193-5					k o r u i					
194-5					s i r a o					
195-5					k o r a o					
216-5					m a r u					
221-5					h a n a i					
239-5					k o k u					
252-5					m o k u					
253-5					m o k o					
254-5					k o ts u i					
266-5					k o o					
267-5					m o ɴ u r u r u					
268-5					k oː r i					
272-5					k a m u a					
276-5					k o r u u					
281-5					m o s i					
304-5					k o k k o					
305-5					a k a k i					
308-5					s a r o					
309-5					k o r o					
310-5					k o					
311-5					s t t i					
342-5					m o k u					
346-5					k o r u a					
347-5					k o r u					
348-5					h k i n a o					
351-5					k o r o					
361-5					k t t t o r a o					
379-5					k o s u o					
394-5					h k o t o r o					
395-5					m o ŋ i					
400-5					h k o b o r u					
412-5					s o k o r u					
413-5					k k k a k u r a r u					
414-5					h o r u					
422-5					h a k k u r i r u					
423-5					k o s ŋ u i r u					
430-5					h o k u					
435-5					h o k u					
446-5					s o t a t o					
447-5					k h o t ɴ u					
458-5					k o k u					
56-5					h i k o					
62-5					t o r a					
65-5					k o r o					
70-5					k o r o					
75-5					k k o o o					
96-5					s o					
101-5					s k o					
114-5					k o k i					
119-5					k a k o					
134-5					s a u r u					
138-5					s a n a ɴ ɴ					
146-5					k o n o k a					
161-5					m t o					
171-5					k o a o					
182-5					k o m o r u					
188-5					m oː m o					
196-5					m u r u					
262-5					h k i r a i					
300-5					h o t a k o					
313-5					k t t o					
350-5					s e n a i					
352-5					k o k a o					
396-5					h a r o					
401-5					k o s e					
420-5					k a k a ts e r u					
424-5					k o t o u					
455-5					k o k o t a r o					
15-5					k a r o					
22-5					s o i					
24-5					h a r r i					
49-5					k a ɴ n a a					
78-5					o k oː r i n i					
89-5					k o					
130-5					s a r u					
149-5					k o r u					
175-5					s a n o					
183-5					s k i					
192-5					o o k i					
199-5					k o t a					
230-5					k a k a a k o					
233-5					k a k a t o s o a					
250-5					k o k u k o					
264-5					k a r a					
274-5					s a w a t a					
298-5					k o ɴ o a o					
303-5					s oː s a n o t o					
314-5					s o s i					
369-5					k a s e r a					
376-5					m a r i					
415-5					m u s u t u					
418-5					s a					
451-5					d o k a r i					
72-5					s o k o					
80-5					k o s o k o					
104-5					o s i					
118-5					s a n k o					
142-5					t o k a					
150-5					s o t u r o					
204-5					u t r i					
14-6						t u n u				
18-6						t u u u				
35-6						u s u				
36-6						u s u				
48-6						b i u				
60-6						i n u				
63-6						m i m				
64-6						t u				
67-6						m a u				
68-6						b i a				
71-6						a dz u				
76-6						m u n u				
83-6						m u t u				
87-6						k i r u b u				
95-6						m u n u				
98-6						m i d s u				
99-6						u t u				
-102-6						i a a a b				
103-6						m u n u				
110-6						t u				
116-6						m				
120-6						m i u				
132-6						u u				
139-6						k d u				
140-6						a i u				
156-6						i d				
168-6						m i g a b u				
169-6						i s u				
170-6						m i t u				
173-6						t u s u				
180-6						u m u				
185-6						m a u d				
186-6						m i r				
187-6						m u d u				
190-6						i a				
193-6						i u u				
194-6						k i m u				
195-6						i m u				
216-6						k i i				
221-6						n i				
239-6						u d u				
252-6						m u t u				
253-6						b u t u				
254-6						i u u				
266-6						i d t u				
267-6						k i i u				
268-6						u n u				
272-6						i m b u				
276-6						i i s				
281-6						m i b u				
304-6						i m b u				
305-6						u dz u				
308-6						m u t u				
309-6						u t u				
310-6						t u				
311-6						b a t i u				
342-6						b u t u				
346-6						i m				
347-6						i u				
348-6						i u				
351-6						t u m				
361-6										
379-6						i i a i				
394-6						i				
395-6						m i g a u				
400-6						i u				
412-6						k i u				
413-6						k u i				
414-6						m i u				
422-6						i r				
423-6						i i				
430-6						m i k u				
435-6						m u u				
446-6						m i a d a i				
447-6						a i s a i u				
458-6						t u d u				
56-6						u d				
62-6						u t u				
65-6						k u u				
70-6						u d u				
