COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	θ a r u									
35-1	i θ u ts i									
36-1	u θ a ts i									
48-1	n a g a s a r i									
60-1	θ u r i									
63-1	s i r a mʲ i									
64-1	k e									
67-1	h a									
68-1	n ɨː									
71-1	ts i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n e									
95-1	m i m i									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	s i tɕ u a									
103-1	ts ɨ m ɨ									
110-1	θ ɨː									
116-1	r u h i ɴ n ɨ									
120-1	n u m u r i									
132-1	k i k u r i									
139-1	k u r u s u r i									
140-1	ʔ u ʔʲ u r i									
156-1	θ a dʑ u r i									
168-1	ts ɨ k i									
169-1	h u s i									
170-1	m i dʑ ɨ									
173-1	ʔ i s i									
180-1	k u m u									
185-1	h e i									
186-1	m o u r u r i									
187-1	m i tɕ i									
190-1	ʔ a k a s a r i									
193-1	k d r u u									
194-1	s i r u s a r i									
195-1	k u r u s a r i									
216-1	m a r u s a r i									
221-1	n a									
239-1	ʔ i ts ɨ									
252-1	m i dʑ ɨ									
253-1	j uː dʑ i									
254-1	ʔ i ts ɨ ts ɨ									
266-1	k a dʑ ɨ									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m i									
272-1	ʔ a m u e									
276-1	ʔ a r a r u r i									
281-1	m u s i									
304-1	ts ɨ r tɕ e									
305-1	ts i i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i a									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t u ts u								
48-2		n a g kʲ a								
60-2		t o r i								
63-2		s i r a m								
64-2		k								
67-2		h w a								
68-2		n iː								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t iː								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		w o j o g u								
156-2		t a pː e								
168-2		ts u k i								
169-2		h o s i								
170-2		m i pː u								
173-2		i s i								
180-2		k u m o								
185-2		h w a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k kʲ a								
193-2		k pː kʲ r o i								
194-2		s i r kʲ o								
195-2		k u r kʲ o								
216-2		m a r u kʲ a								
221-2		n u								
239-2		i ts u								
252-2		m i pː u								
253-2		j o pː u								
254-2		i ts u ts u								
266-2		k a pː e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m u								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b a								
305-2		tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
14-3			k o r e							
18-3			d a e							
35-3			h i t ts u							
36-3			h t ts u							
48-3			n a g e							
60-3			t o							
63-3			s i u m e							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a ɴ e							
95-3			m i m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s t a							
103-3			ts u m e							
110-3			t e							
116-3			m n e							
120-3			n o m u							
132-3			k i							
139-3			k o o s u							
140-3			o j o g							
156-3			t a pː							
168-3			ts u k i							
169-3			h o s i							
170-3			m i pː u							
173-3			i s i							
180-3			k u m o							
185-3			h							
186-3			m e							
187-3			m i tɕ i							
190-3			a k i							
193-3			k pː e							
194-3			s i r e							
195-3			k u r e							
216-3			m a r i							
221-3			n a							
239-3			i ts u							
252-3			m i pː u							
253-3			j o pː u							
254-3			i ts u ts u							
266-3			k a pː e							
267-3			n a g a r e u							
268-3			u m i							
272-3			a m u							
276-3			a r a							
281-3			m s							
304-3			ts u i							
305-3			tɕ i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n i							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o t u						
36-4				h u t a t u						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
