COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k sː r e									
18-1	θ a r u									
35-1	u i θ u sː ɨ									
36-1	sː u θ a sː ɨ									
48-1	ɴ.g a g a a r									
60-1	θ z r u									
63-1	sː a sː a m.i i									
64-1	k iː									
67-1	h a									
68-1	ɴ.g u									
71-1	sː u									
76-1	h sː ɴ.g e									
83-1	sː ɨ ɴ.g sː									
87-1	h a ɴ.g e									
95-1	m ɨ m ɨ									
98-1	h a ɴ.g a									
99-1	k u sː ɨ									
-102-1	sː i sː a									
103-1	sː ɨ m e									
110-1	θ u									
116-1	r u ɴ.g ɨ									
120-1	ɴ.g sː m ɨ r									
132-1	e ɨ r ɨ r									
139-1	k sː r sː sː ɨ r									
140-1	ʔ z z sː u									
156-1	θ a sː u m									
168-1	u.r sː ɨ u ɨ									
169-1	h sː sː ɨ									
170-1	m ɨ z ɨ									
173-1	ʔ ɨ sː ɨ									
180-1	k ɨ m sː									
185-1	h a a									
186-1	m sː i r ɨ r									
187-1	m ɨ sː ɨ									
190-1	ʔ a k a a r									
193-1	e z r sː u									
194-1	sː ɨ r sː a r									
195-1	k ɨ r sː a r									
216-1	m a h u									
221-1	ɴ.g a									
239-1	ʔ ɨ sː ɨ									
252-1	m iː ts ɨ									
253-1	h z ts ɨ									
254-1	ʔ ɨ sː ɨ sː ɨ									
266-1	k a z e									
267-1	ɴ.g a g a r e r ɨ r									
268-1	ʔ ɨ m ɨ									
272-1	ʔ a m ɨ e									
276-1	ʔ a r a r ɨ r									
281-1	m u sː ɨ									
304-1	sː ɨ r m a									
305-1	sː iː sː a									
308-1	h a ɴ.g a									
309-1	k ɨ sː a									
310-1	θ sː									
311-1	ɴ.g a									
342-1	sː ɨ e ɨ									
346-1	k u r a a r									
347-1	e i ts u r									
348-1	h ɨ sː sː a r									
351-1	θ z u a r									
361-1	ʔ r u.r sː m sː									
379-1	k ɨ sː a r u									
394-1	h ɨ z a r ɨ									
395-1	m ɨ sː r ɨ									
400-1	h i r ɨ r u r									
412-1	sː a k e r ɨ r									
413-1	sː ɨ k u sː ɨ h u r									
414-1	h sː r ɨ r									
422-1	h ɨ k ɨ r e r i									
423-1	k a ɴ g a r u r u									
430-1	h a r ɨ r									
435-1	h ɨ k ɨ r									
446-1	sː i r r a									
447-1	ʔ e r a									
458-1	θ sː sː ɨ									
56-1	h i r u									
62-1	ʔ ɨ									
70-1	sː a ɴ.g i									
96-1	m z									
101-1	h a									
114-1	k ɨ sː ɨ									
119-1	ts ɨ m sː									
134-1	s i sː u.r u r u									
138-1	s ɨ n u r u									
146-1	ʔ a u ɨ r u									
161-1	sː u r.i									
182-1	k ɨ m u s ɨ									
188-1	h a m a									
196-1	h u r u									
262-1	h i r m a									
300-1	h u sː sː									
313-1	θ i									
350-1	sː i m a a r.i									
352-1	sː i k a a r.i									
396-1	h ɨ r u a r.i i									
401-1	ʔ u sː									
420-1	ʔ u θ e r u									
424-1	ʔ ɨ θ a ɨ r.i									
442-1	h ɨ m ɨ sː u r r i									
455-1	ʔ i k ɨ θ u r.i u									
15-1	ʔ a r ɨ									
49-1	sː m ɨ n a g sː									
130-1	m i r ɨ									
149-1	k ɨ r ɨ									
175-1	m ɨ n a									
199-1	ʔ a ts ɨ a r									
230-1	ʔ a n sː sː u sː u									
233-1	a sː ʔ a m sː sː a sː a									
264-1	ts i sː ɨ									
274-1	ɴ.g i m ɨ θ z r u									
298-1	k i g a sː a									
303-1	g a sː a sː a r a									
354-1	ʔ a ui ɨ u a r.i									
369-1	k i i i r i									
376-1	sː a sː a r.i									
415-1	m ɨ sː ɨ sː ɨ									
418-1	n u r									
456-1	ui ɨ ɴ.g a									
59-1	ʔ ɨ r u									
118-1	g i ɴ g g									
142-1	θ u m a r.i									
14-2		k r e								
18-2		d a e								
35-2		tː u								
36-2		h u tː ui d u								
48-2		n a sː a.kʲ								
60-2		tː i								
63-2		s i r a w								
64-2		k w								
67-2		h w a								
68-2		n w u								
71-2		d								
76-2		h n e								
83-2		sː u n								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u d i								
-102-2		s i tː a								
103-2		sː u m e								
110-2		tː w								
116-2		m u n e								
120-2		n m								
132-2		k i k u								
139-2		k r s u								
140-2		sː								
156-2		tː a e								
168-2		sː u k i								
169-2		h s i								
170-2		m e d u								
173-2		i s i								
180-2		k u m								
185-2		h a								
186-2		m w e i								
187-2		m i d i								
190-2		a k a.kʲ								
193-2		k sː r i								
194-2		s i r								
195-2		k u r								
216-2		m a r dʑ								
221-2		n w u								
239-2		i u								
252-2		m w d u								
253-2		sː w d u								
254-2		i sː u u								
266-2		k a sː e								
267-2		n a sː a r e u								
268-2		u m i								
272-2		a m								
276-2		a r a u								
281-2		m u s i								
304-2		sː u b.u.m w								
305-2		d i u								
308-2		h a n a								
309-2		k u s a								
310-2		tː								
311-2		n i								
342-2		sː u k i								
346-2		k u r a.kʲ								
347-2		k i								
348-2		h i r								
351-2		tː w								
361-2										
379-2		k u s a dʑ a								
394-2		h i d a i								
395-2		w i sː i								
400-2		h i a u								
412-2		s a k e								
413-2		sː u k i s u s i								
414-2		h								
422-2		h u k u e r								
423-2		k a w sː e u								
430-2		h a k								
435-2		h u k u								
446-2		s i tː a								
447-2		u i								
458-2		tː s i								
56-2		tː								
65-2		k a dʑ u								
70-2		tː a d e								
75-2		k a dʑ u								
114-2		k u b.u.m i								
119-2		k i m								
161-2		sː sː								
171-2		k a dʑ a								
188-2		sː a m a								
196-2		sː o.b.a r u								
262-2		h i r u m a								
300-2		u h e s								
313-2		d e								
350-2		s e a.kʲ a								
