COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ o ʔ															
2163-1	kʰ u n															
2181-1	n ə m															
2060-1	ʔ o m															
410-1	t a															
1841-1	m o															
2017-1	h ei̯															
1004-1	l a															
614-1	p o h															
686-1	p l ɛ															
88-1	g o ʔ															
872-1	n u ŋ															
1891-1	t a															
68-1	s ɨ m															
631-1	p ə n															
594-1	k a															
1759-1	h a ɲ															
805-1	g ɨ ɲ															
756-1	h o k															
1201-1	m o ʔ															
2042-1	ʔ a															
1968-1	t a t															
2000-1	h aːi̯ ŋ															
17-1	p a t															
4-1	ə ə m															
788-1	t a															
1219-1	kʰ ɛ															
141-1	ʔ aːi̯ ŋ															
541-1	p r a ŋ															
1687-1	h u															
123-1	ə aːi̯ m															
1652-1	t a ŋ															
576-1	ŋ ɔ r															
1738-1	t a k															
442-1	h o m															
368-1	t a ŋ															
1778-1	p a t															
957-1	n ɨ p															
1704-1	ʔ a															
304-1	t a m															
1796-1	t a ŋ															
720-1	t ɛ h															
287-1	k ə p															
321-1	g u ŋ															
206-1	t o t															
1950-1	ʔ a															
665-1	t o n															
703-1	n o ʔ															
1290-1	m a															
1391-1	k u n															
269-1	k ɨ t															
855-1	t a n															
2078-1	s ɨ															
2213-1	m a															
1858-1	s ɨ															
1151-1	k j a n															
737-1	p r ɛ															
340-1	s o															
1111-1	s ɛ															
485-1	ŋ aːi̯															
1356-1	m u h															
1093-1	t o ŋ															
1063-1	t o m															
648-1	t ə ŋ															
223-1	g ɨ n															
1248-1	t ə															
1509-1	t ɨ ŋ															
504-1	t u h															
2130-1	s ɨ															
1-1	ʔ o															
386-1	ɨ o k															
1411-1	ʔ u															
1027-1	k ɨ ʔ															
1459-1	k l a															
1323-1	m ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ ɔ h															
1476-1	ʔ ɔ h															
1923-1	n ɨ															
105-1	v ɔ ŋ															
1431-1	ʔ o															
1814-1	m a ɲ															
1183-1	ŋ ɔ ŋ															
1430-1	t u															
1721-1	ɲ ɔ ʔ															
1617-1	p o ʔ															
1564-1	t u ʔ															
2111-1	h o															
1563-1	s a															
1597-1	s ɨ ŋ															
1859-2		ŋ a														
175-2		g a														
