COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g ə̆															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ă m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m aːu̯															
2017-1	h e															
1004-1	t ă															
614-1	b ou̯ h															
686-1	p l ɔ															
88-1	g ă k															
872-1	n ɨ ɲ															
1891-1	d ɛ															
68-1	s i															
631-1	p ɨ ɲ															
594-1	k ă															
1759-1	h a ɲ															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m oi̯															
2042-1	ʔ ɛ															
1968-1	d ă ʔ															
2000-1	t ă ŋ															
17-1	v a t															
4-1	pʰ e m															
788-1	d ɛ															
1219-1	kʰ ɨi̯															
141-1	ʔ ă ŋ															
541-1	p r ɔ ŋ															
1687-1	h u n															
123-1	ə̆ ă m															
1652-1	c e ɲ															
576-1	ŋ ɔ l															
1738-1	d ă k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă t															
1859-2		ŋ ai̯														
175-2		k ə														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n ɔː m														
2060-2		ʔ oː m														
410-2		d aːi̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k o k														
872-2		n ə ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b u h														
594-2		g ɔ														
1759-2		h a n														
805-2		k ə n														
756-2		h o k														
1201-2		m oːi̯ ʔ														
2042-2		ʔ a														
1968-2		d ɔ ʔ														
2000-2		d aː ŋ														
17-2		v a ʔ														
4-2		pʰ əː m														
788-2		d ai̯														
1219-2		kʰ i m														
141-2		ʔ aː ŋ														
541-2		p r j a ŋ														
1687-2		h uː														
123-2		ɔː aː m														
1652-2		dʑ i n														
576-2		ŋ oː														
1738-2		d a k														
442-2		h oː m														
368-2		d dʑ ŋ														
1778-2		b ɔ dʑ														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ uː ʔ													
2163-3			kʰ uː n													
2181-3			n a m													
2060-3			ʔ ɔː m													
410-3			ɗ ai̯													
1841-3			m aːu̯													
2017-3			h e													
1004-3			d a													
614-3			b o h													
686-3			b l iː													
88-3			k a ʔ													
872-3			n ɔː n													
1891-3			ɗ a													
68-3			s iː m													
631-3			b r uː n													
594-3			g a													
1759-3			h a ɲ													
805-3			k ə ɲ													
756-3			h o ʔ													
1201-3			m oi̯													
2042-3			h eː													
1968-3			ɗ a ʔ													
2000-3			d aː ŋ													
17-3			v a t													
4-3			pʰ a m													
788-3			ɗ ɔːi̯													
1219-3			kʰ iː													
141-3			ʔ aː ŋ													
541-3			b r j a b													
1687-3			h uː n													
123-3			a aː m													
1652-3			dʑ ə ŋ													
576-3			ŋ ɔː													
1738-3			ɗ a k													
442-3			h ɔː m													
368-3			ɗ j a ŋ													
1778-3			ɓ a t													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				k uː												
2181-4				n ɔː m												
2060-4				ʔ a m												
410-4				t aːi̯												
1841-4				m aːu̯												
2017-4				h ɔi̯												
1004-4				d a												
614-4				p o h												
686-4				b l ɔi̯												
88-4				k o k												
872-4				n ɨ k												
1891-4				t a												
68-4				s iː m												
631-4				p eu̯												
594-4				g aː												
1759-4				h ɛ ɲ												
805-4				k ə n												
756-4				h o k												
1201-4				m oːi̯												
2042-4				ʔ a												
1968-4				t a ʔ												
2000-4				d aː ŋ												
17-4				v a t												
4-4				pʰ əː m												
788-4				t ai̯												
1219-4				k iː m												
141-4				ʔ aː ŋ												
541-4				p ai̯												
1687-4				h uː												
123-4				ɔː aː m												
1652-4				dʑ i n												
576-4				ŋ ɔː ʔ												
1738-4				t a k												
442-4				h ɔː m												
368-4				t j əː												
1778-4				b ɔː ʔ												
1859-5					ŋ ei̯											
175-5					k ə n											
241-5					ʔ uː ʔ											
2163-5					kʰ uː											
2181-5					n a m											
2060-5					ʔ uː m											
410-5					ɗ aːi̯											
1841-5					m aːu̯											
2017-5					h ei̯											
1004-5					l̥ aː											
614-5					tʰ o h											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					n ə ŋ											
1891-5					ɗ a											
68-5					s i m											
631-5					b r uː											
594-5					ʔ aː n											
1759-5					h e ɲ											
805-5					k əː n											
756-5					h ɨː ʔ											
1201-5					m w a ʔ											
2042-5					ʔ aː											
1968-5					ɗ a ʔ											
2000-5					l̥ aː ŋ											
17-5					ɓ a t											
4-5					pʰ a m											
788-5					ɗ ei̯											
1219-5					kʰ i m											
141-5					ʔ aː ŋ											
541-5					p ə r											
1687-5					h uː											
123-5					r aː m											
1652-5					dʑ i n											
576-5					ŋ a ʔ											
1738-5					ɗ a ʔ											
442-5					h ɔː m											
368-5					dʑ j a ŋ											
1778-5					b ai̯ dʑ											
1859-6						ŋ iː										
175-6						k ə n										
241-6						ʔ uː ʔ										
2163-6						k uː										
2181-6						n a m										
2060-6						ʔ uː m										
410-6						ɗ ei̯										
1841-6						m aːu̯										
2017-6						h ei̯										
1004-6						l̥ aː										
614-6						p o h										
686-6						b l ei̯										
88-6						k a ʔ										
872-6						n ɔ ŋ										
1891-6						ɗ aː n										
68-6						s i m										
631-6						p aː n										
594-6						ʔ aː n										
1759-6						h e ɲ										
805-6						k i n										
756-6						h ɨː t										
1201-6						m w a ʔ										
2042-6						ʔ aː										
1968-6						ɗ a t										
2000-6						l̥ aː ŋ										
17-6						ɓ a t										
4-6						pʰ a m										
788-6						ɗ iː										
1219-6						k i m										
141-6						ʔ aː ŋ										
541-6						p r j a ŋ										
1687-6						h uː										
123-6						aː aː m										
1652-6						dʑ i ŋ										
576-6						ŋ a										
1738-6						ɗ a t										
442-6						h oː m										
368-6						g j a ŋ										
1778-6						b aː n										
1859-7							ŋ ai̯									
175-7							k ə									
241-7							ʔ uː ʔ									
2163-7							k uː									
2181-7							n ɔː m									
2060-7							ʔ au̯ m									
410-7							t aːi̯									
1841-7							m aːu̯									
2017-7							h ɔːi̯									
1004-7							d aː									
614-7							p o h									
686-7							b l ɔːi̯									
88-7							k a k									
872-7							n ɛː									
1891-7							t aː									
68-7							s i m									
631-7							b ə uː									
594-7							g ɔː									
1759-7							h ɔː ɲ									
805-7							k i n									
756-7							h o k									
1201-7							m oːi̯ ʔ									
2042-7							ʔ a									
1968-7							t a ʔ									
2000-7							d aː ŋ									
17-7							n v a ʔ									
4-7							pʰ əː m									
788-7							t ai̯									
1219-7							k iː									
141-7							ʔ aː ŋ									
541-7							p ə o ŋ									
1687-7							h uː									
123-7							ɔː aː m									
1652-7							dʑ iː									
576-7							ŋ ɔː									
1738-7							t a k									
442-7							h ɔː m									
368-7							t o ŋ									
1778-7							b ɔː ʔ									
1859-8								ŋ ai̯								
175-8								g a								
241-8								ʔ uː ʔ								
2163-8								kʰ uː								
2181-8								n a m								
2060-8								ʔ ɔː m								
410-8								ɗ aːi̯								
1841-8								m ɔː								
2017-8								h eː								
1004-8								t a								
614-8								ɓ ɔ h								
686-8								b l eː								
88-8								g a ʔ								
872-8								n ɨː								
1891-8								ɗ aː								
68-8								s ei̯ m								
631-8								p r uː								
594-8								k a								
1759-8								h eː ɲ								
805-8								g i ŋ								
756-8								l o k								
1201-8								m w a t								
2042-8								ʔ a								
1968-8								d a ʔ								
2000-8								t a ŋ								
17-8								v a ʔ								
