COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g ă n															
241-1	ʔ u															
2163-1	kʰ u															
2181-1	n ă															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m ɔ															
2017-1	h e															
1004-1	d ou̯															
614-1	b ou̯ h															
686-1	b l ɔ															
88-1	g ă ʔ															
872-1	n ɨ															
1891-1	d ou̯															
68-1	s e															
631-1	p ə̆ n															
594-1	g ɛ															
1759-1	h a ɲ															
805-1	g e ɲ															
756-1	h ɨ ʔ															
1201-1	m ɔ ʔ															
2042-1	ʔ ɛ															
1968-1	d ă ʔ															
2000-1	d ou̯ ŋ															
17-1	v ă c															
4-1	ə e m															
788-1	d ɛ															
1219-1	h ɨi̯															
141-1	ʔ ou̯ ŋ															
541-1	p r j a ŋ															
1687-1	h u															
123-1	ə ou̯ m															
1652-1	c e ɲ															
576-1	ŋ ɔ n															
1738-1	d ă ʔ															
442-1	h o m															
368-1	d o ŋ															
1778-1	p ă t															
957-1	ă ɔ ʔ															
1704-1	ʔ ɨi̯ ʔ															
304-1	c ă m															
1796-1	c ɔ ŋ															
720-1	t au̯ h															
287-1	g ă p															
321-1	g ə̆ ŋ															
206-1	g o ʔ															
1950-1	ʔ ɔ															
665-1	ɔ ɔ n															
703-1	n ou̯ ʔ															
1290-1	m ɛ															
1391-1	g ă ʔ															
269-1	g ă ʔ															
855-1	c ă ɲ															
2078-1	s e															
2213-1	m ɛ															
1858-1	s ɨ															
1151-1	g j a n															
737-1	p ə̆ n															
1859-2		ŋ ai̯														
175-2		k a n														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n a m														
2060-2		ʔ oː m														
410-2		d aːi̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k oː ʔ														
872-2		n ə														
1891-2		d aː														
68-2		s i														
631-2		b ə n														
594-2		k aː														
1759-2		h a n														
805-2		k ɨ n														
756-2		h ɨ k														
1201-2		m oː ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		d aː ŋ														
17-2		v a dʑ														
4-2		n əː m														
788-2		d ai̯														
1219-2		n ɔi̯ m														
141-2		ʔ aː ŋ														
541-2		b r j a n														
1687-2		h uː														
123-2		d aː m														
1652-2		dʑ ɔː n														
576-2		ŋ oː														
1738-2		d a k														
442-2		h oː m														
368-2		d j o ŋ														
1778-2		b ai̯ dʑ														
957-2		n a														
1704-2		ʔ ui̯														
304-2		dʑ a m														
1796-2		dʑ a ŋ														
720-2		d ai̯														
287-2		k ə n														
321-2		k ə h														
206-2		k o k														
1950-2		ʔ au̯														
665-2		ɣ oː n														
703-2		n oː														
1290-2		m ai̯														
1391-2		k a ʔ														
269-2		k a ʔ														
855-2		dʑ eː n														
2078-2		s i														
2213-2		m a														
1859-3			ŋ aːi̯													
175-3			k a n													
241-3			ʔ uː ʔ													
2163-3			kʰ uː													
2181-3			n a													
2060-3			ʔ ɔː m													
410-3			ɗ ai̯													
1841-3			m aːu̯													
2017-3			h i													
1004-3			l aː													
614-3			b o h													
686-3			b l ɔː													
88-3			k a ʔ													
872-3			n ɔː ŋ													
1891-3			ɗ aː													
68-3			s iː													
631-3			b r ə n													
594-3			k aː													
1759-3			h a ɲ													
805-3			k i ŋ													
756-3			h ɨː													
1201-3			m ɔː t													
2042-3			ʔ a													
1968-3			ɗ a t													
