COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ɛ ɛ w ɛ									
893-1	ɛ t ɛ b d ɛ									
1285-1	n ɛ ɛ t									
1303-1	ŋ t n w a									
2197-1	n t ɛ l w									
2828-1	ʃ ɛ ɛ ɛ									
3572-1	ʃ w n ɛ									
1095-1	t ɛ ɛ ɛ									
1755-1	w ɛ ɛ									
1789-1	s w ɛ a ɛ ŋ t a									
3207-1	n w w a									
3519-1	ɛ ɛ ɛ ɛ									
3686-1	t ɛ j t ɛ									
4249-1	t w n n									
4451-1	n ɛ w w									
448-1	ɛ ɛ a a a ɛ									
630-1	k ɛ j l ɛ									
814-1	n w á i i w									
1216-1	g ɛ a i l ɛ									
1228-1	n w w i									
1418-1	t ɛ ɛ a a a a									
1475-1	n ɛ ɛ									
2026-1	n w i i									
2775-1	n n t i t a									
3397-1	t ɛ l a									
3826-1	n w n a									
4003-1	ɛ n l a									
4040-1	n w n ɛ									
4373-1	l ɛ t ɛ									
4384-1	ɛ ŋʰ ɛ									
84-1	s a a ɛ ɛ ɛ									
116-1	i i n a									
181-1	n ɔ ɔ ŋ d w									
419-1	t ɛ g a									
587-1	ɔ t j d ɔ									
660-1	ɛ ɛ ɛ a									
848-1	t i i a									
1083-1	l w w a									
1122-1	ʃ i ɛ ɛ									
1159-1	i i									
1350-1	l j w d									
1374-1	ŋ g a ŋ ŋ ɛ									
1396-1	t ɛ t ɛ									
1430-1	i n n i									
1666-1	t w ŋ ŋ w									
1767-1	k j l j									
1906-1	i ŋ g ɛ l a									
2177-1	n g w dʒ i									
2286-1	l ɛ									
2317-1	ɛ ɛ t a									
2419-1	ʃ u k a									
2750-1	ɛ ɛ n j									
3018-1	ʃ i l ɛ									
3275-1	t ɛ j ɛ ɛ									
3441-1	s a i ŋ i a									
3464-1	ɛ ɔ ɛ ɛ									
3639-1	t ɛ t ɛ ɛ ɛ l a									
3885-1	t u i ɛ									
3981-1	ɛ ɔ ɛ ŋ a a									
4192-1	j ɛ a n d a									
4260-1	n w w i									
4350-1	j ɛ j ŋ d ŋ									
43-1	l i z a a									
