COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a s ɨ m																		
107-1	g a m ə l a																		
112-1	d ə m ə n a																		
331-1	n ɨ g u s																		
377-1	b ə h l ə																		
381-1	a d																		
417-1	r u j																		
451-1	ʔ a n t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	ʔ ɨ ɨ t																		
535-1	ʔ a s ɨ r																		
543-1	s o s t																		
593-1	ʔ a m j s																		
640-1	m a																		
1-1	d ə mː ə r a																		
65-1	ʔ u b																		
212-1	ʔ ə n																		
244-1	ʔ a r ə t																		
248-1	m ə l ə																		
293-1	ʔ ə r ə s																		
373-1	kʼ ɨ m a l																		
408-1	b ə r a																		
414-1	ʔ u b a																		
601-1	ʔ ə b r																		
642-1	n ɨ f a s																		
60-1	n ə f ə s a																		
115-1	l a m																		
209-1	ʔ ə m ɨ t																		
242-1	ʔ a m ɨ s t																		
415-1	ʔ ɨ n a b																		
450-1	ʔ ə r																		
490-1	ʔ ə b a																		
638-1	s a r j																		
645-1	kʼ a l																		
160-1	ʔ ə r ə j a																		
208-1	ʔ ɨ n kʼ l a l																		
214-1	ʔ a b																		
378-1	ʔ a r g ə j																		
379-1	ʔ ɨ r ə j																		
409-1	ʔ a t ə r																		
598-1	ʔ ə																		
646-1	ʔ a j																		
210-1	ʔ ə h o n																		
215-1	ʔ a																		
285-1	m ɨ h a																		
332-1	ʔ ə g r																		
380-1	ʔ a zː a																		
412-1	ʔ a zː ɨ n																		
64-1	ʔ a r o																		
67-1	ʔ a j																		
251-1	ʔ ɨ l																		
294-1	m ə r n a																		
597-1	ʔ ə r ə j a																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ n																	
107-2		g ɨ m ə l																	
112-2		d a m ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l o																	
381-2		ʔ a n d																	
417-2		r u s																	
451-2		s ə a a																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ k ɨ s t																	
535-2		ʔ a s ɨ r																	
543-2		s o s t																	
593-2		ʔ a m u s																	
640-2		m a n																	
1-2		d ə m ə r ə																	
65-2		tʼ u t																	
163-2		a ə a																	
212-2		ʔ n																	
244-2		ʔ a r a a																	
248-2		m u l u																	
293-2		f ə r ə s																	
373-2		kʼ ɨ m a																	
408-2		b ə r ə																	
414-2		d u a a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		l a m																	
209-2		s ɨ m ɨ n t																	
242-2		ʔ a m ɨ s t																	
415-2		s ɨ n a b																	
450-2		s ə r																	
490-2		tʼ ə b a																	
645-2		kʼ a l																	
160-2		d ə r ə kʼ																	
208-2		ʔ ɨ n kʼ u l a																	
378-2		ʔ a n g ə t																	
379-2		s ə tʼ ə a																	
409-2		ʔ a t ə r																	
598-2		a ə																	
646-2		ʔ a n t ə																	
210-2		s ɨ a o n																	
215-2		ʔ a t																	
285-2		m ɨ tʼ a d																	
380-2		ʔ a a u n																	
412-2		s a k ɨ n																	
