COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	tɬ k o + n e x + tɬ i								
8-1	w j i								
16-1	e s + tɬ i								
24-1	i s t i								
32-1	m i k i								
51-1	o n + i								
52-1	w a ʔ + k i								
53-1	n a k a s i								
54-1	tɬ a + l i i								
55-1	k w a								
60-1	i x + t e l o l o								
83-1	tɬ e + tɬ								
87-1	p a tɬ a n i								
92-1	m a k a								
103-1	m a								
106-1	k a k i								
138-1	n ʔ w a + tɬ								
139-1	m i k + t i a								
142-1	m a t i								
145-1	m o + t k a								
176-1	tɬ a k a tɬ + tɬ								
179-1	n a k a + tɬ								
180-1	m ts + tɬ i								
186-1	k e tʃ i								
190-1	j e k a + k								
194-1	s a								
220-1	o ʔ + tɬ i								
231-1	i t a								
240-1	k o tʃ i								
283-1	t e + tɬ								
293-1	i n + i								
314-1	k a w i + i tɬ								
315-1	oː m e								
322-1	t e ʔ w a i								
323-1	tɬ n								
9-1	t oː t oː + tɬ								
17-1	ʔ m i + tɬ								
22-1									
30-1	w i ts								
88-1	i i								
158-1	w e j a k								
159-1	a								
177-1	m i a k								
184-1	t oː k a ʔ i + tɬ i								
187-1	j a n k w i + k								
227-1	x a + l i i								
1-2		n u u i h							
2-2		u a + n e i							
8-2		u e t k i							
16-2		e s + t i							
24-2		i s t i h							
32-2		u i k i							
51-2		t u n + i h							
52-2		u a k + t i k							
53-2		n a k a s							
54-2		t a u l i h							
55-2		k w a + t							
60-2		i u + t u u i i i							
83-2		t i h + t							
87-2		p a t a n i							
92-2		u a k a							
103-2		u a k							
106-2		k a k i							
138-2		n e h a							
139-2		u i k + t i a + t u							
142-2		u a t i							
145-2		u u + t e k a							
176-2		t a k a + + t							
179-2		n a k a + t							
180-2		u e u + t i							
186-2		k e u							
190-2		j a k a + t							
194-2		s e							
220-2		u h + k t i h							
231-2		i h t a							
240-2		k u i i							
283-2		t e + t							
293-2		u i n							
314-2		k w a u i + k t							
315-2		u u e							
322-2		t e h a u e i							
323-2		t e							
9-2		t u t i + t							
17-2		u u i + t							
22-2		t a t a + t u							
88-2		u k i h							
158-2		u e t k j a k							
159-2		u t i n							
177-2		u i a k							
184-2		t u k a k							
187-2		j a u k w i + k							
227-2		u a u i i h							
1-3			j o tʃ i						
2-3			n e x i						
8-3			w eː						
16-3			e s + t i						
24-3			i s t i						
32-3			m i ʔ aː						
51-3			o n + i						
52-3			w aː k t o						
53-3			n a k a s i						
54-3			t aː h l i						
55-3			k w aː						
60-3			i x + t o o n i						
83-3			t i + ʔ t i						
87-3			p a t aː t + i						
92-3			m a k a						
103-3			m e w						
106-3			k a k aː						
138-3			n e						
139-3			m i ʔ + t i a						
142-3			m a t i						
145-3			m o + t eː ʔ a						
176-3			t aː ʔ a ʔ						
179-3			n a ʔ a + ʔ						
180-3			m eː s + t i						
186-3			k e tʃ ʔ i						
190-3			j a ʔ i + t i						
194-3			s eː						
220-3			o h + t i i						
231-3			i t a						
240-3			k o tʃ i						
283-3			t e + t i						
293-3			i i n a						
314-3			k w a i + ʔ						
315-3			oː m e						
322-3			t e h eː m e h						
323-3			t						
9-3			t oː t o + ʔ						
17-3			oː m i + ʔ						
22-3			t a t aː a						
30-3			w i ts						
88-3			iː ʔ aː						
158-3			w e w a ʔ						
159-3			a t iː e k ʔ						
177-3			m i w a k						
184-3			t o ʔ e a ʔ i						
187-3			j a n k w i + k						
227-3			w x aː n l i						
1-4				n o tʃ e + o					
2-4				n e x + tɬ i					
8-4				w i j					
16-4				e s + tɬ i					
24-4				i s e					
32-4				m i k i					
51-4				o n + i					
52-4				w a x + k i a					
53-4				n a k a s					
54-4				tɬ a l a o					
55-4				k w a					
60-4				i x o + +					
83-4				tɬ e o + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h + a					
139-4				m i k o t a o					
142-4				m a t i					
145-4				m o + t i k a					
176-4				o i x e					
179-4				n a k a + tɬ					
180-4				m i ts + tɬ i					
186-4				k e tʃ + k o tɬ a					
190-4				j e k					
194-4				s i					
220-4				o x + + tɬ					
231-4				tɬ a					
240-4				k o tʃ i					
283-4				o + e + t					
293-4				i n o					
314-4				k w a w i + o tɬ					
315-4				o m e					
322-4				t e x tɬ w e k a					
323-4				tɬ i					
9-4				t o o + tɬ					
17-4				k tɬ + tɬ					
30-4				h w i ts					
88-4				x i o					
158-4				w e j a k i					
177-4				m e j a k					
184-4				t o k a					
187-4				j a n k w i + k					
227-4				x a l a o					
1-5					t o t i				
2-5					h n i x				
8-5					t e + j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i k i				
51-5					o n + i				
52-5					t aː t + t o a				
53-5					n a k a s				
54-5					t aː h l h				
55-5					k a				
60-5					i x				
83-5					t i + t				
87-5					p a t aː n i				
92-5					m a k a				
103-5					m a t				
106-5					k a k i				
138-5					n e h a				
139-5					m i k + t i a				
142-5					m a t i				
145-5					m o + t eː k a				
176-5					t aː k a + a				
179-5					n a k a + t				
180-5					m eː ts + t i				
186-5					k e t				
190-5					j a k + t				
194-5					s eː				
220-5					o h + t i				
231-5					i t a				
240-5					k o t i				
283-5					t h h t i				
293-5					i n				
314-5					k a t i + + t				
315-5					oː m e				
322-5					t e h a m e h				
323-5					t a				
9-5					t oː t oː + t				
17-5					o m i + a				
22-5					t a t i a				
30-5					a i a				
88-5					h i				
158-5					t eː + j a k t				
159-5					a t i m i				
177-5					m i a k				
184-5					t oː k aː h				
187-5					j a n k i + k				
227-5					x aː h l h				
1-6						n u l i			
2-6						+ + u a n e w			
8-6						w e j n			
16-6						e s + t			
24-6						i s l			
32-6						m iː k i			
51-6						u n + iː			
52-6						w a k + l a			
53-6						n a k a s			
54-6						l a l i			
55-6						k w a			
60-6						iː + t u l u l u t t			
83-6						l i t			
87-6						p a t a n i			
92-6						m a k a			
103-6						m a w			
106-6						k a k i			
138-6						n a			
139-6						m i k + t a			
142-6						m a t i			
145-6						m u + t eː k a m			
176-6						t k a			
179-6						n a k a + tɬ			
180-6						m eː + + t			
186-6						k e t			
190-6						j a k a tɬ			
194-6						s eː			
220-6						u h + t t i			
231-6						i t a			
240-6						k u t i			
283-6						l e + t			
293-6						iː n u t			
314-6						k a w i t			
315-6						u m e n			
322-6						t e h + w e			
323-6						t e			
9-6						t u l uː + t			
17-6						u + m + t			
22-6						t a t + i t a			
30-6						w iː ts			
88-6						iː k i			
158-6						w e j a k			
159-6						a t i n t t			
177-6						m i a k			
184-6						t u k w			
187-6						j a k w i + k			
227-6						x a l i			
1-7							t e t e		
2-7							n e t		
8-7							t e t		
16-7							e t + t e		
24-7							e t t e		
32-7							t e t e		
51-7							e t + e		
52-7							t e t t e t		
53-7							n e t e t		
54-7							t e t		
55-7							t w e		
60-7							e t		
83-7							t e t		
87-7							t e t e n e		
92-7							t e t e		
103-7							t e m		
106-7							t e t e		
138-7							n e		
139-7							t e t t e e		
142-7							t e t e		
145-7							t e m t e t e		
176-7							t e t e t		
179-7							n e t e t		
180-7							t e t t e		
186-7							t e t o		
190-7							t e t		
194-7							t e		
220-7							e t t e		
231-7							e t e		
240-7							t e t e		
283-7							t e + t		
293-7							e n		
314-7							t w e t e l t		
315-7							e t e		
322-7							t e t e t e n		
323-7							t e		
17-7							e t e t		
22-7							t e t e		
30-7							t e t		
159-7							e t e n +		
1-8								j o tʃ ɨ	
2-8								h n eː l	
8-8								w e oː	
16-8								s e s	
24-8								i s t ɨ	
32-8								m i k	
51-8								o n ɨ	
52-8								aː k + oː k	
53-8								h a k a s	
54-8								tɬ aː l p	
55-8								k aː	
60-8								i p + t l l a	
83-8								tɬ i ɨ	
87-8								k a tɬ aː n	
92-8								m a k a	
103-8								m aː tʃ h	
106-8								k a k	
138-8								n e h aː	
139-8								m i + t ɨ +	
142-8								m a	
145-8								m o + t eː a k	
176-8								t aː a k	
179-8								h a a	
180-8								m e tʃ	
186-8								k e tʃ + oː	
190-8								j a	
194-8								s e oː	
220-8								o h + tɬ ɨ	
231-8								a	
240-8								k o tʃ	
283-8								s t ɨ	
293-8								i n	
314-8								k w a w +	
315-8								e m e	
322-8								t e h e aː +	
323-8								tɬ e ɨ	
9-8								t e t oː	
17-8								o m ɨ	
22-8								tɬ a t aː +	
30-8								w i ts	
88-8								k i	
158-8								w e j a + m	
159-8								a t i m tʃ + tɬ	
177-8								m i a ɨ a	
184-8								t e aː h	
187-8								j a n k w ɨ k	
227-8								a aː l p	
1-9									n o tʃ iː + n
2-9									e k e u n e x + tɬ
8-9									w e j
16-9									j e s + tɬ iː
24-9									i s t tɬ tɬ
32-9									m i k iː
51-9									tɬ o n + iː
52-9									w ø + k iː
53-9									n a k a s + tɬ iː
54-9									tɬ ø e l iː
55-9									k w ø t
60-9									i x + t e l u l u
83-9									tɬ e e e e tɬ
87-9									p ø tɬ ø n iː
92-9									m a k ø
103-9									m ø e e + n
106-9									k a k iː
138-9									n e h a tɬ
139-9									m i k i + t i a
142-9									m a t iː
145-9									m o t e k a
176-9									a k a + tɬ
179-9									n a k a + tɬ
180-9									m e e ts tɬ iː
186-9									k e tʃ t e tɬ iː
190-9									j e k a + k
194-9									s e j a
220-9									o h e tɬ i i
231-9									i t ø
240-9									k o tʃ iː
283-9									e e e t e + tɬ
293-9									i n + n
314-9									k u i + tɬ + tɬ
315-9									u m e
322-9									t e h a n
323-9									tɬ e n e
9-9									t u t u + tɬ
22-9									tɬ + + + + + + + + +
30-9									w ts
88-9									i k iː
158-9									w e j a k i e
159-9									+ + m + + + tɬ
177-9									m i a k i
184-9									t u k a t + tɬ
187-9									j a n k w + k
227-9									x a e l iː
