COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ⁵⁵																		
4-1	tɕʰ i ⁵⁵																		
5-1	ʈʂ a ŋ ⁵¹																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a ŋ ⁵¹																		
8-1	ɕ j ⁵¹ ⁵¹																		
9-1	p u ⁵⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j e ²¹⁴																		
33-1	ʐ u ²¹⁴																		
38-1	ə ⁵¹																		
40-1	y ə n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵¹																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	n i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵¹																		
115-1	t au ²¹⁴																		
118-1	tɕ j e ⁵¹																		
124-1	tɕ j a ²¹⁴																		
127-1	ts w o ⁵¹																		
133-1	tʰ ou ⁵⁵																		
144-1	ʂ a ²¹⁴																		
161-1	ɕ y ŋ ⁵⁵ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ³⁵																		
171-1	tʰ u ⁵¹																		
173-1	ʐ ʅ ⁵¹																		
174-1	l ei ⁵¹																		
175-1	tɕʰ ɥ a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ⁵⁵																		
179-1	l u ⁵¹																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə ŋ ²¹⁴																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵ ⁵⁵																		
200-1	ʈʂʰ u ⁵⁵																		
202-1	t au ⁵⁵																		
205-1	f ə n ⁵⁵																		
206-1	tɕʰ j e ⁵⁵																		
209-1	x w a ⁵¹																		
211-1	ʈʂʰ u ⁵⁵																		
215-1	l i ⁵¹																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
219-1	ʂ w a ⁵⁵																		
220-1	ʈʂʰ ɿ ⁵¹																		
225-1	tɕʰ j a n ³⁵																		
230-1	tɕ j a n ²¹⁴																		
234-1	pʰ i ⁵⁵																		
238-1	l i ³⁵																		
242-1	ts u ⁵¹																		
253-1	tɕʰ i n ³⁵																		
256-1	ʂ au ³⁵																		
261-1	x w a ⁵¹																		
262-1	p ai ⁵⁵																		
263-1	ʈʂʰ ʅ ³⁵																		
264-1	tɕ j a ŋ ⁵¹																		
271-1	ʂ ʅ ³⁵																		
272-1	tɕʰ j a n ⁵⁵																		
274-1	u ²¹⁴																		
275-1	p a n ⁵¹																		
279-1	n a n ³⁵																		
287-1	l w a n ²¹⁴																		
291-1	x ou ⁵¹																		
295-1	tɕʰ y ⁵¹																		
300-1	j ou ²¹⁴																		
303-1	tɕʰ y ²¹⁴																		
306-1	kʰ ou ²¹⁴																		
307-1	k u ²¹⁴																		
308-1	tɕ y ⁵¹																		
312-1	tɕ j au ⁵¹																		
313-1	kʰ ɤ ²¹⁴																		
314-1	tʰ ai ³⁵																		
323-1	m i ŋ ³⁵																		
325-1	tʰ u ²¹⁴																		
330-1	f ou ²¹⁴																		
334-1	ɕ i ³⁵																		
335-1	ʈʂʰ w ei ⁵⁵																		
338-1	k au ⁵¹																		
339-1	ʈʂ ou ⁵⁵																		
341-1	x u ⁵⁵																		
342-1	m i ŋ ⁵¹																		
343-1	x ɤ ³⁵ ³⁵																		
344-1	j au ²¹⁴																		
349-1	kʰ u ⁵⁵																		
353-1	ʈʂʰ a ŋ ⁵¹																		
360-1	x ou ³⁵																		
2-2		i ²⁴																	
4-2		tsʰ i ²⁴																	
5-2		ts a n ⁵⁵																	
6-2		s a n ³³																	
7-2		ʂ a n ⁵⁵																	
8-2		x a ²¹ ⁵⁵																	
9-2		p u ²⁴																	
17-2		ʈʂ o ŋ ³³																	
31-2		tɕ j ɤu ⁴¹																	
32-2		j e ⁴¹																	
33-2		y ɤu ⁴¹																	
38-2		ɤ ⁵⁵																	
40-2		y ə ¹³																	
42-2		u ⁴¹																	
43-2		tɕ i n ⁴¹																	
46-2		w a n ¹³																	
52-2		n j a n ⁵⁵																	
53-2		ʐ ə n ¹³																	
56-2		tɕ i n ³³																	
59-2		tʰ a ³³																	
60-2		ts a n ⁵⁵																	
64-2		n i n ⁵⁵																	
68-2		tɕ ieː ²¹																	
85-2		w ei ⁵⁵																	
86-2		t i ³³																	
87-2		tɕ y ⁵⁵																	
93-2		ɲ i ⁴¹																	
98-2		n ai ¹³																	
109-2		s i n ⁵⁵																	
115-2		t au ⁴¹																	
118-2		ts j e ⁵⁵																	
124-2		tɕ j a																	
127-2		ts o ⁵⁵																	
133-2		tʰ ɤu ³³																	
144-2		s a ⁴¹																	
161-2		ɕ j o ŋ ³³																	
166-2		k w a n ³³																	
170-2		ɤ ¹³																	
171-2		tʰ u ⁵⁵																	
173-2		ʐ ʅ ²⁴																	
174-2		l ei ⁵⁵																	
175-2		tɕ yeː ¹³																	
176-2		n j a n ⁴¹																	
177-2		p a ²⁴																	
179-2		n j ɤu ²⁴																	
181-2		p i n ³³																	
182-2		tɕ i ¹³																	
189-2		k oː ³³																	
191-2		t o ŋ ³³																	
193-2		n ə n ⁴¹																	
198-2		t ə n ⁵⁵																	
199-2		ɕ j o ŋ ³³																	
200-2		tɕʰ ɤu ²⁴																	
202-2		t au ³³																	
205-2		f ə n ³³																	
206-2		tɕʰ j e ²⁴																	
209-2		x a a ⁵⁵																	
211-2		tsʰ ɤu ³³																	
215-2		n i ⁵⁵																	
216-2		k w a ²⁴																	
217-2		t au ⁵⁵																	
219-2		s ɥ a ²⁴																	
220-2		ʈʂʰ ʅ ⁵⁵																	
225-2		tɕʰ ieː ¹³																	
230-2		ts ieː ⁴¹																	
234-2		p i ²⁴																	
238-2		n i ²⁴																	
242-2		ts ɤu ²¹																	
253-2		tɕ i n ¹³																	
256-2		ʂ ɤu ²⁴																	
261-2		x o a ⁵⁵																	
262-2		p ɤ ²⁴																	
263-2		ʂ ʅ ¹³																	
264-2		ts j a n ⁵⁵																	
271-2		ʂ ʅ ²⁴																	
272-2		tɕʰ ieː ³³																	
274-2		u ⁴¹																	
275-2		p oː n ⁵⁵																	
279-2		n a n ¹³																	
287-2		n oː ⁴¹																	
291-2		x ɤu ⁵⁵																	
295-2		tɕʰ i ⁵⁵																	
300-2		j ɤu ⁴¹																	
303-2		tsʰ i ⁴¹																	
306-2		kʰ ɤu ⁴¹																	
307-2		k u ⁴¹																	
308-2		tɕ y ⁵⁵																	
312-2		tɕ j au ⁵⁵																	
313-2		kʰ o ⁴¹																	
314-2		t ai ¹³																	
323-2		m i n ¹³																	
325-2		tʰ u ⁴¹																	
330-2		f ɤu ⁴¹																	
334-2		s i ²⁴																	
335-2		tɕʰ ei ³³ ³³																	
338-2		k au ⁵⁵																	
339-2		ʈʂ ɤu ³³																	
341-2		f u ³³																	
342-2		m i n ⁵⁵																	
343-2		x o ¹³																	
344-2		j au ⁴¹																	
349-2		kʰ u ²⁴																	
353-2		tɕʰ a n ⁵⁵																	
360-2		x ɤu ¹³																	
2-3			i i ²¹																
4-3			tsʰ i k ²¹																
5-3			ts a ŋ ³⁵																
6-3			s a m ³³																
7-3			s w ŋ ŋ																
8-3			h a ³⁵																
9-3			p u k ²¹																
17-3			t o ŋ ³³																
31-3			k j u ⁵³																
32-3			j e ⁵³																
33-3			z w ³⁵																
38-3			z i ³⁵																
40-3			u e ŋ ⁵⁵																
42-3			ou ⁵³																
43-3			ts eː ⁵³ ⁵³																
46-3			m a ŋ ⁵⁵																
52-3			l ieː a ŋ																
53-3			z i ŋ ⁵⁵																
56-3			k ɯ ŋ ³³																
59-3			tʰ a ³³																
60-3			ts a ŋ ³⁵																
64-3			l eː ¹¹ ³⁵																
68-3			k j ŋ ¹¹																
85-3			w i ³⁵																
86-3			t i ³³																
87-3			ts j əu																
93-3			n i ⁵³																
98-3			l ai ⁵⁵																
109-3			s i ŋ ²¹³																
115-3			t o ⁵³																
118-3			ts j e ²¹³																
124-3			k a ⁵³																
127-3			ts o ²¹³																
133-3			tʰ au ³³																
144-3			s w a																
161-3			h j ŋ ³³																
166-3			k w a ŋ ³³																
170-3			h ⁵⁵ ⁵⁵																
171-3			tʰ ou ²¹³																
173-3			z i k ⁴																
174-3			l w i																
175-3			kʰ w e ⁵⁵ ⁵⁵																
176-3			l ieː a ŋ ⁵³																
177-3			p a ʔ ²¹																
179-3			l o k ⁴ ⁴																
181-3			p eː ŋ ³³																
