COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a n a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	z a a l a									
2828-1	i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	β ʊ l a									
3519-1	t u m a									
3686-1	i i ŋ tʃ a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	ŋʰ ʊ a a m i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ a m tʃ ɛ									
1216-1	g a β a									
1228-1	g w a a									
1418-1	z i m á a									
1475-1	g w a									
2026-1	t w i i									
2775-1	β u m tʃ a									
3397-1	β ɔ l ɔ									
3826-1	s ɔ k a									
4003-1	i i á β a									
4040-1	g ɛ n i									
4373-1	l i n i									
4384-1	i ŋʰ ɔ									
84-1	g u l u									
116-1	f i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	d a l a									
1083-1	l i l a									
1122-1	β i n a									
2689-2		n a m a								
893-2		a n a								
1303-2		n oː o m a								
2197-2		s i a l a								
2828-2		w i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a ŋ g a								
3207-2		s u l a								
3519-2		t u m a								
3686-2		s oː ŋ b a								
4249-2		k u m i								
4451-2		w i s i								
448-2		m a m m m i								
630-2		w e e l e								
814-2		ɲ o a m b e								
1216-2		g a s a								
1228-2		b j a								
1418-2		s i m a								
1475-2		g w a								
2026-2		t j e								
3826-2		s o k a								
4003-2		s i v a								
4373-2		l i m i								
4384-2		i m o								
84-2		s m g u l e								
116-2		v i k a								
419-2		l o g a								
587-2		o a ŋ g o								
660-2		l e l a								
848-2		k a l a								
1122-2		v u n a								
2689-3			n a m a							
893-3			a a n a							
1285-3			n w a							
1303-3			o m a							
2197-3			s a l a							
2828-3			l i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			n e							
1789-3			x a l a a ŋ g a							
3207-3			β u l a							
3519-3			tʰ u m a							
3686-3			ìì m x a							
4249-3			x u m i							
4451-3			β i x i							
448-3			m o m a							
630-3			β e e l e							
1216-3			k a β a							
1228-3			x w a							
1418-3			s i m a							
1475-3			g w a							
3397-3			β o l a							
4003-3			i x a							
4040-3			k e n i							
4373-3			l u m i							
4384-3			i n o							
181-3			g o o ŋ g o							
419-3			l o k a							
587-3			o ŋ k o							
660-3			l e l a							
1083-3			l i l a							
2689-4				t a m a						
893-4				a n d ts a						
1285-4				ŋ w a g						
3572-4				s o m a						
1755-4				p i a						
1789-4				t a ŋ a ŋ g a						
3686-4				b o ŋ g a						
4451-4				b u s a						
1216-4				b u n ŋ i i						
4003-4				b i n l a						
419-4				l u m i						
