COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ a ⁵⁵								
495-1	n au ³⁵								
838-1	i ³¹								
438-1	m ʐ ɔ ʔ ⁵⁵								
334-1	l w ɔ ʔ ⁵⁵								
360-1	l w i ³¹								
394-1	n ³¹								
221-1	i p ⁵⁵								
202-1	k ʐ au ³¹								
935-1	u ³¹								
93-1	ɔ ³¹								
7-1	p a n ³¹								
664-1	a ŋ ⁵⁵								
246-1	tʰ ɔ ʔ ⁵⁵								
547-1	ə ʔ ⁵⁵								
555-1	i m ⁵⁵								
464-1	m au ³¹								
119-1	ə ⁵⁵								
835-1	n w a p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a p ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	tʰ u ʔ ⁵⁵								
493-1	n ə ʔ ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	u t ⁵⁵								
452-1	m u ʔ ⁵⁵								
580-1	ŋ au t ⁵⁵								
833-1	tʰ a ⁵⁵								
390-1	m a ŋ ³¹								
696-1	ŋ ui ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a m ⁵⁵								
536-1	a k ⁵⁵								
731-1	tʰ w i ³¹								
779-1	ɕ a ⁵⁵								
589-1	a ŋ ⁵⁵								
658-1	a m ⁵⁵								
456-1	m ʐ a ŋ ³¹								
183-1	k w i ³¹								
785-1	kʰ ɔ ³¹								
714-1	a n ⁵⁵								
331-1	l ɔ ³¹								
930-1	ŋ a p ⁵⁵								
161-1	tɕ a ŋ ⁵⁵								
814-1	pʰ ui ³¹								
179-1	ʈʂ w ɔ ʔ ⁵⁵								
194-1	ʐ ɔ ʔ ⁵⁵								
727-1	ʂ a ŋ ⁵⁵								
260-1	kʰ a p ⁵⁵								
144-1	tɕ a m ⁵⁵								
53-1	p o m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ ə ⁵⁵								
29-1	p ə ⁵⁵								
316-1	tʰ w ɔ ʔ ⁵⁵								
389-1	m ʐ a ŋ ⁵⁵								
118-1	m a ³⁵								
312-1	kʰ o ³¹								
490-1	n a ³⁵								
436-1	m a ³¹								
927-1	ŋ a n ⁵⁵								
383-1	m ɔ ʔ ⁵⁵								
211-1	ʑ a m ⁵⁵								
873-1	ə ŋ ⁵⁵								
