COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	bʱ o ŋ							
37-1	ŋ o ŋ							
46-1	ŋ o ŋ							
98-1	b a ŋ d u l a							
125-1	pʰ i a a ŋ a a							
162-1	ŋ a m ŋ u							
171-1	g o m a							
219-1	tʃ a ŋ u							
247-1	tʃ a ŋ l u							
282-1	j a ŋ p u							
292-1	bʱ o ŋ							
301-1	i i							
354-1	ŋ a m t̪ o l a							
363-1	ŋ a m u							
397-1	g a m a							
406-1	kʰ a m a ŋ							
426-1	g a k p u							
473-1	b i m k a							
499-1	ŋ a m a ŋ							
526-1	g a m a a							
544-1	bʱ i							
553-1	g o b a							
599-1	g o i k a m							
608-1	b a m m u							
617-1	o o ŋ							
645-1	a ŋ a							
663-1	s o ŋ u							
672-1	g o ŋ p u							
681-1	ŋ i ŋ u							
690-1	s o ŋ							
708-1	g a k ɾ a ŋ p u							
717-1	g o k p u							
726-1	bʱ i							
744-1	o t i							
782-1	bʱ i							
791-1	ŋ i							
800-1	ŋ i							
809-1	ŋ o m l a							
836-1	b a ŋ u							
881-1	ŋ o m							
890-1	ŋ o ŋ a							
899-1	s o i							
926-1	bʱ a ŋ							
944-1	g o ɾ a m							
953-1	ʃ a i l a m							
980-1	ŋ a ŋ a							
998-1	pʰ i i u							
1022-1	g o a b u							
1031-1	b i n a ŋ u ŋ a							
1069-1	g o ŋ ŋ d a ŋ u							
1079-1	s a ŋ d a o a							
1098-1	j a m p u l a							
1117-1	bʱ o							
1141-1	j a ŋ p u							
1189-1	ŋ o ŋ							
1198-1	ŋ i ŋ a							
1208-1	s i m a j a							
1217-1	ŋ a ɲ i k e							
1253-1	a ŋ a							
1271-1	s a ŋ a							
1289-1	s o ŋ							
1316-1	ŋ o ŋ							
1325-1	bʱ o							
1334-1	s a ŋ a							
1343-1	pʰ i i l a m							
1361-1	j a s a m a							
1370-1	ŋ a ɲ a ŋ							
1388-1	ŋ a m m a							
1397-1	bʱ a i							
1406-1	bʱ o ŋ							
1424-1	g a ɾ a ŋ b e k a m							
1433-1	s o b u							
1442-1	ŋ o m							
1451-1	pʰ i d̪ a							
1468-1	pʰ o k p u							
1477-1	ŋ i							
1502-1	ŋ a m a							
1511-1	l i d̪ i a ŋ m a							
1529-1	kʰ i ŋ u							
1538-1	s i ŋ u							
1557-1	g o j l o							
1618-1	a m a							
1663-1	ŋ o m							
1689-1	g o i							
1698-1	bʱ o ŋ							
1707-1	s a ŋ l a							
1716-1	ŋ a m k a ŋ							
1742-1	s a b u							
1751-1	b i s o l a							
1778-1	bʱ i							
1787-1	pʰ o m gʱ o							
1823-1	ŋ o m							
1832-1	g a m m a							
1842-1	ŋ o ŋ							
1860-1	ŋ a m tʃ a							
1869-1	m o t b a							
1888-1	ŋ a m a							
1897-1	s a a							
1932-1	l i ɾ a ŋ a k u							
1950-1	bʱ i							
1968-1	tʃ a ŋ a k a a							
1978-1	pʰ o k p a							
1987-1	ŋ o m							
2015-1	ŋ a m k o a							
2118-1	m u ŋ a k a ŋ o							
2238-1	ŋ a m k a							
2507-1	tʃ a ŋ a							
2526-1	ŋ o							
2535-1	s a a							
2544-1	bʱ o ŋ							
2560-1	s a ŋ l i tʃ a							
2569-1	g a a b u							
2578-1	z i k a							
2596-1	bʱ o ŋ							
2615-1	i i							
2663-1	b i b i l a							
2690-1	s i h̥							
2719-1	ŋ i t u							
2728-1	g o b o							
2747-1	s a ŋ k a							
2756-1	s o ŋ u							
2774-1	b i ŋ a							
19-1	m a u b a a							
28-1	m a u b a a							
89-1	tʃ i m p a							
