COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	m ɛ															
175-1	ʔ ă															
241-1	ʔ a t															
2163-1	ʔ a n															
2181-1	n a m															
2060-1	ʔ a m															
410-1	d ai̯															
1841-1	m ai̯															
2017-1	s e															
1004-1	m a															
614-1	d ou̯ h															
686-1	p m ai̯															
88-1	g ă ʔ															
872-1	n a ŋ															
1891-1	d ɛ															
68-1	s i m															
631-1	g a n															
594-1	ʔ ɛ															
1759-1	h a ŋ															
805-1	c a ŋ															
1859-2		m ai̯														
175-2		ʔ ai̯														
241-2		ʔ i ʔ														
2163-2		ʔ uː														
2181-2		n aː m														
2060-2		ʔ eː m														
410-2		ɗ ai̯														
1841-2		m ai̯														
2017-2		m ai̯														
1004-2		m ai̯														
614-2		dʑ a h														
686-2		b m ai̯														
88-2		k o k														
872-2		n aː ŋ														
1891-2		ɗ ai̯														
68-2		s iː m														
631-2		k oː n														
594-2		ʔ ai̯														
1759-2		h oː n														
805-2		dʑ e n														
1859-3			m ai̯													
175-3			g a													
241-3			ʔ aː ʔ													
2163-3			ʔ a h													
2181-3			n a m													
2060-3			ʔ aː m													
410-3			ɗ ai̯													
1841-3			m ai̯													
2017-3			m u													
1004-3			m aː													
614-3			b o h													
686-3			b m ai̯													
88-3			k a ʔ													
872-3			n aː ŋ													
1891-3			ɗ ai̯													
68-3			h aː m													
631-3			k a													
594-3			ʔ ai̯													
1759-3			dʑ aː ŋ													
805-3			dʑ aː ŋ													
1859-4				m ai̯												
175-4				ʔ ɛː												
241-4				ʔ i ʔ												
2163-4				ʔ uː												
2181-4				n ɔː m												
2060-4				ʔ ɛː m												
410-4				t ai̯												
1841-4				m aːi̯												
2017-4				m aːi̯												
1004-4				m aːi̯												
614-4				dʑ o h												
686-4				k m oːi̯												
88-4				k a k												
872-4				n aː ŋ												
1891-4				t ai̯												
68-4				s iː m												
631-4				k a n												
594-4				ʔ aːi̯												
1759-4				h oː n												
805-4				dʑ ə n												
1859-5					m aːi̯											
175-5					ʔ aː											
