COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u t															
2163-1	kʰ u n															
2181-1	n ə̆ m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m oi̯															
2017-1	h e															
1004-1	t a															
614-1	b ou̯ h															
686-1	b l e															
88-1	k ă ʔ															
872-1	n ɨ ŋ															
1891-1	d a															
68-1	s i m															
631-1	b ə̆ n															
594-1	g a															
1759-1	h a n															
805-1	g i n															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n e m														
2060-2		ʔ ɨ m														
410-2		d aːi̯														
1841-2		m oː														
2017-2		h ɔi̯														
1004-2		l aː														
614-2		b o h														
686-2		l l ɔi̯														
88-2		g a k														
872-2		n ɨ ŋ														
1891-2		d aː														
68-2		s iː m														
631-2		ɓ e														
594-2		k aː														
1759-2		h a n														
805-2		k e n														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ uː t													
2163-3			kʰ uː r													
2181-3			n a m													
2060-3			ʔ u m													
410-3			ɗ ai̯													
1841-3			m ɔː													
2017-3			h iː													
1004-3			ʔ aː													
614-3			b o h													
686-3			b l iː													
88-3			k a ʔ													
872-3			n u ŋ													
1891-3			ɗ aː													
68-3			s i m													
631-3			b o r													
594-3			k aː													
1759-3			h a ŋ													
805-3			k i ŋ													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				kʰ uː												
2181-4				n a m												
2060-4				ʔ ɨ m												
410-4				t aːi̯												
1841-4				m oːi̯												
2017-4				h ə												
1004-4				ɔː aː												
614-4				p o h												
686-4				p l ə												
88-4				g ɔ k												
872-4				n ɨ ŋ												
1891-4				t aː												
68-4				s iː m												
631-4				p o												
594-4				k aː												
1759-4				h a n												
805-4				k ə n												
1859-5					ŋ iː											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					kʰ uː											
2181-5					n ə m											
2060-5					ʔ ou̯ m											
410-5					ɗ aːi̯											
1841-5					m w											
2017-5					h ei̯											
1004-5					n̥ aː											
614-5					tʰ o h											
686-5					b l ə											
88-5					g a ʔ											
872-5					n ou̯ ŋ											
1891-5					ɗ aː											
68-5					s i m											
