COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ e ⁵⁵								
495-1	n au ³⁵								
838-1	pʰ e i ʔ ³¹								
438-1	m̥ ȵ o k ³¹								
334-1	l o ʔ ³¹								
360-1	l ə m ³¹								
394-1	l ʐ i ³¹								
221-1	pʰ i p ⁵⁵								
202-1	k au ³¹								
935-1	pʰ au ³¹								
93-1	ts e ³¹								
7-1	p ɔ ³¹								
664-1	pʰ e ŋ ³¹								
246-1	x ʐ o ʔ ⁵⁵								
547-1	pʰ e i ʔ ⁵⁵								
555-1	pʰ i n ⁵⁵								
464-1	m au ³¹								
119-1	l e ə ŋ ⁵⁵								
835-1	pʰ e a p ⁵⁵								
79-1	t ʐ o ŋ ³¹								
693-1	ŋ au ⁵⁵								
477-1	n ʐ a p ³¹								
891-1	tʰ ə ŋ ŋ ³⁵								
528-1	pʰ ʐ o ⁵⁵								
797-1	x ʐ o ʔ ⁵⁵								
493-1	n i ʔ ³¹								
217-1	m̥ e a p ⁵⁵								
896-1	l o t ⁵⁵								
452-1	m̥ ȵ o k ³¹								
580-1	pʰ e o t ⁵⁵								
833-1	n e m ⁵⁵								
390-1	m ȵ a ŋ ³¹								
696-1	ŋ ʐ ui ŋ ⁵⁵								
86-1	tʰ o ŋ ⁵⁵								
384-1	m e m ³⁵								
61-1	t e m ⁵⁵								
536-1	pʰ s o ʔ ⁵⁵								
731-1	ʂ ɿ m ³¹								
779-1	l e ⁵⁵								
589-1	t e ŋ ⁵⁵								
658-1	pʰ e m ⁵⁵								
456-1	ȵ a ŋ ³¹								
183-1	k ʐ ə ³¹								
785-1	x e ³¹								
714-1	n au m ⁵⁵								
331-1	l e ³¹								
930-1	pʰ e p ⁵⁵								
161-1	k ʐ a ŋ ⁵⁵								
814-1	x ʐ ui ŋ ³¹								
179-1	k ʐ ʐ o ʔ ³¹								
194-1	l ʐ o ʔ ⁵⁵								
727-1	ʂ e ŋ ⁵⁵								
260-1	e a p ⁵⁵								
144-1	k ʐ a m ⁵⁵								
53-1	p o m ⁵⁵								
59-1	t o ʔ ³¹								
506-1	p i ʔ ⁵⁵								
29-1	p i ʔ ³¹								
316-1	t ʐ o ʔ ⁵⁵								
389-1	m ʐ ʐ a ŋ ³¹								
118-1	m e m ³⁵								
312-1	x w o ³¹								
490-1	n pʰ i w ŋ ³⁵								
436-1	m̥ ȵ a ʔ ³¹								
927-1	l e m ⁵⁵								
383-1	m o ʔ ⁵⁵								
211-1	l e m ⁵⁵								
873-1	l ə ŋ ⁵⁵								
877-1	ʂ a ³⁵								
344-1	l e m ⁵⁵								
