COGID	Albanian	English	French	German	Latin
560-1	v j m				
438-1	e r				
1222-1	e				
353-1	p e				
201-1	p r				
20-1	u r ə				
503-1	p t t				
957-1	n				
728-1	n g u				
244-1	n m				
289-1	n r e				
911-1	p u r r				
724-1	p r e				
145-1	d u				
992-1	u				
1181-1	k ə n				
741-1	p t				
1150-1	g ə r v i				
585-1	t y				
814-1	v j r				
560-2		w ɪ m			
438-2		ə r			
1222-2		w			
353-2		f s			
201-2		w			
20-2		w a			
503-2		f l i			
957-2		h			
728-2		l au n			
244-2		n ɪ m			
289-2		n a f t			
911-2		w ə r			
724-2		θ r			
145-2		t			
992-2		w ɑ			
706-2					
106-2		f ɛ d ə r			
741-2		f			
421-2		b l o			
227-2		f			
920-2		h ə r			
1083-2		h ɑ r			
1066-2		j f			
1125-2		j ɪ n			
1197-2		m ə t ə r			
473-2		n o v ɑ			
284-2		n o			
661-2		a n			
701-2		r t			
315-2		r au n			
1169-2		s a l			
1150-2		k ə r			
982-2		s ɪ t			
987-2		s ɪ			
1055-2		s d ə r			
1130-2		s e			
433-2		s ə l			
625-2		l ɪ ə			
1186-2		t ɪ n			
560-3			v r		
438-3			g r		
1222-3			v		
353-3			p s s		
201-3			p ɑ̃		
20-3			p r		
503-3			p u r		
957-3			ɑ̃		
728-3			s a		
244-3			k r		
289-3			n r		
911-3			v ɛ r t		
724-3			r r		
145-3			d		
992-3			k		
1181-3			k ɑ̃		
706-3			a		
106-3			p a r r		
741-3			p r		
421-3			f l u		
227-3			p u		
920-3			k r r		
1083-3			k r		
1066-3			r		
1125-3			ʒ ɛ		
1197-3			m a r r		
473-3			n		
284-3			l a r		
661-3			v		
701-3			r a		
315-3			r		
1169-3			k u l a		
1150-3			k r t		
982-3			s ɑ̃		
987-3			k		
1055-3			s r		
1130-3			k a ʒ		
433-3			k u		
585-3			n		
625-3			t ɑ̃		
1186-3			t		
814-3			v ɛ r		
560-4				v u r	
438-4				e r	
1222-4				v	
353-4				f	
201-4				v n	
20-4				v a r r	
503-4				f l l	
957-4				e n	
728-4				l a n	
244-4				n r m	
289-4				n	
911-4				e a s	
724-4				d r	
145-4				r	
992-4				h	
1181-4				h n	
706-4					
106-4				f a r r	
421-4				b l au r r	
227-4				f a	
920-4				h a r	
1083-4				h a r n	
1066-4				d	
1125-4				g eː n	
1197-4				m u d r	
473-4				n a v	
284-4				n aː z	
661-4				v n	
701-4				r aː t	
315-4				r a n	
1169-4				z a l	
1150-4				ʃ a r	
982-4				z aː	
987-4				z	
1055-4				ʃ t	
1130-4				z e n	
433-4				z a l	
585-4				t e	
625-4				v ə n	
1186-4				r n	
814-4				v r r	
560-5					w e m i
438-5					a r i
1222-5					a e i
353-5					p e t i o
201-5					p i n r
20-5					p r o r
503-5					p u l i
957-5					a n n
728-5					l a n i
244-5					n o m i n
289-5					n o o
911-5					w e r i i
724-5					e r k o
145-5					a i o
992-5					k e
1181-5					k e t t o
706-5					o i
106-5					p e t a
741-5					p i m n
421-5					f l u n
227-5					p u t
920-5					k o r k i n
1083-5					k o r k
1066-5					e e
1125-5					s e n o
1197-5					m e r a
473-5					n u l i
284-5					n aː i
661-5					w n
701-5					r a t
315-5					r o n t o
1169-5					s o l i
982-5					s e k i
987-5					s n e
1055-5					s t r o k
1130-5					s e k o
433-5					s o l i i
585-5					t t o
625-5					k e n i
1186-5					k e n o
814-5					w e r i
