COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a m ə l a																		
112-1	d a b ə n a																		
331-1	n ɨ g w s																		
377-1	b ə kʼ l l ə																		
381-1	ʔ a t																		
417-1	r u j																		
451-1	s ə bː a t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ tʼ ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s o s t																		
593-1	ʔ a m u s																		
640-1	m w n																		
1-1	d ə bː ə r ə m																		
65-1	tʼ u b																		
212-1	ʔ ɨ n																		
244-1	ʔ a r b t t																		
248-1	m u l a																		
293-1	f ə r ə j																		
373-1	kʼ ɨ m a l																		
408-1	b ɨ r ɨ																		
414-1	d ə bː a kʼ u dʒ a																		
601-1	ʔ ə r bː b																		
642-1	n ɨ f w s																		
60-1	n ə bː ə s ə																		
115-1	ʔ ə m a m																		
209-1	s ɨ sː u t																		
242-1	ʔ a sː ɨ s t																		
415-1	j ɨ n a b																		
450-1	j ə r																		
490-1	tʼ ə bː w ə																		
638-1	s ɨ r ə j																		
645-1	kʼ a l																		
160-1	tʼ ə r ə kʼ																		
208-1	ʔ ɨ n kʼ w kʼ t																		
214-1	ʔ a bː																		
378-1	ʔ a n g ə t																		
379-1	tʼ ə tʼ ə ɲː																		
409-1	g a t ə r ə																		
598-1	k w lː t																		
646-1	ʔ a k ə																		
210-1	tʼ ə k w n ə																		
215-1	ʔ ɨ tʼ tʃʼ b ə t t																		
285-1	m ɨ tʼ a d																		
332-1	ʔ ə g i r																		
380-1	ʔ ə k w a																		
412-1	s a ʔ ɨ n																		
64-1	d a bː o																		
67-1	w ɨ r																		
251-1	f ɨ kʼ ə l																		
294-1	m u kʼ kʼ kʼ																		
597-1	ʔ ə m g ɲː o																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
372-1	dʒ ə n bː ə r																		
374-1	b ə kʼ o dʒ dʒ																		
375-1	s ə b																		
411-1	t ə r a s																		
541-1	kʼ ə bː ɨ n																		
6-1	m ə l dʒ a m a																		
113-1	b u n a																		
330-1	kʼ ə l d																		
448-1	kʼ ə tʼ a m s ə n b ə t																		
449-1	ʔ a tʼ ə m																		
491-1	d ɨ n g ə t																		
596-1	n ə g ə																		
4-1	g ə n bː ə																		
8-1	kʼ ə b ə t o a																		
106-1	m ə tʼ a																		
290-1	ʔ a g ə j ə																		
489-1	b ə r tʃʼ tʃʼ jː m a																		
602-1	m ɨ n																		
2-1	k u lː ə m																		
3-1	ʔ ɨ r ə																		
213-1	ʔ a r a s ɨ j																		
486-1	n ə lː ə kʼ ə m																		
647-1	t ə t a t																		
10-1	tʼ ɨ kʼ u r																		
110-1	tʼ a t ə																		
152-1	ʔ a t o																		
211-1	m ɨ ʃː ə t																		
328-1	s ə bː ə b ə																		
333-1	m ɨ s ɨ r																		
334-1	ʔ a n b ə n a																		
410-1	kʼ a r ɨ e																		
540-1	l ə b a																		
109-1	g u n tʃʼ ə																		
61-2		d ə m																	
63-2		x a tʼ ɨ m																	
107-2		tʃː ɨ m ə l a																	
112-2		d a b ə n a																	
331-2		n ɨ tʃː u s																	
377-2		b ɨ kʼ l e ə																	
381-2		x a d e																	
417-2		r u dʒ																	
451-2		s ə b a t																	
454-2		x a tʃ i r																	
484-2		s ɨ tʼ ɨ s t																	
535-2		x a s ɨ r																	
543-2		sː o sː t																	
593-2		x a m u s																	
640-2		m a n e																	
1-2		d ə b ə r ə j																	
65-2		tʼ u b																	
163-2		s ə tʃ ə																	
212-2		x ɨ n																	
244-2		x a r b o h																	
248-2		m ɨ l ɨ																	
293-2		f ə r ə j																	
373-2		kʼ ɨ m a l																	
408-2		b ɨ r ɨ r																	
414-2		d u b a kʼ ɨ dʒ a																	
642-2		n ɨ f ɨ s																	
60-2		n ə ʃ ə s ə j																	
115-2		l ə m j																	
209-2		s ɨ m u t t																	
