index	index_p	rindex	rindex_p	cogid	id_Achang	segment_Achang	segment_Achang_L1	segment_Achang_L2	segment_Achang_L3	segment_Achang_R1	segment_Achang_R2	segment_Achang_R3	SC_Achang	SC_Achang_L1	SC_Achang_L2	SC_Achang_L3	SC_Achang_R1	SC_Achang_R2	SC_Achang_R3	PROSODY_Achang	PROSODY_Achang_L1	PROSODY_Achang_L2	PROSODY_Achang_L3	PROSODY_Achang_R1	PROSODY_Achang_R2	PROSODY_Achang_R3	id_Bela	segment_Bela	segment_Bela_L1	segment_Bela_L2	segment_Bela_L3	segment_Bela_R1	segment_Bela_R2	segment_Bela_R3	SC_Bela	SC_Bela_L1	SC_Bela_L2	SC_Bela_L3	SC_Bela_R1	SC_Bela_R2	SC_Bela_R3	PROSODY_Bela	PROSODY_Bela_L1	PROSODY_Bela_L2	PROSODY_Bela_L3	PROSODY_Bela_R1	PROSODY_Bela_R2	PROSODY_Bela_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_Phon	segment_Phon	segment_Phon_L1	segment_Phon_L2	segment_Phon_L3	segment_Phon_R1	segment_Phon_R2	segment_Phon_R3	SC_Phon	SC_Phon_L1	SC_Phon_L2	SC_Phon_L3	SC_Phon_R1	SC_Phon_R2	SC_Phon_R3	PROSODY_Phon	PROSODY_Phon_L1	PROSODY_Phon_L2	PROSODY_Phon_L3	PROSODY_Phon_R1	PROSODY_Phon_R2	PROSODY_Phon_R3	id_WrittenBurmese	segment_WrittenBurmese	segment_WrittenBurmese_L1	segment_WrittenBurmese_L2	segment_WrittenBurmese_L3	segment_WrittenBurmese_R1	segment_WrittenBurmese_R2	segment_WrittenBurmese_R3	SC_WrittenBurmese	SC_WrittenBurmese_L1	SC_WrittenBurmese_L2	SC_WrittenBurmese_L3	SC_WrittenBurmese_R1	SC_WrittenBurmese_R2	SC_WrittenBurmese_R3	PROSODY_WrittenBurmese	PROSODY_WrittenBurmese_L1	PROSODY_WrittenBurmese_L2	PROSODY_WrittenBurmese_L3	PROSODY_WrittenBurmese_R1	PROSODY_WrittenBurmese_R2	PROSODY_WrittenBurmese_R3	id_Zaiwa	segment_Zaiwa	segment_Zaiwa_L1	segment_Zaiwa_L2	segment_Zaiwa_L3	segment_Zaiwa_R1	segment_Zaiwa_R2	segment_Zaiwa_R3	SC_Zaiwa	SC_Zaiwa_L1	SC_Zaiwa_L2	SC_Zaiwa_L3	SC_Zaiwa_R1	SC_Zaiwa_R2	SC_Zaiwa_R3	PROSODY_Zaiwa	PROSODY_Zaiwa_L1	PROSODY_Zaiwa_L2	PROSODY_Zaiwa_L3	PROSODY_Zaiwa_R1	PROSODY_Zaiwa_R2	PROSODY_Zaiwa_R3
1	0.2500	4	1.0000	2	1	kʰ	∅	∅	∅	o	ŋ	³²	K	∅	∅	∅	U	N	_	1	∅	∅	∅	7	4	0																							2	kʰ	∅	∅	∅	o	ŋ	³¹	K	∅	∅	∅	U	N	_	1	∅	∅	∅	7	4	0	3	g	∅	∅	∅	au	ŋ	⁵¹	K	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0																							4	k	∅	∅	∅	au	ŋ	-	K	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	5	kʰ	∅	∅	∅	u	ŋ	⁵³	K	∅	∅	∅	Y	N	_	1	∅	∅	∅	7	4	0
2	0.5000	3	0.7500	2	1	o	kʰ	∅	∅	ŋ	³²	∅	U	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																							2	o	kʰ	∅	∅	ŋ	³¹	∅	U	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	3	au	g	∅	∅	ŋ	⁵¹	∅	A	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																							4	au	k	∅	∅	ŋ	-	∅	A	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	5	u	kʰ	∅	∅	ŋ	⁵³	∅	Y	K	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅
3	0.7500	2	0.5000	2	1	ŋ	o	kʰ	∅	³²	∅	∅	N	U	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅																							2	ŋ	o	kʰ	∅	³¹	∅	∅	N	U	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅	3	ŋ	au	g	∅	⁵¹	∅	∅	N	A	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅																							4	ŋ	au	k	∅	-	∅	∅	N	A	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅	5	ŋ	u	kʰ	∅	⁵³	∅	∅	N	Y	K	∅	_	∅	∅	4	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	2	1	³²	ŋ	o	kʰ	∅	∅	∅	_	N	U	K	∅	∅	∅	0	4	7	1	∅	∅	∅																							2	³¹	ŋ	o	kʰ	∅	∅	∅	_	N	U	K	∅	∅	∅	0	4	7	1	∅	∅	∅	3	⁵¹	ŋ	au	g	∅	∅	∅	_	N	A	K	∅	∅	∅	0	4	7	1	∅	∅	∅																							4	-	ŋ	au	k	∅	∅	∅	_	N	A	K	∅	∅	∅	0	4	7	1	∅	∅	∅	5	⁵³	ŋ	u	kʰ	∅	∅	∅	_	N	Y	K	∅	∅	∅	0	4	7	1	∅	∅	∅
1	0.2000	5	1.0000	3	6	p	∅	∅	∅	w	i	-	P	∅	∅	∅	W	I	_	1	∅	∅	∅	6	7	0	7	p	∅	∅	∅	w	i	-	P	∅	∅	∅	W	I	_	1	∅	∅	∅	6	7	0	8	b	∅	∅	∅	-	e	-	P	∅	∅	∅	_	E	_	1	∅	∅	∅	0	7	0	9	b	∅	∅	∅	-	a	-	P	∅	∅	∅	_	A	_	1	∅	∅	∅	0	7	0																							10	p	∅	∅	∅	-	au	ŋ	P	∅	∅	∅	_	A	N	1	∅	∅	∅	0	7	4	11	b	∅	∅	∅	w	i	-	P	∅	∅	∅	W	I	_	1	∅	∅	∅	6	7	0
2	0.4000	4	0.8000	3	6	w	p	∅	∅	i	-	³¹	W	P	∅	∅	I	_	_	6	1	∅	∅	7	0	0	7	w	p	∅	∅	i	-	³	W	P	∅	∅	I	_	_	6	1	∅	∅	7	0	0	8	-	b	∅	∅	e	-	⁵¹	_	P	∅	∅	E	_	_	0	1	∅	∅	7	0	0	9	-	b	∅	∅	a	-	³¹	_	P	∅	∅	A	_	_	0	1	∅	∅	7	0	0																							10	-	p	∅	∅	au	ŋ	-	_	P	∅	∅	A	N	_	0	1	∅	∅	7	4	0	11	w	b	∅	∅	i	-	³	W	P	∅	∅	I	_	_	6	1	∅	∅	7	0	0
3	0.6000	3	0.6000	3	6	i	w	p	∅	-	³¹	∅	I	W	P	∅	_	_	∅	7	6	1	∅	0	0	∅	7	i	w	p	∅	-	³	∅	I	W	P	∅	_	_	∅	7	6	1	∅	0	0	∅	8	e	-	b	∅	-	⁵¹	∅	E	_	P	∅	_	_	∅	7	0	1	∅	0	0	∅	9	a	-	b	∅	-	³¹	∅	A	_	P	∅	_	_	∅	7	0	1	∅	0	0	∅																							10	au	-	p	∅	ŋ	-	∅	A	_	P	∅	N	_	∅	7	0	1	∅	4	0	∅	11	i	w	b	∅	-	³	∅	I	W	P	∅	_	_	∅	7	6	1	∅	0	0	∅
4	0.8000	2	0.4000	3	6	-	i	w	p	³¹	∅	∅	_	I	W	P	_	∅	∅	0	7	6	1	0	∅	∅	7	-	i	w	p	³	∅	∅	_	I	W	P	_	∅	∅	0	7	6	1	0	∅	∅	8	-	e	-	b	⁵¹	∅	∅	_	E	_	P	_	∅	∅	0	7	0	1	0	∅	∅	9	-	a	-	b	³¹	∅	∅	_	A	_	P	_	∅	∅	0	7	0	1	0	∅	∅																							10	ŋ	au	-	p	-	∅	∅	N	A	_	P	_	∅	∅	4	7	0	1	0	∅	∅	11	-	i	w	b	³	∅	∅	_	I	W	P	_	∅	∅	0	7	6	1	0	∅	∅
5	1.0000	1	0.2000	3	6	³¹	-	i	w	∅	∅	∅	_	_	I	W	∅	∅	∅	0	0	7	6	∅	∅	∅	7	³	-	i	w	∅	∅	∅	_	_	I	W	∅	∅	∅	0	0	7	6	∅	∅	∅	8	⁵¹	-	e	-	∅	∅	∅	_	_	E	_	∅	∅	∅	0	0	7	0	∅	∅	∅	9	³¹	-	a	-	∅	∅	∅	_	_	A	_	∅	∅	∅	0	0	7	0	∅	∅	∅																							10	-	ŋ	au	-	∅	∅	∅	_	N	A	_	∅	∅	∅	0	4	7	0	∅	∅	∅	11	³	-	i	w	∅	∅	∅	_	_	I	W	∅	∅	∅	0	0	7	6	∅	∅	∅
1	0.3333	3	1.0000	5	12	m	∅	∅	∅	ṵ	⁵	∅	M	∅	∅	∅	Y	_	∅	4	∅	∅	∅	7	0	∅	13	m	∅	∅	∅	ə	⁵²	∅	M	∅	∅	∅	E	_	∅	4	∅	∅	∅	7	0	∅	14	m	∅	∅	∅	ɔ	⁵³	∅	M	∅	∅	∅	U	_	∅	4	∅	∅	∅	7	0	∅																																																																			15	m	∅	∅	∅	ɔ	⁴	∅	M	∅	∅	∅	U	_	∅	4	∅	∅	∅	7	0	∅
