COGID	Albanian	English	French	German	Latin
560-1	j ə ə r				
438-1	m c				
1222-1	g				
353-1	p e ɟ ə				
201-1	ɟ ə r r				
20-1	l				
503-1	p u				
957-1	d ə				
728-1	l				
244-1	j u m				
289-1	d j				
911-1	d r r c				
724-1	l r e				
145-1	c i				
992-1	g j				
1181-1	k ə n r				
741-1	p				
1150-1	g a ə v i				
585-1	t				
814-1	j ə				
916-1	d o				
1079-1	d e d				
630-1	g n ð t				
343-1	j e e				
560-2		v ɑ m			
438-2		m			
1222-2		l			
353-2		p ʊ s			
201-2		s l p			
20-2		s i r			
503-2		p ʊ l			
957-2		h n			
728-2		s i ŋ			
244-2		s m d			
289-2		h s θ			
911-2		w i ʃ l			
724-2		θ r			
145-2		s w			
992-2		w ɑ			
706-2		s o			
106-2		p ʊ d r			
741-2		p h			
421-2		b l l			
227-2		p ʊ s			
920-2		h ɪ r			
1083-2		h ɑ r n o			
1066-2		j f			
1125-2		j ɪ l o			
1197-2		m ə ə r			
473-2		n v ɑ			
284-2		n a s			
661-2		ai n			
701-2		s m			
315-2		h a θ			
1169-2		s i l			
1150-2		s ð			
982-2		s a			
987-2		s			
1055-2		s a ɛ			
1130-2		s			
433-2		s i o			
625-2		s r r			
1186-2		s a n			
416-2		w			
1233-2		v ɪ n			
884-2		w ə r m			
1016-2		s i m ə l n			
952-2		s			
78-2		b l a s			
514-2		b r n			
116-2		s t			
188-2		f r n			
745-2		f			
1100-2		f r s			
47-2		m m			
111-2		h n h			
1061-2		m ə			
24-2		s ɪ s			
232-2		n ə n			
671-2		j a f θ			
560-3			t ɑ̃ s i		
438-3			s		
1222-3			t		
353-3			p u s i		
201-3			p s r		
20-3			p r r		
503-3			p u		
957-3			d		
728-3			s ɛ r		
244-3			p u		
289-3			d u		
911-3			r i r		
724-3			o r		
145-3			t		
992-3			v		
1181-3			s ɑ̃ t		
706-3			s r		
106-3			p u r		
741-3			p r e		
421-3			p n r		
227-3			p u		
920-3			ɔ r		
1083-3			r ɥ		
1066-3			ʒ		
1125-3			ʒ ɛ ɥ		
1197-3			m i r		
473-3			n		
284-3			p u		
661-3			y		
701-3			p		
315-3			r i		
1169-3			s u a		
1150-3			s e a t		
982-3			s t		
987-3			s		
1055-3			s r		
1130-3			s u r o		
433-3			k u		
585-3			t		
625-3			t		
1186-3			t		
814-3			v r		
416-3			v		
1233-3			t		
884-3			v i m		
916-3			w		
1016-3			a t m i d		
952-3			o		
514-3			g o		
1079-3			p r b		
1100-3			p s u		
47-3			ʒ		
111-3			l a		
1061-3			m		
1155-3			e		
343-3			t ɛ t r r		
671-3			r u		
560-4				ʃ a m	
438-4				h	
1222-4				l	
353-4				f au ʃ a	
201-4				f b	
20-4				f a ts a	
503-4				f au l l b	
957-4				h n	
728-4				f a l	
244-4				h aː m ə n	
289-4				n ʃ t	
911-4				h a s	
724-4				d r ts t	
145-4				h oː	
992-4				h s	
1181-4				h t	
706-4				h	
106-4				f aː l d	
421-4				f l au	
227-4				f au t	
920-4				h r	
1083-4				h au ə n	
1066-4				g	
1125-4				g e r b	
1197-4				m a l d	
473-4				n au	
284-4				n eː z	
661-4				v	
701-4				r	
315-4				h n	
1169-4				z a l	
1150-4				ʃ a l a	
982-4				z aː	
987-4				z a	
1055-4				ʃ t aː	
1130-4				z	
433-4				z aː t	
585-4				t	
625-4				u ə n	
1186-4				h r n	
814-4				ʃ a ʃ t	
416-4				v a s	
1233-4				v y n t	
884-4				v eː r m	
78-4				h l b	
514-4				b r n	
116-4				u r	
188-4				f aː	
745-4				f a aː h r	
1100-4				f r au	
630-4				h a ʃ t t	
1155-4				h	
24-4				h aː	
232-4				n au n	
671-4				r o s ts	
560-5					m e m a
438-5					r m i
1222-5					f r o
353-5					p l m e i
201-5					p a n a
20-5					k a o e i
503-5					p l aː r
957-5					k a n
728-5					s aː r
244-5					n m m i n
289-5					n u w
911-5					m a r i
724-5					t eː k
145-5					k
992-5					k aː
1181-5					k ae l rː
706-5					k r t
106-5					p aː i
741-5					p aː i
421-5					f t e r
227-5					p aː t i
920-5					k f r n
1083-5					k r r n u i
1066-5					k e
1125-5					r e m eː
1197-5					m e i
473-5					n a l i
284-5					n o
661-5					a r
701-5					s a i
315-5					r u i
1169-5					s e t r i
982-5					s eː k
987-5					s o eː i
1055-5					s t a n
1130-5					s u i i
433-5					s eː l m i
585-5					l uː
625-5					k a
1186-5					k i n i
814-5					m i r eː i o
416-5					k a
1233-5					t i n u i
884-5					t e r m i
916-5					k a
1016-5					a r iː m e o a
952-5					a
78-5					t r
1079-5					s o d r
116-5					p i
188-5					p
745-5					p aː u i
47-5					uː m e m o
111-5					l a eː r
1061-5					m e eː
630-5					r r u u e
1155-5					k u t r
24-5					n p p i
232-5					n
343-5					m i m i t i
