COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a á n n n a a									
1285-1	n w a i									
1303-1	ŋ g ɔ m a									
2197-1	s n á l á									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n n ɛ									
1789-1	k a a l á á ŋ g a									
3207-1	β u l a									
3519-1	t ʊ m a									
3686-1	á i á m b a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	g ʊ n n n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ á m b ɛ									
1216-1	g a β á á a									
1228-1	b w a									
1418-1	z i m n á á a									
1475-1	g w a									
2026-1	t w i									
2775-1	β ʊ m b a									
3397-1	β ɔ ɔ l a									
3826-1	z ɔ k a									
4003-1	n i n β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s u g ʊ l ʊ									
116-1	n i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ t ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	n a									
1350-1	Ø j a									
1374-1	n s a á a n ɛ									
1396-1	s ɔ β ʊ									
1430-1	i n s ɔ ɔ									
1666-1	t ʊ ʊ n ɔ									
1767-1	k ɔ ɔ k ɔ ɔ									
1906-1	i i ŋ g i l a									
2177-1	ŋ g a a k á									
2286-1	l a									
2317-1	Ø u β a									
2419-1	s ɛ k a									
2750-1	ɛ i z i									
3018-1	z i l a									
3275-1	k a a á n a									
3441-1	s a ŋ g a									
3464-1	β ɔ n a									
3639-1	t ɛ t ɛ m á l a									
3885-1	s u m ɔ ɔ									
3981-1	Ø n m á n a									
4192-1	Ø i i m b a									
4260-1	s w a									
4350-1	l ɛ ɛ l ɔ									
43-1	s i ʊ m ʊ									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	t a a l Ø a									
459-1	l ʊ m a									
508-1	p ɔ Ø u									
528-1	β i l i									
575-1	t a									
871-1	t a á m a									
1137-1	z i k ʊ									
1339-1	t w i i g									
1585-1	a á l a									
1712-1	Ø u l ɔ ɔ									
1872-1	p a									
2088-1	β i i s a									
2166-1	n u n m b a									
2334-1	Ø i g ɔ									
2393-1	m a a n a									
2537-1	l ɔ ɔ m ɔ ɔ									
2665-1	i n ŋ g i									
2738-1	β ɛ ɛ l ɛ									
2872-1	k ɔ s i									
2893-1	z i k ʊ a a									
2997-1	g a n n s a									
3075-1	g ʊ l ʊ β i									
3675-1	l l Ø a l ɛ									
4028-1	Ø w ɛ									
4137-1	m i l á									
4238-1	i s ɔ z i									
4316-1	t á t ʊ									
4429-1	p á s a									
4440-1	β i l i									
4485-1	s ʊ									
4574-1	á w a á l á									
4688-1	l n w ɛ									
143-1	β ʊ									
240-1	ɔ n g á									
388-1	b á Ø ʊ m a									
401-1	d á									
599-1	t a á m b i									
649-1	l ɛ ɛ t a									
755-1	g u l á									
836-1	s u m b i									
969-1	Ø z a									
994-1	t Ø l Ø k a									
1006-1	i ʊ g ʊ									
1032-1	Ø Ø l Ø l a									
1043-1	β á l a									
1110-1	t ɛ m a									
1263-1	t Ø p a									
1273-1	l Ø Ø t a									
1329-1	i k a a l a									
1362-1	g i									
1606-1	ɔ Ø t ɔ									
1617-1	Ø i k Ø									
1629-1	Ø Ø i									
1744-1	i β a a a									
1895-1	Ø á									
1917-1	Ø ʊ m a									
1969-1	Ø a m a									
1989-1	Ø a g a									
2037-1	Ø Ø a t a									
2128-1	Ø ɛ m b ɛ									
2186-1	g a n a									
2483-1	g ʊ l ʊ									
2592-1	l ɔ l á									
2615-1	d ʊ									
2700-1	g a a ŋ g a a									
2784-1	g ʊ l									
2797-1	l ɔ ɔ m ɔ ɔ									
2884-1	m p j a									
2904-1	k ɛ Ø n d a									
2972-1	Ø ɛ									
3030-1	l i p a									
3148-1	i i t a									
3160-1	l u t á									
3261-1	t ɛ t ɛ									
3364-1	z ɔ t a									
2689-2		ɲ a m a								
893-2		a a n a								
1303-2		ŋ k o m a								
2197-2		s l a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a á ŋ g a								
3207-2		b u l a								
3519-2		t u m a								
3686-2		a i a m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n l l i								
630-2		v e e l e								
814-2		ŋ o m b e								
1216-2		dʒ a w a								
1228-2		b w a á								
1418-2		s i m l a a a								
1475-2		g w a								
2026-2		t w e e								
3826-2		o g a								
