COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	u m									
96-1	a t a									
99-1	a r i p a									
114-1	t o k tʃ i									
115-1	u z u									
133-1	t i p a a a									
144-1	a a a w a									
150-1	k a w									
234-1	k o m									
236-1	p a k u n									
241-1	a w i n									
249-1	i tʃ									
1-1	w a z a									
2-1	w p m m									
65-1	i w									
74-1	p a n a									
106-1	t u n i									
128-1	p o k									
147-1	t i m u i									
231-1	p a n a w									
232-1	p i p i p									
239-1	m a m a k a n									
266-1	t i m									
51-1	u w									
97-1	m a p a m									
109-1	u p i p i									
121-1	k a p i a a k									
149-1	t o k									
160-1	k i a i k									
163-1	u p n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a a a k a w									
134-1	n a p a t									
139-1	m o o tʃ									
142-1	p p t a m a									
145-1	k a t a t i tʃ i									
148-1	t a a w w a									
162-1	i j i n									
166-1	i m i									
179-1	t a									
201-1	p a									
21-1	k a w a									
24-1	p a k a a a n									
50-1	i n a									
57-1	t o k a w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t u k a z a m t									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	t a j m									
205-1	i p a n									
227-1	w a p u a t									
246-1	i w i									
251-1	w a n a									
52-2		t t e								
56-2		i m e n								
96-2		a t a n								
99-2		a a i k a n								
114-2		t o k e n								
115-2		i t i e o								
133-2		t i p a a a n								
144-2		a t a a o s n								
150-2		k a w n								
234-2		k o m								
236-2		p i k i n n								
241-2		a w i n n								
249-2		i s e								
74-2		p a n a n								
93-2		t a p a a i s								
95-2		a i k i s								
106-2		t i n e n e								
119-2		j a t t n e i								
128-2		p o k n s								
147-2		t i m i s i								
231-2		p a n a a o								
232-2		p i o o j a								
239-2		j a m a k a n								
266-2		i t i m n								
51-2		i u e								
55-2		i p a m								
97-2		m a p a m s								
121-2		k a p i j a k o								
163-2		i p e n								
167-2		p a n								
259-2		t o w a n								
66-2		k a a a k a w								
112-2		t a a a j e s								
116-2		t o p a k a s i								
125-2		k a t o m a s i								
135-2		k i m i j i								
139-2		m a k o s o n								
142-2		p a t a m m s								
148-2		t a a a w i n								
162-2		i j i k n								
166-2		i m i n								
179-2		t a n								
45-2		p a o a j a a								
84-2		p i w a n n								
131-2		t e k a t a m t								
146-2		k k m a t s								
154-2		w e e								
192-2		t i t n								
197-2		t a t i m								
235-2		s a w i n								
237-2		n i m a j i								
246-2		i w i n								
250-2		m o p a k o k e k								
52-3			e tʃ k o							
56-3			i m k							
96-3			a tʃ i e							
99-3			i e e k i o							
114-3			tʃ i k i tʃ e							
115-3			i e i i i							
133-3			tʃ e p i a i i o							
144-3			i tʃ a w i e e							
150-3			k a w							
234-3			k i m o							
236-3			k i k i							
241-3			a w e							
249-3			e e k							
1-3			w a tʃ a o							
2-3			w w m o							
65-3			e w i							
93-3			tʃ i k a w e tʃ e							
95-3			w e k							
106-3			tʃ i i i i							
119-3			ɲ i tʃ e e i							
128-3			k o k i i							
147-3			tʃ e m e i							
231-3			k a a w o o							
232-3			w i ɲ i m o							
239-3			ɲ a m a k a							
266-3			e tʃ e m o							
3-3			w i i i k i o							
4-3			w a tʃ e o o							
55-3			e p i m o							
109-3			i k w ɲ e							
121-3			k a p i p a t e o							
149-3			tʃ i k o							
160-3			k e e e k							
207-3			m e o							
112-3			tʃ i a i m e i							
125-3			k a tʃ e m a e e o							
134-3			k i k a tʃ i							
135-3			tʃ i m i m i tʃ							
139-3			m i k e e e							
57-3			tʃ i k i w a							
71-3			i m e							
131-3			tʃ i k i tʃ e m o							
146-3			m m i i							
227-3			w a k i i tʃ i							
52-4				ʒ̟ t e						
56-4				u m						
96-4				a t a j						
99-4				a a i p o						
114-4				t o k tʃ						
115-4				u j u						
133-4				t i p a a a						
144-4				a a a w a						
150-4				k a w						
234-4				k o m						
236-4				p a k u n						
241-4				a w i n						
