COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t									
56-1	u m									
96-1	a t									
99-1	a r i a									
114-1	t a k									
115-1	u									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	m a m									
65-1	i w									
74-1	p a n a									
106-1	t u n									
128-1	p a k									
147-1	t a k									
231-1	p a n a w o									
232-1	p i p i o									
239-1	n a m a k a n									
266-1	i i m									
51-1	u w i									
97-1	m a p a m									
109-1	u p a i k									
121-1	k a p a a k									
149-1	t a k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t a w a									
66-1	k a r a k a									
134-1	n i p a t									
139-1	m a k a r i									
142-1	p a t a m a									
145-1	k a a t a t									
148-1	t a w a n									
162-1	i i n									
166-1	i m i									
179-1	t a									
201-1	p w i									
21-1	t a n									
24-1	p a k a r a n									
50-1	i n a									
57-1	t a k a w a n									
84-1	p i w a n									
91-1	m a k n									
131-1	t a k i m									
151-1	k i w									
154-1	w i									
192-1	t u t									
197-1	t									
205-1	i p a n									
227-1	m a p i t o									
246-1	i w i									
251-1	w a n a									
52-2		t e t e								
56-2		i m e								
96-2		a r a s								
99-2		a r i k e								
114-2		t a k i s i								
115-2		i r i s i								
133-2		i t i r a s i								
144-2		a r a r a s i								
150-2		k a								
234-2		a k o m								
236-2		a k i								
241-2		a i i								
249-2		i s e								
74-2		p a a								
93-2		t a a r i s i								
95-2		i i k i								
106-2		t i i s i								
119-2		i i t i s i								
128-2		o k i i								
147-2		t i m i s i								
231-2		w a a a								
232-2		i p i								
239-2		m a m a k a								
266-2		i t i m								
51-2		i e								
55-2		i a m								
97-2		a o m a								
121-2		k a p i a k i s i								
163-2		i p e n								
167-2		t p a								
259-2		t o a								
66-2		k a r a k a								
112-2		t r a i s i								
116-2		t o a k a s i								
125-2		k a i m i s i								
135-2		k i i i i								
139-2		m o i								
142-2		i p a r a m i s i								
148-2		t r a r i n i i								
162-2		i i								
166-2		i m i								
179-2		t a								
45-2		i i j a m a								
84-2		i a								
131-2										
146-2		i k i m a s i								
154-2		i e								
192-2		t i								
197-2		t e r i i m								
235-2		s i i								
237-2		i m a i								
246-2		i w i								
250-2		m o r a t i a k								
52-3			t i j a a							
56-3			t i m a							
96-3			j a t a t a							
99-3			a t i r a a a							
114-3			t e k i t i							
115-3			a t a m a t i							
133-3			i tʃ i t a m a tʃ i							
144-3			t a t a m a tʃ i							
150-3			k a							
234-3			a k o							
236-3			tʃ a k o							
241-3			j a a i k i							
249-3			i m a							
1-3			t a m a							
2-3			a t i a m a							
65-3			a j a							
93-3			t i m a m i tʃ i							
95-3			a a i a i							
106-3			tʃ e m a t i tʃ i							
119-3			i m a t i i							
128-3			tʃ e k i t i							
147-3			tʃ i m i t i							
231-3			t a m a t i							
232-3			t i m i a a a a							
239-3			t a m a k a							
266-3			j a i t i a							
3-3			t a m i k a a							
4-3			m a m a							
55-3			i a i a a m							
109-3			a a a tʃ a t i							
121-3			j a j a j a j a a a							
149-3			tʃ e a a							
160-3			k i m i							
207-3			m i							
112-3			t a i t i a t i tʃ i							
125-3			k a m i m a tʃ i							
134-3			t i m a tʃ i a							
135-3			t i k a k a m a							
139-3			j a a a m a m i t i							
57-3			t i k a m a							
71-3			m							
131-3			t i k a k a a a k i m a t i							
146-3			i a i a i a a							
227-3			t a m a i t a a							
52-4				t i t						
56-4				u m						
96-4				a t						
99-4				a r i						
114-4				t a k						
115-4				u						
133-4				t i p a n						
144-4				a t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ						
1-4				w a t a						
2-4				u						
65-4				i w						
74-4				p a n						
93-4				t a a						
95-4				w u						
106-4				t u n						
119-4				a t						
128-4				p a k						
147-4				t a k						
231-4				p a n a w						
232-4				p i						
239-4				n a m a k a n						
266-4				i t i						
3-4				a k						
4-4				w a w						
51-4				u w e						
97-4				t a p u m						
109-4				u p a k						
121-4				k a p a j a						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t a w a						
66-4				k a r a k a w						
116-4				t a a k a						
134-4				n i p a t						
135-4				t a a						
139-4				k i i m a n						
142-4				p a t a m a						
145-4				k a a t a t						
148-4				t a a w a n						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				a a t a n						
24-4				a k a a n						
45-4				j a						
50-4				i n a						
57-4				t a k a w a n						
71-4				a						
84-4				p i w a n						
91-4				m a k n						
131-4				t a k a i m						
146-4				u k						
151-4				k i w						
154-4				w e						
192-4				t a t						
205-4				i p a n						
227-4				t a p i t o						
235-4				a w						
237-4				a a						
246-4				i w i						
250-4				a k						
251-4				w a n a						
52-5					t e t a					
56-5					i m e					
96-5					a r a t i					
99-5					a r i k e					
114-5					t o k o s i					
115-5					w e r e s i					
133-5					t i p a r a s i					
144-5					a w a r a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n					
241-5					a a w i n					
249-5					i t e					
1-5					w a t a					
2-5					w i m					
65-5					i w i i					
74-5					p a n a					
93-5					t a p a r i s i					
95-5					k i k i i					
106-5					t i n e i s i					
119-5					i t i t i i					
128-5					k o k o s i					
147-5					t i m i s i					
239-5					m a m a k a n					
266-5					i t i m					
3-5					w i r i k o					
4-5					w a r i					
51-5					i w i					
55-5					i a a m					
97-5					m a k o m a n					
109-5					i p i j i k i					
149-5					t o k					
160-5					k i r i k					
163-5					i p i n					
167-5					p a					
207-5					m i					
259-5					t o w a					
66-5					k a r a k a					
112-5					t a r a j i s i					
116-5					t o p a k a i					
134-5					t i p a t i					
135-5					k i m i i k i					
139-5					a m o k o s i					
142-5					i p a r a m a s i					
145-5					k a r a t i t i					
148-5					t a r a w a n a s i					
162-5					i j i n					
166-5					i m i					
179-5					t a k a					
201-5					p e					
21-5					k a a t a					
45-5					i j a m a					
50-5					i n a					
71-5					a m i					
84-5					p i w a					
91-5					m a k o n					
146-5					i k i m a s i					
151-5					k i w					
154-5					w e					
192-5					t i t					
197-5					t e r i i m					
205-5					i p a n					
235-5					t o w i					
237-5					m i m a j i					
250-5					t o p a k o					
251-5					w a n a					
52-6						t i t i a				
56-6						t i m i				
96-6						t a m i tʃ i				
99-6						t t i a t i a				
114-6						t i k i tʃ i				
115-6						t t i i tʃ i				
133-6						t tʃ i a i i				
144-6						t i t i m i tʃ i				
150-6						t i i				
234-6						a k i				
236-6						t i k i i				
241-6						t a k a i				
249-6						i tʃ i				
1-6						t a tʃ i				
2-6						a i m				
65-6						i t i i				
74-6						t i i				
93-6						t i m a r i tʃ i				
95-6						a i tʃ i i				
106-6						t i m i t i tʃ i				
119-6						i m i t i tʃ i				
128-6						t i k i tʃ i				
147-6						t i m i tʃ i				
231-6						t i m i t i				
232-6						t i tʃ i i a i				
239-6						t i m a k i i				
266-6						t a i t i a				
3-6						t a t i i i				
4-6						t a tʃ i i				
55-6						i a a a m a				
97-6						t a i a i i a				
109-6						i t i i tʃ i				
160-6						t i tʃ i				
207-6						m i				
112-6						t i a t i a t i tʃ i				
116-6						t i p a i				
125-6						t a t i m i tʃ i				
134-6						t i m i t i i				
135-6						t i m i i tʃ i i				
139-6						t a tʃ i m i m i tʃ i				
201-6						t i i a i				
21-6						t i i i i k				
24-6						t i k i tʃ i i i				
57-6						t i k a a				
131-6						t i k i a i tʃ i m i tʃ i				
227-6						m a i i t i i				
52-7							t i t i a			
56-7							t i m a			
96-7							a a t i			
99-7							a r i k a i i n			
114-7							t i k i i			
115-7							i i i			
133-7							i t i a a n i			
144-7							a t a a i			
150-7							k a i			
234-7							a k i m			
236-7							p i k i n			
241-7							a a i n			
249-7							i t i			
1-7							a a			
2-7							m a m n			
65-7							i i i			
74-7							p a a			
93-7							t i a i i			
95-7							k i i i			
106-7							t i i i			
119-7							i i i i			
128-7							k a k i i			
147-7							t i m i i			
231-7							p a n a i			
232-7							t i p i a i			
266-7							i i m			
3-7							i r i k i a n			
4-7							a i i			
51-7							a			
55-7							i a a m			
97-7							m a i i m a i			
109-7							i p i i k i			
121-7							k a a a i			
149-7							t i k i			
160-7							k i r i k			
163-7							a p i			
167-7							p a			
207-7							m i			
259-7							t i a			
66-7							k a r a k a n			
125-7							k a i a i			
135-7							t i m i n i i			
142-7							i p a t a m a i			
145-7							k a a t i i			
148-7							t a a i a n a i			
162-7							i n i n			
166-7							i m i			
179-7							t a			
201-7							p i i i			
21-7							k a a t a n			
24-7							p a k i k a k i k a n			
50-7							i n a			
57-7							t i k a n a n			
71-7							m i			
84-7							p i a n			
131-7							t i k i a i i m a i			
146-7							i k i m a i			
