COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	tɕ i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	ts o ³³									
267-1	ts i ⁴² n ⁴²									
316-1	p ɯ ³³									
327-1	x ɯ ³³									
348-1	ts o ⁴⁴									
400-1	ts ou ²¹									
452-1	k ə˞ ⁴⁴									
463-1	k a ⁴⁴									
512-1	t u ⁴²									
534-1	ts ou ⁴⁴									
556-1	k u ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	pʰ ɯ ⁵⁵									
656-1	k o ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p i e n ⁴²									
786-1	k e ³⁵									
820-1	tɕ o ²¹									
839-1	t ɯ ²¹									
863-1	k u ³³									
896-1	k ə˞ n									
929-1	ts ɯ ²¹									
1015-1	ʂ o ⁵⁵									
1035-1	ts o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ɕʰ i ³³									
1195-1	ɕʰ i ³³									
1241-1	m e ²¹									
1252-1	l o ²¹									
1294-1	k a ŋ									
1326-1	ts u ³³									
1348-1	tɕ i ³¹									
1401-1	s e n ⁴²									
1451-1	s i ³³									
1473-1	t w e n									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	s j e n									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	ɕʰ i ⁴⁴									
1731-1	ʂ o ŋ ⁵⁵									
1762-1	s w a ²¹									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ									
1805-1	ts i ³¹									
1816-1	s o ³³									
1862-1	ts i ⁵⁵									
1885-1	k ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p ɯ ³³									
1969-1	s i n n									
2018-1	ts o ²¹									
2029-1	k a ŋ									
2051-1	tɕ o ²¹									
2074-1	k o ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	ts o ⁴²									
2269-1	m e ³³									
2280-1	s w ³¹									
2291-1	s e n ⁴²									
2316-1	ts i ⁴⁴									
2364-1	tɕ i ³³									
2395-1	ʈʂʰ ə˞ n									
2406-1	tɕʰ j ə˞ n									
2417-1	k o ⁴²									
2428-1	k a ŋ									
2450-1	ts o ²¹									
2484-1	ɕʰ i ⁴⁴									
2495-1	k u ²¹									
2565-1	t i ³⁵									
2611-1	j ou ⁴⁴									
2632-1	w a ³³ ⁴⁴									
2644-1	w a ³³									
2674-1	m õ ³³									
2698-1	ʂ o ³³									
2709-1	n e ²¹									
2720-1	tɕ o ⁴²									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕ ə˞ ə˞ ⁵⁵									
2837-1	ts j ³⁵									
2859-1	ɕʰ j e n									
2889-1	tɕ j ³³									
2900-1	k o ³³									
2928-1	tsʰ o ŋ									
2941-1	k ɯ ⁵⁵									
2998-1	ts i ³³									
3031-1	tʰ o ³³									
3052-1	t ɯ ⁴²									
3064-1	t a ²¹									
3084-1	tʰ a ⁴⁴									
