COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l e b e			
222-1	a b o b o n o			
208-1	e b u ɾ b u d u			
962-1	e g o ɾ l e			
203-1	e g u d i			
138-1	s i l i			
504-1	ɗ oː s e			
662-1	ɓ Ø d a			
478-1	ʔ g oː ɗ a			
409-1	e ɾ o			
410-1	g u n d i			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	s e Ø e ʔ			
847-1	n ɛ n d i g e			
95-1	b e ɗ i			
105-1	b i n i			
510-1	b o s e			
951-1	m b m m e ɾ o			
468-2		θ aː b a		
222-2		a b a b oː i		
208-2		a b u r b u d u		
962-2		a g o r θ a		
203-2		a g u d i ʔ e		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ə n e		
662-2		ɓ u d ʔ a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d ɛ g e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
468-3			θ ɛ b ə	
222-3			a b ɛ b Ø i	
208-3			ə b u r b u d u	
962-3			ə g o r m ə	
203-3			ə g u d i ʔ	
138-3			ʃ i l a	
504-3			ɗ ɔ ʃ ɛ a	
662-3			p ʔ ʊ d a	
478-3			ɲ g ɔ ɗ a	
409-3			ə r a	
410-3			g u n d i	
256-3			p ʔ aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f ə	
847-3			ɲ ɛ d i g i	
95-3			b aː ɗ i	
105-3			b ɛ n i	
510-3			b u ʃ ə	
951-3			m b m ə r a	
468-4				θ o b e
222-4				e b ɛ b Ø n
208-4				e b u r b u d u
962-4				e g o r ɛ
203-4				e g u d i a
138-4				ʃ i l e
504-4				ɗ oː ʃ a a i
662-4				ɓ u d a a i
478-4				g o ɗ i
409-4				e r e
410-4				g u n d i
256-4				ɓ aː l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f e
847-4				n ɛ d i g i
95-4				b ɛ ɗ i
105-4				b a a i
510-4				b o ʃ e
951-4				m b ə m e r e
