COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	Ø e b e			
222-1	a b o b o n o			
208-1	e b uː ɾ b uː d uː			
962-1	e g o ɾ d e			
203-1	e g uː d i d			
138-1	d s i l e			
504-1	ɗ oː s d d e			
662-1	Ø Ø d a			
478-1	ʔ g oː ɗ e			
409-1	e ɾ o			
410-1	g uː n d i			
256-1	Ø ʔ Ø l e			
622-1	n d uː			
546-1	n d uː			
547-1	s e Ø e ʔ			
847-1	n e n d e g e			
95-1	b e ɗ i			
105-1	b i n d d i			
510-1	b o s e			
951-1	m b o m e ɾ o			
1116-1	m b o m a			
149-1	Ø ʔ uː Ø ʔ i			
376-1	Ø ʔ a l i			
815-1	g o ɾ d d e			
453-1	ɗ uː ŋ e			
67-1	ɗ a s e			
47-1	ɗ o k ʔ o Ø e			
869-1	ɗ oː Ø e			
57-1	k Ø g uː			
303-1	g e Ø ʔ i e			
443-1	g eː ɾ e			
884-1	g uː n d i			
166-1	g uː n d i			
918-1	e b e ɾ o			
831-1	h Ø d s e			
616-1	b eː o			
84-1	h o s e l e			
346-1	h o h d l uː			
601-1	Ø i g i			
177-1	k ʔ e Ø e d			
341-1	k ʔ o l e			
1066-1	Ø e n Ø ʔ e ŋ e			
318-1	Ø eː s e			
241-1	m Ø d s o			
556-1	h e n d uː ŋ uː			
191-1	Ø ʔ e m b ʔ e l			
458-1	e Ø ʔ i Ø ʔ i			
1-1	h e n Ø i ɾ			
751-1	ɾ o			
864-1	e ŋ o n e			
154-1	e m e n Ø i			
278-1	e m i l o ʔ e			
766-1	s oː ɾ e			
251-1	e g Ø ɾ uː			
582-1	o ʔ o ŋ			
6-1	e l i			
1106-1	n g o			
473-1	Ø i n o			
1111-1	h e l uː			
957-1	m a ɾ o			
41-1	b Ø Ø			
24-1	Ø Ø			
25-1	Ø Ø ɾ o			
879-1	a b a ɾ a b e Ø			
837-1	m Ø s i			
233-1	Ø Ø Ø Ø i Ø o			
938-1	Ø Ø uː l a			
369-1	a ɾ o			
946-1	Ø e ŋ g o			
889-1	Ø Ø eː l e			
820-1	Ø s o ɾ o Ø			
438-1	n d Ø n o			
468-2		l aː b a		
222-2		a b a b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ a		
203-2		a g u d i ʔ e		
138-2		ʃ i l ɛ		
504-2		ɗ oː ʃ ə n e		
662-2		ɓ oː d e n a		
478-2		g o ɗ ɛ		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ a l ɛ		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ n d i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u s i		
376-2		ɓ ɛ l i		
815-2		g o r ŋ a		
453-2		ɗ u ŋ ɛ		
67-2		ɗ a ʃ ɛ		
47-2		d u k e ɛ θ e		
869-2		ɗ oː l a		
57-2		k a g u		
303-2		g ʔ aː s i a		
443-2		g ɛ r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r ɛ		
831-2		h Ø n ʃ ɛ		
616-2		b iː e		
84-2		h o ʃ a l e		
346-2		h oː h e l e		
601-2		s i g i		
177-2		k a f a ŋ		
341-2		k o l a		
1066-2		f ɛ n d ɛ ŋ a		
318-2		e f ɛ ʃ i		
241-2		m a n ʃ e e e		
556-2		h a n d ŋ u		
191-2		ɓ i m ɓ i l		
458-2		a s i s i		
1-2		h a Ø g e r i		
751-2		r o		
864-2		a ŋ o n e n a		
154-2		a ʔ m aː n Ø i		
278-2		m i l u ʔ i		
766-2		ʃ oː r e		
251-2		a g u r u		
582-2		u s e ŋ e		
6-2		a l i		
1106-2		ŋ g o		
473-2		e n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i ɛ		
24-2		s iː		
25-2		θ a r e		
879-2		a b a r a b ɛ d i		
566-2		aː Ø aː Ø Ø e r ɛ s		
742-2		a g e ʔ		
1044-2		ʃ i m b i l a		
13-2		a l h aː m i s		
720-2		Ø s ɛ l aː ʔ		
837-2		m Ø ʃ i		
233-2		ɓ iː ɓ i o		
938-2		ɓ u l i a n ɛ		
369-2		a r e		
946-2		Ø a ŋ g e		
889-2		ɓ Ø l e		
820-2		a ʃ e r Ø Ø		
405-2		b Ø d ɛ		
134-2		ɓ Ø ɗ i ɛ		
1078-2		m Ø h i		
429-2		b o ŋ Ø o ʃ		
187-2		b Ø s k e		
438-2		n d Ø Ø ɛ		
468-3			l ɛ b ə	
222-3			a b ə b Ø ʔ i	
208-3			ə b u r b u d u	
962-3			ə g ɔ r m ə	
203-3			ə g u d i ʔ	
138-3			m ʃ i l i	
504-3			d ɔː ʃ a ɲ a	
662-3			p ʔ ʊ d a a a	
478-3			ŋ g ɔː d a	
409-3			ə r i	
410-3			g u n d i	
256-3			p ʔ a l i	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f ə ʔ	
847-3			n a n d i g i	
95-3			b ɛ d i	
105-3			b a n i	
510-3			b ɔ ʃ ə	
951-3			m b ə m ə r i	
1116-3			m b ə m ə	
149-3			p ʔ u s ʔ i	
376-3			p ʔ a l i	
815-3			g ɔ r m m ə	
453-3			d u ŋ i	
67-3			d a ʃ i	
47-3			d u k u l a a a	
869-3			d ʊː l ə	
57-3			k a g u	
303-3			ʔ ɛ s ʔ i ə	
443-3			g a r a	
884-3			g u n d i	
166-3			g u n d u	
918-3			ə b ɛ r i	
831-3			h Ø m ʃ i	
616-3			b iː i	
84-3			h ɔ ʃ a l a	
346-3			h a h ɔ l u	
601-3			s i g i	
177-3			k ʔ ə f ə ŋ	
341-3			k ʔ ɔ l ə	
1066-3			f ɛ n d i ŋ a	
318-3			ʊ f a ʃ i	
241-3			m a m ʃ a a ɔ	
556-3			h ə n d ʊ ŋ u	
191-3			p ʔ i m b i l	
458-3			ə s ʔ i s ʔ i	
1-3			h ə ŋ g ɪ r	
751-3			r ɔ	
864-3			ə ŋ ɔ n a a i	
154-3			ə ʔ m ɛ n s i	
278-3			ɛ m i l u ʔ i	
766-3			ʃ ɔː r a	
251-3			ə g ʊ r u	
582-3			u u ŋ a	
6-3			ə l i	
1106-3			ɲ g ɔ	
473-3			ŋ ɪ n i	
1111-3			h ə l u	
957-3			m ə r i	
24-3			s i	
25-3			Ø a r e	
879-3			ə b ə r ə b ɛ Ø r	
566-3			a Ø Ø ə Ø Ø ɔ r ə s ʔ	
742-3			ə ɔ ʔ	
1044-3			ʃ Ø m b i l ʊ	
13-3			ə l h ə m i s	
720-3			a s ɛ l ə ʔ	
233-3			Ø i Ø i Ø ɔ	
938-3			p ʔ u l ʊ a r a	
369-3			ə r e	
889-3			p ʔ Ø l e	
405-3			b Ø d e	
134-3			p ʔ Ø d i ʔ i	
1078-3			m e h i	
429-3			b ɔ ŋ Ø ɔ ʃ	
187-3			b Ø s Ø ʔ ɪ Ø e	
468-4				θ o b o
222-4				o b ɛ b Ø n
208-4				o b u r b u d u
962-4				o g o r ɛ
203-4				o g u d i a a
138-4				ʃ i l e
504-4				ɗ oː ʃ a a a
662-4				ɓ u d a a a
478-4				g o ɗ a
409-4				o r
410-4				g u n d i
256-4				ɓ a l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f o
847-4				n ɛ d i g i
95-4				b ɛ ɗ i
105-4				b i a i
510-4				b o ʃ o
951-4				m b ə m o r
1116-4				m b ə m a
149-4				ɓ u s i
376-4				ɓ u l i
815-4				g o r o
453-4				ɗ u a
67-4				ɗ a ʃ e
47-4				ɗ o k o θ a a a
869-4				ɗ uː θ o
57-4				k a g u
303-4				g a o s i o
443-4				g e r o
