COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	Ø e b e			
222-1	e b o b o n e			
208-1	e b uː ɾ b uː d uː			
962-1	e g o ɾ d e			
203-1	e g uː d i d			
138-1	d s i l e			
504-1	ɗ oː s d d e			
662-1	ɓ Ø d e			
478-1	ʔ g oː ɗ e			
409-1	e ɾ e			
410-1	g uː n d i			
256-1	ɓ a l e			
622-1	n d uː			
546-1	n d uː			
547-1	s e Ø e ʔ			
847-1	n ɛ n d e g e			
95-1	b e ɗ i			
105-1	b i n d d i			
510-1	b o s e			
951-1	m b o m e ɾ e			
1116-1	m b o m a			
149-1	ɓ uː Ø ʔ i			
376-1	ɓ a l i			
815-1	g o ɾ d d e			
453-1	ɗ uː ŋ e			
67-1	ɗ a s e			
47-1	ɗ o k o Ø e			
869-1	ɗ oː Ø e			
57-1	k a g uː			
303-1	g e Ø ʔ i e			
443-1	g eː ɾ e			
884-1	g uː n d e			
166-1	g uː n d i			
918-1	e b e ɾ e			
831-1	h a s e			
616-1	b eː e			
84-1	h o s e l e			
346-1	h o h d l uː			
601-1	Ø i g i			
177-1	k ʔ e Ø e d			
341-1	k ʔ o l e			
1066-1	Ø e n Ø e ŋ e			
318-1	Ø eː s e			
241-1	m a s o			
556-1	h e n d uː ŋ uː			
191-1	ɓ ɛ m ɓ e l			
458-1	e Ø ʔ i Ø ʔ i			
1-1	h e n Ø i ɾ			
751-1	ɾ o			
864-1	e ŋ o n e			
154-1	e m e n Ø i			
278-1	e m i l o ʔ e			
766-1	s oː ɾ e			
251-1	e g Ø ɾ uː			
582-1	o ʔ o ŋ			
6-1	e l i			
1106-1	n g o			
473-1	Ø e n e			
1111-1	h e l uː			
957-1	m a ɾ e			
41-1	b Ø Ø			
468-2		l aː b a		
222-2		aː b a b o ʔ e		
208-2		a b u r b u d u		
962-2		a g o r θ a		
203-2		a g u d i ʔ e		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ə n a		
662-2		ɓ oː d e n a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d e g e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ e ʃ e		
47-2		d o k e aː θ a		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g ʔ aː ʔ i a		
443-2		g e r a		
884-2		g u n d e		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h o h e l e		
601-2		s i g i		
177-2		k ʔ a f a ŋ		
341-2		k ʔ o l a		
1066-2		f ɛ n t e ŋ a		
318-2		e f e ʃ e		
241-2		m aː ʃ e e e		
556-2		h a n d ŋ u		
191-2		ɓ i m ɓ e l		
458-2		a s ʔ i s ʔ i		
1-2		h a Ø g i r i		
751-2		r o		
864-2		a ŋ o n e n a		
154-2		a ʔ m aː n Ø i		
