COGID	Albanian	English	French	German	Latin
560-1	k a m i				
438-1	y r e j				
1222-1	u f				
353-1	p ɪ ʃ k ɪ				
201-1	f i n f				
20-1	f a s				
503-1	f uː l n a				
957-1	iː n				
728-1	l a g				
244-1	n au m e n				
289-1	n a k t				
911-1	b r d ə k				
724-1	d r v a				
145-1	u b ai				
992-1	k ɪ				
1181-1	h u e n				
741-1	p ø k				
1150-1	ʃ oː r d				
585-1	t uː				
814-1	w ə r a				
916-1	t				
1079-1	b iː b				
630-1	eː ŋ g au t ai				
343-1	w t e i				
8-1	g r a d				
385-1	s i				
683-1	k ə n t				
650-1	k i l a				
612-1	f uː m a				
871-1	d r k t a				
667-1	l a v e				
527-1	b ai s ə r				
499-1	n e				
1029-1	w u				
560-2		w ɪ m n			
438-2		u i s			
1222-2		u v			
353-2		p ɪ s k ɪ			
201-2		f ɪ s			
20-2		f i r			
503-2		f l ai			
957-2		ɪ n			
728-2		l a ŋ			
244-2		n au m ɪ n			
289-2		n ai k d			
911-2		r a t ɪ k			
724-2		d r ɪ			
145-2		i w			
992-2		w ɪ			
706-2		au k au l ai			
106-2		p i d ə r			
741-2		d ɛ k ai			
421-2		f l o r			
227-2		p j ɛ			
920-2		h ɛ r			
1083-2		h ai r n ʊ			
1066-2		ɪ f			
1125-2		ɪ n au			
1197-2		m i r			
473-2		n ai v i l			
284-2		n ɪ s ə			
661-2		ʊ n ai			
701-2		r au b r ai			
315-2		r au d au n d ai			
1169-2		s i l			
1150-2		s k r d ə r			
982-2		a t ɪ			
987-2		s ɪ v			
1055-2		s t ɛ r n			
1130-2		s uː t ɛ			
433-2		s a l i			
625-2		l ɪ ŋ ə			
1186-2		ɪ n d			
416-2		w			
1233-2		w ɪ n d ai			
884-2		w ɛ r m ɪ			
1016-2		ɛ n ɛ m ɛ l			
952-2		ɛ d			
78-2		f l i s			
514-2		b r ɛ l			
116-2		ɪ θ			
188-2		p ɪ r n			
745-2		f ɪ θ ə r			
1100-2		f r ɛ f d			
47-2		uː ai i n			
111-2		l ɛ k ʊ			
1061-2		m ai t ɛ			
24-2		n u f d			
232-2		n au θ			
671-2		r ɛ f d			
385-2		s i			
945-2		s i m ə n			
644-2		k ʊ			
1041-2		s d i			
492-2		d oː n au ɪ			
1209-2		v a m iː			
527-2		au j t r			
14-2		g ɛ l b			
1-2		o l			
915-2		au n d			
271-2		a s			
560-3			w j		
438-3			ɔ̃ r s		
1222-3			b a s		
353-3			f ɛ s k ɛ		
201-3			f i s		
20-3			f i r		
503-3			f u l		
957-3			ɛ n		
728-3			l a ŋ		
244-3			ɛ m ɑ̃		
289-3			n a f t		
911-3			r ɑ̃		
724-3			d r ɛ		
145-3			a u		
992-3			b		
1181-3			k u n		
706-3			ɔ̃ k u		
106-3			f ɛ t r		
741-3			f j u		
421-3			f l ø v		
227-3			f u s		
920-3			k ɔ r		
1083-3			k ɔ r n y		
1066-3			ai f		
1125-3			k n y		
1197-3			m e n t r		
473-3			n ai v		
284-3			n e s		
661-3			y n		
701-3			r u b r ai		
315-3			r ɔ̃ t d		
1169-3			s o l		
1150-3			s k r t ɑ̃ r		
982-3			s ɛ a		
987-3			s n		
1055-3			s t ɛ r		
1130-3			s ɑ̃ g		
433-3			s u		
585-3			t y		
625-3			t ɑ̃ ŋ a		
1186-3			s e n d		
814-3			w ɑ̃ r		
416-3			w ai d		
1233-3			v ɑ̃ d		
884-3			w ɑ̃ r m		
916-3			t		
1016-3			ɛ ɛ ɑ̃ m e l		
952-3			ɛ t		
514-3			b u ɛ n		
1079-3			p ɛ b		
1100-3			f r ɛ s		
47-3			k œ m ɑ̃		
111-3			l a k u		
1061-3			m ɔ̃ t e		
1155-3			k ɔ l s		
343-3			w a t ɑ̃		
671-3			r ɛ f t		
460-3			p u t r t		
8-3			k ɑ̃ r p ɛ s		
644-3			s r ɛ		
683-3			k ɑ̃ d		
650-3			s ɛ a		
612-3			f m		
871-3			r ɛ i t		
1209-3			w a m ɑ̃ t		
667-3			l a v e		
499-3			n e		
14-3			j a l b		
1029-3			j u		
272-3			s ɑ̃ ɛ r		
560-4				b iː m i	
438-4				b i ʃ	
1222-4				u g r	
353-4				f eː ʃ k iː	
201-4				f ai b	
20-4				k a s r	
503-4				f l e n a	
957-4				iː n	
728-4				l a g g a	
244-4				n i m iː n	
289-4				n a k	
911-4				r a ʃ iː n	
724-4				t r eː	
145-4				t oː a	
992-4				h iː	
1181-4				ʃ i n i	
706-4				o iː r l a	
106-4				pf aː s r	
421-4				f l u ə r	
227-4				f uː s	
920-4				k a r t	
1083-4				h a r n ə	
1066-4				ai ə	
1125-4				g eː n r	
1197-4				m a n s r	
473-4				n r b aː l	
284-4				n eː r a	
661-4				ə n a	
701-4				r oː d r a	
315-4				r au t oː n t a	
1169-4				ʃ a l t	
1150-4				ʃ k r s	
982-4				a eː t ə	
987-4				z n d	
1055-4				ʃ t v a l	
1130-4				ʃ oː k eː	
433-4				z ə l e j	
585-4				t oː	
625-4				t a ŋ	
1186-4				t eː n s	
814-4				b ə r a i t	
416-4				k a s	
1233-4				b eː n t a	
884-4				b aː r m iː	
78-4				b l a	
514-4				b ə r l aː	
116-4				eː t eː	
188-4				f a r k oː l	
745-4				f aː d ə r	
1100-4				f r uː iː	
630-4				n g ə ʃ t	
1155-4				k a l l a	
24-4				n u n	
232-4				n r n k	
671-4				r o s	
460-4				p oː t r iː d a	
8-4				g eː r b iː ʃ	
385-4				ʃ	
945-4				z i t	
1041-4				ʃ t aː n d	
492-4				t eː n oː eː	
527-4				v a s ə r	
14-4				j aː l a	
1-4				a l	
915-4				a n d	
271-4				a ʃ	
560-5					k a n
438-5					w aː k
1222-5					o f
353-5					f iː k k
201-5					f ai k
20-5					k a l i d
503-5					f l a l
957-5					iː n
728-5					l a ŋ
244-5					n au m e n
289-5					n uː iː t
911-5					w u r i n
724-5					t r i
145-5					u uː
992-5					k
1181-5					k e n
706-5					o i
106-5					f a g u r
741-5					p a k
421-5					f l u m r
227-5					f u t
920-5					k o r t
1083-5					k a r n
1066-5					iː f
1125-5					k n i
1197-5					m a g a r
473-5					n u b a l
284-5					n aː w a
661-5					u n
701-5					r a d
315-5					r au n d
1169-5					s a l t
982-5					a i t
987-5					k n a
1055-5					k t a r n
1130-5					s uː k
433-5					s a l i l
585-5					t uː
625-5					k u ŋ a
1186-5					iː e n
814-5					w e r i d i
416-5					b
1233-5					w i n d
884-5					b u r m
916-5					oː
1016-5					a n iː m a l
952-5					a t
78-5					b l a s
1079-5					b i
116-5					e t
188-5					f aː r n
745-5					f e g u r
47-5					k w u m a n
111-5					l a k
1061-5					m au t a a n
630-5					n g u ʃ t
1155-5					k u l w
24-5					n iː f t
232-5					n u n
343-5					w w e w
460-5					f u l i
945-5					s ɪ m u n
644-5					s k
683-5					k a n d a
650-5					f i oː i
612-5					f uː m aː
1041-5					s t e n d
871-5					d r iː g t
492-5					s i n
1209-5					b o m a t
667-5					l a
499-5					n u
1029-5					l u
272-5					s a n d r
