** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.1026        0.2323       0.7289         0.6439       1.5641        0.3293       0.6018         0.5052
10               1.2188        0.2551       0.7109         0.6360       1.5312        0.3224       0.6070         0.5375
2                0.8710        0.1875       0.7949         0.7074       1.0968        0.2544       0.6883         0.6330
3                1.2500        0.2913       0.7556         0.5332       3.6667        0.8081       0.3867         0.1109
4                0.6071        0.1458       0.8658         0.7477       1.5000        0.3714       0.5811         0.4361
5                2.0000        0.5500       0.7698         0.2611       3.2000        0.7667       0.4608         0.0826
6                0.8667        0.2045       0.8148         0.6637       1.3333        0.3287       0.6907         0.4986
7                1.0870        0.2443       0.8041         0.6175       2.2609        0.5234       0.5279         0.3234
8                0.6429        0.1608       0.8513         0.7251       1.5357        0.3586       0.6072         0.4907
9                1.6500        0.3358       0.7394         0.5505       2.6000        0.5883       0.4563         0.2918
TOTAL            1.1296        0.2607       0.7835         0.6086       2.0289        0.4651       0.5608         0.3910


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.3944        0.2907       0.6646         0.5775       2.0986        0.4496       0.4423         0.3791
10               1.4600        0.2904       0.6434         0.5921       1.8400        0.3830       0.5057         0.4802
2                1.1786        0.2462       0.6963         0.6332       2.0000        0.4236       0.4770         0.4330
3                2.2222        0.5083       0.5753         0.3461       3.6667        0.7912       0.3518         0.1249
4                1.0000        0.2500       0.7220         0.6178       1.6964        0.4554       0.4744         0.3525
5                2.0000        0.6354       0.6826         0.1932       3.1250        0.8708       0.4617         0.0229
6                0.8846        0.1992       0.7882         0.6876       1.9615        0.4746       0.4849         0.3544
7                1.3158        0.3154       0.7328         0.5270       2.6053        0.6241       0.3942         0.2358
8                0.8400        0.2084       0.7725         0.6739       2.2200        0.5367       0.4051         0.3170
9                1.5143        0.3569       0.6572         0.4946       3.3143        0.7052       0.3256         0.1582
TOTAL            1.3810        0.3301       0.6935         0.5343       2.4528        0.5714       0.4323         0.2858


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4059        0.3066       0.6360         0.5352       2.3960        0.5179       0.3695         0.3208
10               1.3429        0.2530       0.6575         0.6276       2.3857        0.5008       0.3988         0.3564
2                1.0800        0.2290       0.6936         0.6741       2.0000        0.4505       0.4327         0.3957
3                2.2500        0.5204       0.5762         0.3402       3.7000        0.7961       0.3707         0.1369
4                0.9189        0.2221       0.7248         0.6583       2.0676        0.5140       0.3604         0.3154
5                2.5455        0.6439       0.6254         0.1666       3.0909        0.8652       0.4415         0.0351
6                1.1739        0.2602       0.7169         0.6003       2.1739        0.5150       0.4160         0.3021
7                1.6122        0.3640       0.6435         0.4785       3.3265        0.7780       0.2127         0.1428
8                1.0959        0.2634       0.7153         0.6113       2.4932        0.5795       0.3522         0.2658
9                2.0500        0.4395       0.5729         0.4094       3.2750        0.7056       0.2910         0.1572
TOTAL            1.5475        0.3502       0.6562         0.5101       2.6909        0.6223       0.3645         0.2428


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4929        0.3280       0.6172         0.5283       2.8714        0.6329       0.2588         0.2283
10               1.2875        0.2539       0.6631         0.6222       2.6500        0.5681       0.3409         0.2964
2                1.1294        0.2394       0.6826         0.6570       2.3765        0.5398       0.3526         0.3002
3                2.4545        0.5523       0.5477         0.3035       3.6818        0.7912       0.3409         0.1299
4                1.2584        0.2955       0.6539         0.5519       2.4719        0.6208       0.2814         0.2006
5                2.5455        0.6439       0.6254         0.1666       3.0909        0.8652       0.4415         0.0351
6                1.2000        0.2784       0.6563         0.5685       2.3111        0.5398       0.3721         0.2988
7                1.7818        0.4000       0.6049         0.4393       3.2222        0.7845       0.2916         0.1222
8                1.2471        0.2905       0.6611         0.5648       2.5647        0.6072       0.3059         0.2333
9                2.0000        0.4209       0.5687         0.4486       3.0714        0.6647       0.3276         0.2232
TOTAL            1.6397        0.3703       0.6281         0.4851       2.8312        0.6614       0.3313         0.2068


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.9477        0.4325       0.5433         0.3991       3.1569        0.6919       0.2266         0.1818
10               1.6111        0.3267       0.6034         0.5249       2.8444        0.6135       0.3078         0.2588
2                1.6923        0.3744       0.5865         0.4792       2.8558        0.6397       0.3022         0.2113
3                3.0370        0.6876       0.4534         0.1893       3.9630        0.8772       0.2444         0.0691
4                1.6228        0.3755       0.5871         0.4566       2.7456        0.6802       0.2490         0.1426
5                2.5455        0.6439       0.6254         0.1666       3.0909        0.8652       0.4415         0.0351
6                1.5455        0.3376       0.5987         0.5225       2.7273        0.6206       0.2892         0.2270
7                1.9219        0.4349       0.5392         0.4202       3.1613        0.7748       0.2728         0.1372
8                1.4479        0.3420       0.6210         0.4954       2.8021        0.6464       0.2906         0.2175
9                2.6170        0.5700       0.5354         0.2830       3.3617        0.7237       0.2962         0.1450
TOTAL            1.9989        0.4525       0.5693         0.3937       3.0709        0.7133       0.2920         0.1625


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.6923        0.1994       0.8221         0.6938       0.1346        0.0375       0.9588         0.9330
Changsha              0.9423        0.2715       0.7535         0.6282       0.2692        0.0808       0.9239         0.8734
Chaozhou              1.5192        0.3955       0.6070         0.4542       1.2885        0.3314       0.6378         0.5470
Chengdu               0.6538        0.1804       0.8464         0.7223       0.1923        0.0490       0.9475         0.9222
Fuzhou                1.0962        0.2766       0.7308         0.5879       0.7692        0.1929       0.7538         0.7081
Guangzhou             1.2500        0.3641       0.7000         0.5046       0.3269        0.0910       0.8789         0.8561
Hankou                0.6538        0.1910       0.8535         0.7119       0.1346        0.0333       0.9635         0.9429
Jinan                 0.7308        0.2199       0.8174         0.6827       0.1346        0.0449       0.9642         0.9244
Meixian               0.9038        0.2420       0.7388         0.6388       0.6346        0.1676       0.7898         0.7388
Nanchang              0.9615        0.2772       0.7486         0.6106       0.5769        0.1603       0.8219         0.7557
Shanghai              1.3269        0.3776       0.6650         0.4966       0.5962        0.1817       0.7886         0.7535
Shuangfeng            1.1154        0.3138       0.7211         0.5603       0.4423        0.1212       0.8441         0.7967
Suzhou                1.0769        0.2981       0.7255         0.5681       0.5000        0.1417       0.8392         0.7703
Taiyuan               1.0385        0.2808       0.7222         0.6061       0.1923        0.0465       0.9433         0.9269
Wenzhou               1.5769        0.4529       0.5904         0.4043       0.7115        0.2189       0.7511         0.6907
Xiamen                1.1346        0.2946       0.7126         0.5606       2.6346        0.6872       0.5488         0.1447
XiAn                  0.8077        0.2359       0.8135         0.6459       2.7115        0.6949       0.5919         0.1418
Yangzhou              0.9808        0.2692       0.7562         0.6283       0.3077        0.0824       0.8982         0.8726
ZhongyuanYinyun       2.4423        0.5827       0.5058         0.2713       0.3077        0.0721       0.9136         0.8669
TOTAL                 1.1002        0.3012       0.7279         0.5777       0.6771        0.1808       0.8294         0.7456


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
