COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l a ⁵						
18-1	m j a n ⁵						
19-1	n ei ⁵						
44-1	l u ³¹						
50-1	ʃ i ŋ ³¹						
62-1	ʃ i ⁵⁴						
70-1	b a n ⁵						
75-1	m j a ʔ ⁵⁴						
97-1	tʃʰ a ŋ ⁵						
112-1	tsʰ ɔ ⁵						
122-1	m j u ŋ ³¹						
127-1	kʰ w i ³¹						
132-1	w ɔ ʔ ³¹						
133-1	n w i ⁵						
135-1	n au ⁵						
142-1	d z i ³¹						
143-1	ŋ ɔ ʔ ⁵⁴						
149-1	ʔ u ⁵						
152-1	ŋ ɔ ³						
157-1	b ɔ ⁵						
183-1	ʔ u ⁵						
184-1	n u k ⁵⁴						
185-1	tsʰ a m ³¹						
189-1	m j ɔ ʔ ⁵						
192-1	n i ³¹						
195-1	n ɔ ³¹						
200-1	ʃ a n ³¹						
216-1	ʃ i ŋ ⁵						
218-1	l ɔ ʔ ³¹						
225-1	ʃ i ŋ ⁵						
235-1	kʰ j i ³¹						
244-1	s w i ⁵						
253-1	m j ɛ ⁵						
270-1	m i ⁵						
278-1	m i ŋ ³¹						
279-1	j ɔ ⁵						
285-1	ʔ i ⁵						
308-1	pʰ j i ⁵						
322-1	m i ⁵						
325-1	kʰ au ⁵						
337-1	m j a ŋ ⁵						
341-1	d ɔ ⁵						
347-1	ʃ u t ⁵⁴						
362-1	j i ³¹						
391-1	ʔ ɔ p ⁵⁴						
394-1	m ɔ ³¹						
397-1	tʃʰ i ⁵						
443-1	m j ṵ p ⁵⁴						
460-1	s a t ⁵⁴						
463-1	j w i ³¹						
464-1	ʔ u ŋ ⁵						
473-1	ʃ a m ³¹						
476-1	g u ŋ ⁵⁴						
481-1	tsʰ i ³¹						
494-1	tsʰ ṵ ⁵						
496-1	ʃ i ŋ ³						
516-1	w i ⁵						
1-2		m au ²³					
4-2		l a ⁵²					
18-2		m ɛ n ²³					
19-2		n i ²³					
44-2		l u ²³					
50-2		ʃ a ŋ ³					
62-2		ts a ²³					
70-2		p a n ²³					
75-2		m a n ²³					
97-2		tʃʰ a ŋ ²³					
112-2		ts a ²³					
122-2		m j a ŋ ⁵²					
127-2		kʰ w i ⁵²					
132-2		w a ²³					
133-2		n i ŋ ⁵²					
135-2		n au ⁵²					
142-2		ts w i ³					
143-2		ŋ a ʔ ⁵²					
149-2		ʔ a ⁵²					
152-2		ŋ a ⁵²					
157-2		pʰ a ⁵²					
183-2		ʔ u ²³					
184-2		n a ʔ ⁵²					
185-2		ts ɛ m					
189-2		m j a ʔ ²³					
192-2		n a̰ ³					
195-2		n a ²³					
200-2		ts ḭ ²³					
216-2		ts ɛ n ²³					
218-2		l a ʔ ²³					
225-2		ts a ŋ ²³					
235-2		kʰ i ³					
244-2		ts ḛ ²³					
253-2		m i ³					
270-2		m i ²³					
278-2		m a ŋ ⁵²					
279-2		w a ³					
285-2		j ɛ ⁵²					
308-2		pʰ i ²³					
322-2		m i ²³					
325-2		kʰ au ⁵²					
337-2		m a ŋ ⁵²					
341-2		t a ²³					
347-2		s au ⁵²					
362-2		ɣ i ³					
391-2		j ɛ ²³					
394-2		m a ²³					
397-2		ts i ⁵²					
443-2		m a̰ ⁵²					
460-2		ts a ⁵²					
463-2		ɣ i ³					
464-2		j a ŋ ⁵²					
473-2		ts a m ²³					
476-2		kʰ a ŋ ⁵²					
481-2		ts ɛ ³					
494-2		ts a ⁵²					
496-2		ʃ a ŋ ⁵²					
516-2		w i ²³					
1-3			m au ⁴				
4-3			l a ⁴				
18-3			m e n ⁵³				
19-3			n e ⁴				
44-3			l u ³				
50-3			ʃ ə ŋ ³				
62-3			ʃ ə ʔ ⁵³				
70-3			b a n ³				
75-3			m j a n ⁵³				
97-3			tʃʰ a ŋ ⁴				
112-3			tsʰ ɔ ⁴				
122-3			m o ŋ ³¹				
127-3			kʰ e ⁴				
132-3			w ɔ ³¹				
133-3			n o ŋ ³				
135-3			n au ⁴				
142-3			d z i ³¹				
143-3			ŋ ɔ ʔ ⁵³				
149-3			j u ⁵³				
152-3			ŋ ɔ ³				
157-3			pʰ ɔ ⁵				
183-3			ʔ u ⁴				
184-3			n o ʔ ⁵³				
185-3			tsʰ e m ³¹				
189-3			m j ɔ ʔ ³				
192-3			n ɔ ³¹				
195-3			n ɔ ³				
200-3			g e n ⁵³				
216-3			ʃ e n ⁴				
218-3			l ɔ ʔ ³				
225-3			ʃ ə ŋ ⁴				
235-3			kʰ e ³¹				
244-3			ʃ e ⁴				
253-3			m e ³				
270-3			m i ³				
278-3			m e ŋ ³¹				
279-3			w o ³				
285-3			ʔ i ³¹				
308-3			pʰ i ⁵				
322-3			m i ³				
325-3			kʰ au ⁴				
337-3			m j a ŋ ³				
341-3			d ɔ ³				
347-3			ʃ o ʔ ⁵³				
362-3			j i ³¹				
391-3			j e ʔ ⁵³				
394-3			m ɔ ʔ ³				
397-3			tʃʰ e ⁴				
443-3			m j ɔ ʔ ⁵³				
460-3			ʃ æ̰ ʔ ⁵³				
463-3			w e ³¹				
464-3			ʔ o ŋ ⁴				
473-3			ʃ ɔ m ³				
476-3			kʰ o ŋ ⁵³				
481-3			tsʰ ə ³¹				
494-3			g ɛ ³				
496-3			h e ŋ ³				
516-3			w e ⁴				
1-4				m o̰ ⁴			
4-4				l a ⁵⁴			
18-4				m a n ⁵⁴			
19-4				n i t ⁵⁴			
44-4				l au ʔ ⁵⁴			
50-4				ʃ a ŋ ³¹			
62-4				ʃ a k ⁵⁴			
70-4				b a n ³²			
75-4				m j ɔ ʔ ⁵⁴			
97-4				tʃʰ a ŋ ⁵⁴			
112-4				tʃʰ ɔ ⁵⁴			
122-4				m au ŋ ³¹			
127-4				kʰ i ⁵⁴			
132-4				w a ʔ ³¹			
133-4				n a̰ ³			
135-4				n o̰ t ⁵⁴			
142-4				d z i ³¹			
143-4				ŋ ɔ ʔ ⁵⁴			
149-4				ɣ au ⁵⁴			
152-4				ŋ ɔ ³			
157-4				pʰ ɔ ⁵⁴			
183-4				ʔ au ⁵			
184-4				n au ʔ ³¹			
185-4				tsʰ e m ³¹			
189-4				m j ɔ ʔ ⁵⁴			
