COGID	dutch	english	french	german
1469-1	z ɪ n t			
2047-1	z uː l ə ə			
2054-1	d ɪ n d ə l			
1375-1	l ɛɪ k l l m			
760-1	r ɪ n t			
756-1	z l ɑ w			
726-1	m ɛɪ d ə l			
1351-1	k l ʉ n s + n iː d ə r			
1353-1	k r ɛ n + m iː d ə r			
412-1	t t ə t ə r + k oː d oː			
406-1	t t ə t ə r + m oː d oː			
1005-1	s w ɛ n + h iː w ə r			
1012-1	s w ɛ n + l iː d ə r			
1016-1	m ɛ s ɛɪ ʉ + ɑ m ə			
1069-1	d ɪ k			
509-1	v ɔ l ə			
693-1	m l ɛ l + + + oː ə n			
2179-1	r ɛ n t			
1753-1	v l ɑ s ə			
1131-1	v ɑ l t			
1198-1	b aː r t			
2032-1	h ɛ ɑ f			
2241-1	h ɛ l			
2244-1	l ɛɪ d l			
610-1	k l n l			
945-1	h ɛ ɑ t			
1534-1	l ɛɪ d ə			
384-1	z ɛɪ k ə			
1650-1	r l ɑ			
1663-1	v ɑ l t			
2279-1	r ɛɪ l ə n			
471-1	z uː k ə			
1385-1	z ɛɪ d l			
792-1	r oː k			
1111-1	r ɛ n t			
197-1	z ɛɪ k ə			
2020-1	l ɑ ŋ			
867-1	h ɪ n d ə l ɑ t			
1970-1	v ɑ l w			
1230-1	d n ɛɪ t l ə ə			
2017-1	v ɔ ɛ ə ə			
968-1	r ɛ d k l t			
1674-1	r ɪ n t			
1671-1	h ɛ ɣ ə l			
829-1	x l aː m ə			
1025-1	r ɛ ŋ ə l			
1027-1	d ɪ			
1832-1	r ɛɪ m			
-1816-1	ɛ z ɑu w ə l			
-335-1	l ɛɪ x ə n			
1043-1	z p r ɛɪ s			
423-1	z t ʉ m			
2049-1	r ɔ n t			
2062-1	z t ɛ r l			
2065-1	r ɛɪ v ɔ n d + eː v ə			
1368-1	z x ɛɪ d ə			
1365-1	v j ɑ w			
754-1	r ɛɪ x ə l			
768-1	w ɛ v ə l			
1211-1	v ɛ eː r			
106-1	d eː n			
-98-1	b aː p l			
719-1	v ɑ v ə l			
1341-1	d ɪ n			
-2027-1	k ɪ n d			
-2026-1	h ɛ x l			
409-1	v v ɔ b ʉ r + m iː m ə			
402-1	t ə ə t ə + k oː t oː			
1014-1	s x ɛ n + d ɑu n t ə r			
1059-1	m ɪ p			
120-1	s t iː l			
2183-1	s t ɑ r l			
2194-1	oː k l			
2199-1	k ɛ l m			
2197-1	z t ɛɪ p			
1523-1	h ɪ n			
1521-1	b ɑ x			
512-1	m ɛ r ɛɪ			
2141-1	d ɪ n			
2147-1	x l n s			
814-1	b r ɛ x ə			
810-1	d eː v ə			
1755-1	k h ɑ n t			
1758-1	r eː r			
1760-1	r ɔ t			
1620-1	v ɪ n ə			
1282-1	v ɔ l b oː ə			
1136-1	v ɛ k s			
1309-1	l ɛɪ s			
1307-1	l ɪ ŋ			
1305-1	v l ɛɪ			
711-1	r ɪ s t ə			
1442-1	v l iː ɣ ə			
62-1	r ɪ x			
-73-1	v ɛ s t ə t ə			
1810-1	h oː t			
1805-1	v l ɛɪ s			
1813-1	h aː r			
1811-1	b l ɛɪ t			
690-1	r ɛɪ x ə			
2177-1	h ɛ x t			
246-1	v ɛ r + ɔ n d + aː ə ə			
249-1	ɛ v ə n + l ə t			
1506-1	v ə s r l ʉ m + + l ə			
2242-1	r ɔ n t			
2245-1	p ɔ n			
1196-1	m l x			
2174-1	s x ɔ l t ə l			
575-1	aː v t ə r + h ɑu ə			
603-1	ɛ l ɔ n d + iː k ə			
601-1	h ɔ n t			
615-1	v ɪ n k ə r			
901-1	x l aː ə ə			
608-1	h oː k			
596-1	z ɛ n ə			
937-1	b x r ɛɪ s t			
936-1	h ɛ d ə l			
646-1	r ɔ n ə			
947-1	r ɛɪ v ə l			
1606-1	h ɛ k t ə			
