COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	tɬ a k + t i x								
8-1	w eː + tɬ i								
16-1	j e s + tɬ i								
24-1	i s + t i								
32-1	m i k + i n								
51-1	i n + oː n								
52-1	w a k + tɬ i								
53-1	n a k a s + tɬ								
54-1	tɬ a l + l i								
55-1	k w aː + tɬ								
60-1	iː x + t o l o l								
83-1	tɬ i + tɬ i								
87-1	p a tɬ a n i								
92-1	m a k a + tɬ								
103-1	m a + tɬ i								
106-1	k a k + tɬ i								
138-1	n a n + tɬ								
139-1	m i k + tɬ i								
142-1	m a + tɬ i								
145-1	m o k + t i k								
176-1	tɬ a k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e tʃ + tɬ i								
190-1	j a k + tɬ								
194-1	iː eː + tɬ i								
220-1	i ʔ t o								
231-1	ʔ t a + tɬ								
240-1	k o tʃ i								
283-1	t e + tɬ i								
293-1	i n + oː n								
314-1	k w a + tɬ								
315-1	oː m e								
322-1	t e w a + t								
323-1	t eː n + tɬ i								
9-1	t oː t oː + tɬ								
17-1	o m + tɬ								
22-1	tɬ a t a								
30-1	w iː ts + tɬ i								
88-1	i h t e								
158-1	w e j a k								
159-1	a t o n + tɬ								
177-1	m i j a w + tɬ								
184-1	t oː k aː + tɬ								
187-1	j a n k w i + k								
227-1	x aː l + l i								
235-1	m o + tɬ a l i n								
249-1	p oː k + tɬ i								
251-1	m i + tɬ ts a								
289-1	k w i tɬ a p i l								
294-1	t a ʔ w a								
296-1	n e n e p i l								
313-1	tɬ a n + t i w								
316-1	n e ʔ + n e m i								
318-1	t o t oː n + t i k								
320-1	aː + tɬ i								
324-1	tʃ iː t a + k								
326-1	a k + tɬ i								
1-2		n u tʃ u							
2-2		t e k + t i x							
8-2		w e j u							
16-2		e s e							
24-2		i s t i							
32-2		m i k i							
51-2		t u n i							
52-2		w a k + t i k							
53-2		n a k a s							
54-2		t a l + t i							
55-2		k w a + k							
60-2		iː x + t o l							
83-2		t e + t i							
87-2		p a t a n							
92-2		m a k a							
103-2		m a m i							
106-2		k a k + t i k							
138-2		n e w a + t							
139-2		m i k + t i a							
142-2		m a t i							
145-2		m u t e k a							
176-2		t a k a + t							
179-2		n a k a + t							
180-2		m e s t i							
186-2		k e tʃ + t i							
190-2		j a k + t i							
194-2		s e							
220-2		u h t u							
231-2		i h t i a							
240-2		k u tʃ u							
283-2		t e + t e							
293-2		i n i							
314-2		k w a + t							
315-2		u m e							
322-2		t e w a + t							
323-2		t eː n + t i							
9-2		t u t u							
17-2		u m i							
22-2		t a + t a							
88-2		i h t i							
158-2		w e j a k							
159-2		t i n + t							
177-2		m i j a k							
184-2		t u k a + t							
187-2		j a n k w i + k							
227-2		x a l							
235-2		m u + t a l							
249-2		p u k + t i							
289-2		k w i t a p i l							
294-2		t e h w a + t							
296-2		n e n e p i l							
313-2		t a m + t i							
316-2		n e h + n e m i							
318-2		t u t u k							
324-2		i s t a k							
326-2		a k + u							
1-3			m o tʃ i n						
2-3			t a x + t i						
8-3			w eː l						
16-3			j e s t i						
24-3			i s t i						
32-3			m i k i n						
51-3			t eː n						
52-3			w a k + t i ʔ						
53-3			n a k a s						
54-3			t a l + t i						
55-3			k w aː + k w a						
60-3			iː x + t o l o l						
83-3			t a + t i						
87-3			p a t a n i						
92-3			m a k a						
103-3			m a n						
106-3			k a k i a						
138-3			n e n w a + ʔ						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o k + t i ʔ						
176-3			t aː k a + t						
179-3			n a k a + ʔ						
180-3			m eː ts + t i						
186-3			k eː tʃ + t i						
190-3			j a k a + ʔ						
194-3			s e						
220-3			o h t i						
231-3			k i h t o a						
240-3			k o tʃ i n						
283-3			t eː l + t e						
293-3			i n i						
314-3			k w a k w a						
315-3			oː m e						
322-3			t e w a n						
323-3			t eː n						
9-3			t oː t o t						
17-3			o m i						
22-3			t a t a						
30-3			w i ts						
88-3			i h t i						
158-3			w eː a k						
159-3			a t i n						
177-3			m i a k i n						
184-3			t oː k aː + ʔ						
187-3			j a n k w i + ʔ						
227-3			x a l						
235-3			m o + t a l						
249-3			p oː k + t i						
251-3			m o k e l a						
289-3			k w i t a p i l						
294-3			t eː w a ʔ						
313-3			t a n + t i						
316-3			n e h + n e m i						
318-3			t o t o n						
320-3			a + t i ʔ						
