COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	s a l a									
2828-1	i i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n i									
1789-1	k a l a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	i i m a									
4249-1	k ʊ m i									
4451-1	β i i i									
448-1	β ʊ i i									
630-1	β ɛ ɛ									
814-1	g ɔ m a									
1216-1	g a									
1228-1	β i a									
1418-1	s i m a									
1475-1	g a a									
2026-1	t i i i									
2775-1	β ʊ m a									
3397-1	β ɔ l a									
3826-1	β ɔ k a									
4003-1	i i i a									
4040-1	g ɛ ɛ									
4373-1	l i m i									
4384-1	i i i									
84-1	β i l a									
116-1	β i i a									
181-1	g ɔ t									
419-1	l ɔ l a									
587-1	ɔ ɔ t ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i i a									
2689-2		ɲ a m a								
893-2		a a a								
1303-2		v o m a								
2197-2		s a l a								
2828-2		s i a a								
3572-2		s o n i								
1095-2		l e m a								
1789-2		k a l a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		iː m m a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n u n i								
630-2		v e e e e e								
814-2		v o m a								
1216-2		k a								
1228-2		v e a								
1418-2		s i m a								
1475-2		k a a								
2026-2		t e e e								
3826-2		s o								
4003-2		iː i a								
4373-2		l e m i								
4384-2		iː n o								
84-2		s u								
116-2		w i k a								
419-2		l o								
587-2		o o								
660-2		l e l a								
848-2		k a								
1122-2		w i								
2689-3			n a m a							
893-3			a a a							
1285-3			n w a							
1303-3			k o m a							
2197-3			s a l a							
2828-3			i i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			n e							
1789-3			x a l a l a							
3207-3			β u l a							
3519-3			tʰ u m a							
3686-3			i i m a							
4249-3			x u m a							
4451-3			β i							
448-3			n u n u							
630-3			β e e l e							
1216-3			k a							
1228-3			β w a							
1418-3			s i m a							
1475-3			k w a							
3397-3			β o l a							
4003-3			i i							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i i l o							
181-3			k o							
419-3			l o							
587-3			o o							
660-3			l e l a							
1083-3			l i l a							
2689-4				ɲ a m a						
893-4				a s a						
1285-4				ɲ w m a						
3572-4				s u ɲ i						
1755-4				ɲ i e e						
1789-4				k a e g a						
3686-4				i s e						
4451-4				b e e g						
1216-4				ŋ g a e						
4003-4				i s e						
419-4				l ɔ e e						
1122-4				b w e e						
2689-5					n a m a					
893-5					a n					
1285-5					n w a					
1303-5					ŋ o m a					
2197-5					s a					
2828-5					i i n					
3572-5					s o n i					
1095-5					l i m a					
3207-5					β u l a					
3519-5					t u m a					
3686-5					i o m a					
4249-5					k u m i					
448-5					n o n i					
630-5					β e					
814-5					ŋ o					
1228-5					β w					
1418-5					s i m a					
2026-5					t w					
2775-5					β u					
3397-5					β o l a					
3826-5					s o k					
4040-5					k e					
4373-5					l i m o					
4384-5					i n i					
84-5					s o					
116-5					f i					
587-5					o o					
848-5					k o					
1303-6						g a				
1755-6						ɓ a				
448-6						k a				
1475-6						g a				
3397-6						ɓ a				
2689-7							a m a			
893-7							a n a			
1285-7							n w a			
1303-7							ɣ o m a			
2197-7							z a			
2828-7							i i a			
3572-7							s o n i			
1095-7							o m a			
1755-7							n e			
1789-7							k á			
3519-7							t u m a			
3686-7							i m m a			
4249-7							k u m i			
4451-7							v i s i			
814-7							ɣ g o			
1216-7							ɣ a			
1475-7							ɣ w a			
2026-7							t w e			
2775-7							v u m b a			
3826-7							z o k a			
4003-7							i v a			
4040-7							ɣ e n i			
84-7							ɣ u			
116-7							v i			
181-7							ɣ o			
419-7							o m			
587-7							o ŋ			
660-7							ɣ e			
848-7							k á			
1122-7							v i n a			
2689-8								ɲ a m a		
1285-8								n w a		
1303-8								ŋ g m p		
2197-8								t a		
2828-8								t î n a		
3572-8								ʃ w n i		
1755-8								n a		
1789-8								k a		
3207-8								β u r a		
3519-8								t u m a		
3686-8								t î m a		
4249-8								k u m i		
4451-8								β i		
814-8								ŋ g		
1228-8								β w a		
2026-8								t w		
2775-8								β u		
3826-8								t u k a		
4040-8								k u n i		
181-8								k ô		
660-8								r u		
848-8								k a		
1083-8								r i		
2689-9									n a m a	
893-9									a	
1285-9									n w a	
1303-9									g g m a	
2197-9									s a l a	
2828-9									i i n a	
3572-9									s o n i	
1095-9									l i m a	
1789-9									k á l a	
3207-9									b u l a	
4249-9									k u m i	
4451-9									b i s i	
630-9									b e l a	
814-9									b g o a	
1228-9									b w a	
1418-9									s i m a	
1475-9									k e a a	
2026-9									t á n a	
2775-9									b e m a	
3397-9									b o l a	
3826-9									s o k a	
4003-9									i i a a	
4040-9									k e n a	
4373-9									l i m a	
4384-9									i e g a	
116-9									b i k a	
181-9									k o l a	
1083-9									l i l a	
2689-10										a a
893-10										a n a
1285-10										b w a
2197-10										b a l a
2828-10										l i a a
1095-10										l i m a
1755-10										b ɔ
3207-10										b u l a
3519-10										r u m a
448-10										b ɔ n a
630-10										b ɛ l a
1216-10										χ a
1418-10										b i m a
2775-10										b ɔ m a
3397-10										b ɔ l a
4373-10										l i m i
4384-10										b ɔ m ɔ
84-10										b ɔ l a
1083-10										l i l a
1122-10										b ɔ n a
