COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a a									
1285-1	n u a									
1303-1	g ɔ m a									
2197-1	s a l a									
2828-1	i i i a									
3572-1	s ɔ ɔ i									
1095-1	l i m a									
1755-1	n ɛ ɛ									
1789-1	k a l a									
3207-1	β u l a									
3519-1	t ʊ m a									
3686-1	i m m a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	n u u i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ m ɔ									
1216-1	g a a									
1228-1	β w a									
1418-1	s i m a									
1475-1	g w a									
2026-1	t w ɛ									
2775-1	β u m a									
3397-1	β ɔ l a									
3826-1	ɔ ɔ g a									
4003-1	i i ŋ									
4040-1	g ɛ ɛ i									
4373-1	l i m i									
4384-1	i i ɔ									
84-1	s u u									
116-1	f i k a									
181-1	g ɔ ɔ a									
419-1	l ɔ g a									
587-1	ɔ ɔ a ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i i i									
1159-1	n a									
1350-1	l a a									
1374-1	n a a n z a									
1396-1	s ɔ ɔ m b a									
1430-1	i i s ɔ									
1666-1	t a a n d a									
1767-1	g ɔ ɔ ɔ									
1906-1	i i g i l a									
2177-1	g a a									
2286-1	l a									
2317-1	f u β a									
2419-1	s ɛ ɛ a									
2750-1	ɛ ɛ i i									
3018-1	i i l a									
3275-1	k a a a									
3441-1	s a a a									
3464-1	β ɔ ɔ m b									
3639-1	t ɛ t ɛ									
3885-1	s u m ɔ									
3981-1	i m a a									
4192-1	β i m i									
4260-1	s w a									
4350-1	l ɛ ɛ l ɛ									
43-1	d i m i									
93-1	k ɔ ɔ ɔ									
200-1	β i									
374-1	l a a a									
459-1	l u m a									
508-1	β ɔ s ʊ									
528-1	β i l i									
575-1	t a									
871-1	t a m a									
2689-2		n a a a								
893-2		a a a								
1303-2		g o m a								
2197-2		s a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a								
3207-2		v u l a								
3519-2		t u m a								
3686-2		i i m a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n u n								
630-2		v e l e								
814-2		g o m m								
1216-2		k a a a								
1228-2		v i a								
1418-2		s i m a								
1475-2		g a a								
2026-2		t a e e								
3826-2		s o k a								
4003-2		i i a								
4373-2		l i m i								
4384-2		i i o								
84-2		u u l u								
116-2		w i k a								
419-2		l o g a								
587-2		o o o o								
660-2		l e l a								
848-2		k a l a								
1122-2		v i n a								
1159-2		s a								
1350-2		l a								
1374-2		n a a a								
1906-2		i i k a								
2419-2		s i k a								
2750-2		e e s i								
3441-2		s i a a								
3464-2		v o n a								
3639-2		t e t e								
3981-2		i i a								
4192-2		v i m a								
4350-2		l e l e l e								
278-2		v a								
3971-2		k a n a								
55-2		a a a a								
43-2		t i m u								
93-2		k o n o								
459-2		l u m a								
2689-3			n a a a							
893-3			x a n							
1285-3			n w a							
1303-3			k o o							
2197-3			s a l a							
2828-3			i i n a							
3572-3			s o n a							
1095-3			l i l a							
1755-3			n e							
1789-3			x a l a l a							
3207-3			β u l a							
3519-3			β u m a							
3686-3			i i							
4249-3			x a							
4451-3			β i k i							
448-3			n u n a							
630-3			β e e e							
1216-3			k a l a							
1228-3			β w a							
1418-3			s i x a							
1475-3			k u k a							
3397-3			β o l o							
4003-3			i i x a							
4040-3			k e e							
4373-3			l i l i							
4384-3			i i							
181-3			k o o							
419-3			l o							
587-3			o o k o							
660-3			l e l a							
1083-3			l i l a							
1350-3			l a l a							
1374-3			n a n a							
1396-3			s o f u							
1666-3			f u n a							
1767-3			k o o o							
1906-3			i i k i l a							
2177-3			s i k a							
2286-3			l a							
2317-3			f u u a							
2750-3			s i i							
3275-3			x a n a							
3464-3			β o n a							
3639-3			β e e e							
3981-3			i i x							
4192-3			β i i a							
4260-3			s w a							
4350-3			l e e l							
278-3			β a							
745-3			f u k a							
3971-3			x a x a							
93-3			x o n o							
200-3			β i							
374-3			x a l a							
508-3			f o f u							
528-3			β i l i							
2689-4				b a						
893-4				a s i						
1285-4				b e m a						
3572-4				s i						
1755-4				b o ɲ g						
1789-4				k o ŋ g a						
3686-4				b e ɲ a						
4451-4				b e ŋ g a						
1216-4				k o ɲ g a						
4003-4				b e m a						
419-4				l ɔ g ɔ						
1122-4				b e ɲ a						
1430-4				k o i g a						
1666-4				t o ɲ i						
1767-4				k ɔ g ɔ						
55-4				b a						
94-4				b ɔ g g						
2717-4				k o ŋ g a						
2689-5					n a m a					
893-5					a n n					
1285-5					n w a					
1303-5					u o m a					
2197-5					s a l a					
2828-5					i i n					
3572-5					s o n i					
1095-5					l i m a					
3207-5					f u l a					
3519-5					t u m a					
3686-5					i á m					
4249-5					k u m i					
448-5					n u n i					
630-5					β e e l e					
814-5					l o m					
1228-5					β w a					
1418-5					s i m a					
2026-5					t w e					
2775-5					β u m					
3397-5					β o l a					
3826-5					s o k					
4040-5					u e n i					
4373-5					l i m i					
4384-5					i n ʃ i					
84-5					s u u g u					
116-5					f i k					
587-5					o o ŋ g o					
848-5					k á l a					
1159-5					n a					
1350-5					l j a					
1396-5					s o n u					
1430-5					i ʃ i					
1767-5					k o k o					
2286-5					l a					
2317-5					f u β a					
2419-5					s e k					
2750-5					e e					
3018-5					s i l a					
3275-5					k á n a					
3441-5					s á					
3885-5					l u m o					
4192-5					β i m					
4260-5					s w a					
4350-5					l e e l e					
278-5					β a					
745-5					t á k o					
3971-5					k á m a					
55-5					n a m a					
94-5					β o k o					
2717-5					u a					
4139-5					m i m a					
200-5					β i					
374-5					l a l					
508-5					f o f u					
528-5					β i l i					
575-5					t a					
1303-6						k ɔ h ɔ				
1755-6						ɲ ɔ				
448-6						ɲ ɔ n				
1475-6						k ɔ				
3397-6						ɓ ɔ l				
2286-6						l a l				
278-6						ɓ a a				
2717-6						k o p				
2689-7							n a m a			
893-7							a a a			
1285-7							n w a			
1303-7							ɣ o m a			
2197-7							t a			
2828-7							i i a			
3572-7							s o n i			
1095-7							o i m a			
1755-7							n a			
1789-7							k a			
3519-7							t u m a			
3686-7							i m a a			
4249-7							k u m i			
4451-7							v i			
814-7							o o o a			
1216-7							k a			
1475-7							k w a			
2026-7							t e			
2775-7							v u m a			
3826-7							z o k a			
4003-7							i i a			
4040-7							ɣ e n i			
84-7							u m o			
116-7							i i k a			
181-7							o o o			
419-7							o m o a			
587-7							o m o			
660-7							o e o a			
848-7							k a			
1122-7							v i n a			
1159-7							v a			
1374-7							n a a a			
1396-7							t o			
1430-7							i s o			
1906-7							i ŋ g i			
2177-7							v e a			
2419-7							s e k a			
3018-7							z i k a			
3275-7							k a			
3441-7							s e			
3464-7							v o m a			
3639-7							t e t a			
3885-7							f u m o			
4192-7							v i			
745-7							t á v a			
3971-7							k a			
55-7							n a m a			
2717-7							ɣ a			
4139-7							m i n a			
93-7							k o n o			
459-7							o m b a			
575-7							t á t a			
2689-8								n a		
1285-8								n w a		
1303-8								ŋ ô a		
2197-8								t a r a		
2828-8								d î n a		
3572-8								t ô n d i		
1755-8								n w e		
1789-8								k a r a		
3207-8								v u r a		
3519-8								t u m a		
3686-8								d î m b		
4249-8								k u m b		
4451-8								v i		
814-8								ŋ g a		
1228-8								v w a		
2026-8								t w e		
2775-8								v u m b a		
3826-8								t ô k a		
4040-8								k u n i		
181-8								k ô ŋ g		
660-8								r i r a		
848-8								k á r a		
1083-8								r i r a		
1159-8								n w		
1350-8								r w a		
1396-8								t ô v u		
1666-8								t á n a		
2177-8								ŋ g a		
2317-8								v u β a		
4260-8								t w a		
745-8								t á k o		
3971-8								k a m a		
94-8								β ô k o		
2717-8								ŋ g ŋ		
4139-8								m i n a		
43-8								t î m b u		
575-8								t á t a		
871-8								t á t a		
2689-9									n a m b a	
893-9									a g a	
1285-9									n w a	
1303-9									g o m b a	
2197-9									s a l a	
2828-9									s i n	
3572-9									s o n i	
1095-9									l i m b a	
1789-9									k á l a	
3207-9									b ʊ l a	
4249-9									k u m b i	
4451-9									b i s i	
630-9									b e l e	
814-9									g o m b e	
1228-9									b w a	
1418-9									s i m b a	
1475-9									k w a	
2026-9									s w á	
2775-9									b ʊ m b a	
3397-9									b o l a	
3826-9									s o g a	
4003-9									i b a	
4040-9									g ʊ n e	
4373-9									l i m b	
4384-9									i n z i	
116-9									b i k a	
181-9									k o g	
1083-9									l i l a	
1374-9									n a	
1430-9									i s o	
1666-9									s a n a	
1767-9									k o g o	
1906-9									i ŋ g i	
2177-9									g ʊ a	
2419-9									s e g a	
2750-9									b e i	
3018-9									s i l a	
3441-9									s a g a	
3885-9									s u m b	
3981-9									i e b a	
4260-9									s w a	
4350-9									l e l e	
278-9									b a	
745-9									s a g o	
55-9									n a a b a	
94-9									b o g o	
4139-9									m i	
200-9									b i	
528-9									b i l i	
871-9									s a m a a	
2689-10										a n a
893-10										a n a
1285-10										n̩ tɬ a
2197-10										s i l a
2828-10										s i a
1095-10										l i l a
1755-10										n̩ tɬ
3207-10										f u l a
3519-10										s ʊ l a
448-10										n̩ i á χ a
630-10										b ɛ l ɛ
1216-10										k a
1418-10										s i l a
2775-10										b ʊ l ɛ
3397-10										b i l a
4373-10										l i l ɔ
4384-10										ɔ n a
84-10										s i l ʊ
1083-10										l i l a
1122-10										b i á a
2286-10										l a
2317-10										f u l a
3018-10										s i l a
3275-10										χ a
3464-10										b ɛ χ a
3639-10										s i r i
3885-10										s i l ɔ
3981-10										s i a
94-10										b i χ ɔ
4139-10										s i
43-10										s i m ʊ
374-10										a n a
459-10										l ʊ l a
508-10										b i l ʊ
871-10										r a
