COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n ə			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x ɪ			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m ɔ d ə r			
1351-1	x r ɑ s + f aː ə			
1353-1	x r ɑ n + m ɔ ə			
412-1	v w eː n ə r ʉ p aː d ə			
406-1	s oː aː ɣ r r + r d ə			
1005-1	s t eː p v ɑ d ə			
1012-1	s t ɪ f m ɔ ə			
1016-1	w eː t ə			
1069-1	ɪ x			
509-1	v ɔ l ə			
693-1	m ɑ r + t			
2179-1	n ɛ s t			
1753-1	v ɪ s ts			
1131-1	w ɔ l f			
1198-1	b oː r d			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	n oː iː			
945-1	h ɛ r k			
1534-1	l eː k ə			
384-1	z ɔ k ə			
1650-1	n ɔ s			
1663-1	v ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɪ ə			
1385-1	z ɛɪ t ə t			
792-1	w ɑ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d d			
1970-1	v ɔ l			
1230-1	d r ɪ ŋ k			
2017-1	n ʉ uː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h uː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɔ w			
-1816-1	oː t aː			
-335-1	l ɑ ɣ uː n			
1043-1	s t r oː m			
423-1	s t ə n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r aː x ə + + b oː ɣ			
1368-1	s oː d ə			
1365-1	d oː uː			
754-1	r aː x ə			
768-1	w eː d ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b eː b eː			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	v ɑ n t			
-2026-1	n eː v ə r			
409-1	z w iː ɣ ə r + z oː n			
402-1	d w eː ɣ ə r + n ɣ l t ə			
1014-1	s t eː p + d ɔ x t ə			
1059-1	w eː			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ øː s			
2199-1	k ɑ l f			
2197-1	s oː p			
1523-1	z ɑu w			
1521-1	b ɔ k			
512-1	m ɛ r			
2141-1	h oː n			
2147-1	h ɑ s t			
814-1	k r			
810-1	d oː v			
1755-1	h oː n			
1758-1	m uː s			
1760-1	r ɑ k			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ r s			
1309-1	l uː s			
1307-1	n eː t			
1305-1	v l uː			
711-1	w ɔ s p			
1442-1	v l iː ɣ			
62-1	m ʉ x			
-73-1	m ɔ t k eː t ə			
1810-1	h ɑu d			
1805-1	v l ɛɪ s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ʉ p			
2177-1	h ɑu p			
246-1	oː ɣ + r ɛɪ b r ɑu			
1469-2		s æ n d		
2047-2		s ɔ n		
2054-2		d ɔ n d r r		
1375-2		l ɪ ɡ t		
760-2		w ɪ n d		
756-2		s n eɪ		
726-2		m aʊ d ə r		
1351-2		ɡ r aɪ t d v ə d ə r		
1353-2		ɡ r iː t d m iː d ə r		
412-2		s w ɪ n ə r ɔː d		
406-2		s w ɪ l ə ə əʊ r		
1005-2		s t + v ə f ɛ d		
1012-2		s t ɪ l ə m iː d ə r		
1016-2		w ɛ d w z n		
1069-2		ɪ k		
509-2		f ʊ l		
693-2		m iː l æ d		
2179-2		n iː s t		
1753-2		f ɪ aʊ		
1131-2		w ɔ l v		
1198-2		b ɔː r t		
2032-2		h ʌ z n		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k iː n		
945-2		h ɑː r t		
1534-2		l ɪ k		
384-2		s eɪ t		
1650-2		n ɔ t		
1663-2		s æ l		
2279-2		l aɪ n		
471-2		s eɪ		
1385-2		s iː d		
792-2		j ɪ k		
1111-2		m əʊ s t		
197-2		s ʌ t		
2020-2		l æ ŋ		
867-2		h ʌ n d r		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		n iː w		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h aʊ l̩ l		
829-2		k l ɪ p		
1025-2		w iː t ə r		
1027-2		s ɪ		
1832-2		r aʊ		
-1816-2		ɔ t n̩ ɔ v		
-335-2		l æ k ɪ n		
1043-2		s t r aɪ m		
423-2		s t + n		
2049-2		m iː ð		
2062-2		s t ɔː r m		
2065-2		r aɪ m əʊ r aɪ		
1368-2		ʃ ʌ t + ɪ		
1365-2		d ɔː		
754-2		r aɪ		
768-2		w ɛ ð		
1211-2		f ɪ z r		
106-2		m æ n		
-98-2		b ɛ b aɪ		
719-2		f ʊ d ə r		
1341-2		s iː n		
-2027-2		d æ n d		
-2026-2		n ɛ f		
409-2		s w iː n r aɪ n eɪ		
402-2		s w iː d r ɔː		
1014-2		s d iː v ə d ɔː t ə r		
1059-2		w ɪ		
120-2		s t ɑː l		
2194-2		ɔ ɪ		
2199-2		k ɑː l f		
2197-2		s iː v p		
1523-2		s iː		
512-2		m ɛ r		
2141-2		h iː n		
2147-2		ɡ æ n s		
814-2		k r eɪ		
810-2		d eɪ v		
1758-2		m iː s		
1760-2		r ɑː k		
1620-2		f ɪ n		
1282-2		w ɑː l f aɪ s		
1136-2		f ʊ s		
1309-2		l iː s		
1307-2		n ɪ t		
1305-2		f l ʌ		
711-2		w ɛ s p		
1442-2		f l aɪ		
62-2		m ɪ dʒ		
-73-2		m ɔ t k aʊ d		
1810-2		h iː t		
1805-2		f l aɪ s		
1813-2		h æ r		
1811-2		b l iː		
690-2		r ɪ p		
2177-2		h iː f t		
246-2		w ɪ ŋ ə əʊ b r əʊ		
1469-3			ʀ a t i	
2047-3			ʀ u t	
2054-3			t u t ʀ ʀ ʀ	
1375-3			l ə ɛ	
760-3			v a t i	
756-3			b n y	
726-3			ʀ ə t l	
1351-3			ɛ ʀ u t i t p t l	
1353-3			ɛ ʀ u t t p t l	
412-3			p ə a ɡ k ʀ i t i t	
406-3			p v a ɡ l ʀ i t i ʀ	
1005-3			ʀ ɛ ə t ə p t i	
1012-3			ʀ ɛ s p e p t l	
1016-3			v ə ɡ s t ʀ	
1069-3			p	
509-3			p l l e	
693-3			ə l a t	
2179-3			n y t i	
1753-3			p ə t	
1131-3			v a l p	
1198-3			b ɔ t i	
2032-3			s ɑ̃ t i	
2241-3			n y t	
2244-3			l ə p	
610-3			k u y	
945-3			p y t e	
1534-3			l ə k	
384-3			ʀ s ɡ e	
1650-3			n ɔ t	
1663-3			p ɛ l e	
2279-3			l ə t ʀ	
471-3			ʀ s ʀ	
1385-3			ʀ u t	
792-3			l a k	
1111-3			p y t i	
197-3			v ɔ t e	
2020-3			l u t	
867-3			s ɑ̃ n t ʀ ʀ i	
1970-3			p ə l	
1230-3			t y t t	
2017-3			n y k	
2183-3			t ɛ s	
1521-3			b ɛ s	
1755-3			s ɑ̃ t i	
1760-3			ʀ u t	
1469-4				z a n t ə
2047-4				z oː n ə
2054-4				d ʊ n d ə r
1375-4				l ɪ x t ə
760-4				v ɪ n t
756-4				ʃ n aː
726-4				m iː t ə r
1351-4				ɡ r ai n t ə + b m ə
1353-4				ɡ r ai t + m iː d ə r
412-4				ʃ uː l n d ə n t ə l iː
406-4				ʃ ʊ n n + ə ɪ n ə l iː
1005-4				ʃ t ai ts ə + b m ə
1012-4				ʃ s ɪ l + m iː d ə r
1016-4				v ai t ʏ ʊ ə ə n
1069-4				ɪ x
509-4				f a l ə n
693-4				m ʏ l + ə z ə
2179-4				n ɛ s t
1753-4				f ɪ s t
1131-4				v ɔ l f
1198-4				b a r t ə
2032-4				h oː r n
2241-4				n aː z
