COGID	dutch	english	french	german
1469-1	z ɑ n d ə			
2047-1	z ɔ n ə			
2054-1	s ɔ n d ə r			
1375-1	l ɛɪ t t			
760-1	w ɛɪ n d			
756-1	s n aː j			
726-1	m ɔ d ə r			
1351-1	x r ɛɪ n d d aː ə r r r			
1353-1	x r ɛɪ n + ə ɔ ə ə r			
412-1	z ɑ iː ɣ ə r ə n ɑ l uː r			
406-1	s w ɛɪ ɣ ə r ə ə r l uː r			
1005-1	s t ɛ p l v ə r ə r			
1012-1	s t iː p + ə ɔ ə ə r			
1016-1	w ɪ t ə ɣ r			
1069-1	d ə			
509-1	v ə l			
693-1	m j ɛɪ l iː			
2179-1	n iː s t			
1753-1	v ɛɪ s			
1131-1	w ə l f			
1198-1	b aː r d ə			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l iː p ə			
610-1	s ɑu iː			
945-1	h eː t t			
1534-1	l iː k			
384-1	s ɔ ts			
1650-1	n ɔ t ə			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z			
1385-1	z ɑ t ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɔ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v l l			
1230-1	d ə d k			
2017-1	n j ɛɪ ɑ			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h iː ɣ l			
829-1	k l iː p			
1025-1	w ɑ t ə r			
1027-1	z iː j			
1832-1	r ɔ p			
-1816-1	ɔ t			
-335-1	l + ɣ ɛɪ n			
1043-1	s t r oː m			
423-1	s t n			
2049-1	m ɛɪ n t			
2062-1	s t ɔ r m			
2065-1	r aː n + n aː b oː			
1368-1	s ɑ d ə			
1365-1	d j ɛɪ			
754-1	r aː n ə			
768-1	w ɛ t ə r			
1211-1	v yː ɣ r			
106-1	m ɑ n			
-98-1	b aː b iː			
719-1	v ɑ t ə r			
1341-1	z ɔ n			
-2027-1	d ɑ t t			
-2026-1	n ɛ v j ɛɪ			
409-1	s ɔ ɛɪ ɣ ə n + z ɔ			
402-1	d ɔ ɛɪ ɣ ə r ɛɪ n l uː			
1014-1	s t ɛ p + d ɔ x t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː ɑ ə			
2194-1	ɔ k s			
2199-1	k ɑ l p			
2197-1	s ɑu p			
1523-1	z ɑu			
1521-1	b ɔ k			
512-1	m m r aː j			
2141-1	h ɛ n			
2147-1	x ɛɪ s t			
814-1	k r ɛɪ			
810-1	d ɑu v ə			
1755-1	h ə n ə			
1758-1	m uː t			
1760-1	d ɛɪ t			
1620-1	v ə n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n iː t			
1305-1	v l ɑu			
711-1	w ɔ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ x			
-73-1	m ɔ s k iː t			
1810-1	h ɛɪ t			
1805-1	v l eː s			
1813-1	h aː r r			
1811-1	b l ɔ d			
690-1	r ɛɪ p ə			
2177-1	h ɑu p ə			
246-1	d w b r ɛɪ b r oː			
249-1	d t l iː d l ɛɪ			
1506-1	n ɔ z t ə d l			
2242-1	m uː n t			
2245-1	t ɔ ŋ ə			
1196-1	n ɑ k ə			
2174-1	s m l t ə r			
575-1	d t ə l r			
603-1	ɛ l + n aː b oː			
601-1	h ɑ n d			
615-1	v ɪ ŋ ə r r			
901-1	k l uː			
608-1	v uː t			
596-1	t			
937-1	b r ɔ s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l iː v ə r			
1606-1	h ɔ p			
472-1	z iː iː t			
1535-1	z w ɪ t			
1546-1	s p ɛɪ t			
1959-1	s l aː p ə			
694-1	s n ɑ r			
1961-1	d r yː m m			
323-1	r aː l ɛɪ r			
1885-1	x r aː v			
2156-1	k r l d ə l +			
1903-1	w ɛɪ n d ə			
525-1	z w ɛ l iː ŋ			
276-1	l ɑ m aː j			
274-1	d ɑu p			
278-1	b l ɛɪ n d			
258-1	b ə ɔ d r			
256-1	n aː k t d			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k			
2009-1	ɔ v			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k ɔ p ə			
1976-1	t ɔ ŋ t			
1243-1	m iː l t eː			
1265-1	t iː l			
1261-1	z iː v ə			
655-1	b r ɛɪ t			
650-1	d k			
1532-1	n ɑu d t			
-36-1	z ɔ p			
34-1	b oː n			
-1647-1	v ɛɪ x			
-1615-1	ɔ l l			
125-1	v ɑ t			
1659-1	h ɔ n ə x			
1661-1	m iː l k			
1676-1	b ɔ t ə r			
480-1	d ə ɛɪ d r			
1466-1	k l ɛɪ eː t ɪ			
2277-1	w ɔ l			
2271-1	v ə l t			
2293-1	l ɛɪ v ə r			
624-1	s p ə n ə			
628-1	s p ə n d ə l			
626-1	w iː v ə			
633-1	n aː d ə l			
1185-1	s uː t ə aː k r r			
1179-1	h ɛɪ t			
2168-1	k ɑ m			
1952-1	d uː r			
899-1	l ɛɪ d ə r			
