COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
1257		v ɤ ⁴²	v ɤ ⁴²						
4845	ʈʂ ɯ ⁴⁴	ts ɯ ⁴⁴	ts ɯ ⁴⁴	tɕ i ⁴⁴	t ɯ ⁵⁵	tɕ i ⁴⁴	tɕ i ⁴⁴	tɕ i ⁴⁴	tɕ i ⁴⁴
3433	ɕ i ³¹	ɕʰ i ³¹	ɕ i ³¹	ɕ i ³¹	s i ⁵⁵	ɕ i ³¹	ɕ i ²¹	ɕ i ³¹	ɕ i ³¹
1483	ɲ i ⁴⁴	j ĩ ⁴⁴	j ĩ ⁴⁴	j ĩ ⁴⁴	ɲ i ³³	ɲ i ⁴⁴	n i ⁴⁴		ɲ i ⁴⁴
4065	kʲ ɛ ³⁵		k ɤ ⁴²	k ɔ ³³	q o ⁴⁴	k u ⁴⁴	k u ²¹	k ao ⁴²	k u ³⁵
2989	kʰ ɯ ³¹	kʰ ɯ ³¹	kʰ ɯ ³¹			kʰ ɯ ³¹	k ou ³¹	kʰ ɯ ³¹	kʰ ɯ ³¹
2911		k ɛ ²¹	k ɛ ²¹	k ɛ ³¹					
4529	z ɔ ³¹		ɕ õ ²¹		ʐ u ³¹	ɕ o ³¹	z ou ³¹		
4276	p ɔ ³¹				p o ³³	p ɔ ²¹		p ɔ ³¹	
6874	j i ³¹	j ĩ ⁴⁴	j ĩ ³³		j i ⁴²	j i ³⁵	j ɔ ³³	j i ²¹	j i ³⁵
957		p ɔu ³¹			b o ⁴⁴		p a ³¹	p ao ²¹	
148	ɣ ɯ ³³	ɣ ɯ ³³	ɣ ɯ ³³	ɣ ɯ ³³	x ɯ̃ ³³	ɯ ³³	ɣ ou ³³	x ɯ ⁴⁴	ɣ ɯ ³³
2001			a ³¹			a ³¹	a ³¹		
6004	k a ³¹	k a ³¹	k a ³¹	k a ³¹	q ã ⁵⁵	k a ³¹	k ã ³⁵	k a ³¹	k ɯ ³¹
7035					m ɤ ⁵⁵		m ɯ ⁵⁵		
2156	ŋ w a ⁴⁴	w ã ⁴⁴	w ã ⁴⁴	w ã ⁴⁴	ŋ w a ⁴⁴	w a ⁴⁴	w ã ⁴⁴	ŋ w a ⁴⁴	w a ⁴⁴
4158	n ɯ ³¹				n ɔ ³¹			n ɯ ³¹	n ɯ ³¹
2729	p ɔ ²¹	p a ²¹				p ɔ ²¹	p a ²¹		p ɔ ²¹
3343	tɕ i ⁴⁴	tɕ i ⁴⁴	tɕ i ⁴⁴	tɕ ĩ ³³	tɕ i ⁵⁵	tɕ i ⁴⁴	tɕ i ⁴²	tɕ i ⁴⁴	tɕ i ³²
4689	e ⁵⁵				ɤ ⁴⁴				
3415							j ɛ̃ ³³	j ɛ ³³	
5900		v ɤ ³³	ɤ̃ ³³						
6898		k w ɔ ³⁵				k w ɔ ³⁵	k w ɔ ³⁵	k w ɔ ⁵⁵	
1124	k a ³⁵	k ã ⁵⁵	k ã ⁵⁵	k ã ⁵⁵	k a ⁵⁵	k a ³⁵	k ã ⁵⁵	k a ³⁵	k a ³⁵
6753							l e ³¹		l e ³¹
575	t ɔ ³¹	t ɔu ⁴²	t ou ⁴²	t o ³¹	ʈ ao ⁴⁴	t ɔ ³¹	t ɔu ²¹	d ao ³¹	t ɔ ³¹
4117					x ɯ̃ ³³			x ɯ ³¹	
5966	p i ²¹	p i ²¹	p i ²¹	p i ²¹		p i ²¹	p i ²¹	p i ²¹	p i ²¹
4731			ɯ ⁴⁴	ɯ ⁴⁴		ɯ ⁴⁴	ou ⁴⁴		ɯ ⁴⁴
2679	p ɔ ³¹	v ɔ ³¹			b ɔ ⁴⁴	v ɔ ³¹	p ɔ ³¹	p ɔ ³¹	p ɔ ³¹
3490					l a ⁴⁴	l ɔ ³⁵			l ɔ ³³
859	tʰ ɤ ²¹	tʰ ɔ̃ ³¹	tʰ ɤ̃ ³¹			tʰ ɤ ²¹	tʰ ɛ̃ ⁴²	tʰ ɤ ²¹	tʰ ɤ ³¹
4751	ts w a ⁴²	ts w a ⁴²	ts w a ⁴²	ts w a ⁴²					
4864	ɕ ɔ ³⁵	ɕ ã ⁵⁵	ɕ ã ⁵⁵	ɕ ã ⁵⁵	ɕ ã ⁵⁵	ɕ a ³⁵	ɕ ã ³⁵	ɕ a ³⁵	ɕ ɑ ³⁵
3182	ts ɯ ⁵⁵	ts ɿ ⁵⁵	ts u ⁵⁵	ts u ⁵⁵		ts ɿ ⁵⁵		ts ɿ ⁵⁵	ts ɿ ⁵⁵
6506	j ɯ ²¹	j ɯ ²¹	j ɯ ²¹	j ɯ ²¹			j ɯ ²¹	j ɯ ²¹	j ɯ ²¹
5430				pʰ a ⁴⁴	pʰ a ⁴⁴				
473	u ²¹	u ²¹	u ²¹	w ɔ ²¹		u ²¹	u ²¹	w u ²¹	u ²¹
4750	tɕ i ⁴²	tɕ i ⁴²	tɕ i ⁴²	tɕ i ⁵⁵	ts a ⁴⁴	tɕ ɯ ³¹		tɕ ɯ ³³	
6545			tɕʰ ɛ ⁴⁴		tɕʰ a ⁵⁵				
