COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	i u r ɨ r									
18-1	d a r x i									
35-1	h ʔ θ u θ u r									
36-1	h ɨ θ a θ ɨ i									
48-1	n a g a r									
60-1	θ u r ʔ i									
63-1	ʔ ʔ r a m ʔ r									
64-1	i ʔ r									
67-1	h a i									
68-1	n x i									
71-1	s ʔ r									
76-1	h u n x r									
83-1	θ u n u r									
87-1	h a ɴ g e									
95-1	m ʔ m ʔ r									
98-1	h a ɴ a i									
99-1	x u θ ʔ r									
-102-1	ʔ ʔ θ a e									
103-1	θ ɨ m x r									
110-1	θ x r									
116-1	m ɨ n ɨ									
120-1	n u m u r									
132-1	i ʔ i u r									
139-1	i u r u ʔ u r									
140-1	ʔ h u g u r									
156-1	θ a u g r u r									
168-1	θ u i ʔ e									
169-1	h u ʔ ʔ r									
170-1	m ʔ x u r									
173-1	ʔ a ʔ i									
180-1	x u m u r									
185-1	h a ʔ r									
186-1	m u g r u r									
187-1	m ʔ s ʔ r									
190-1	a i a r r									
193-1	i iː r u r									
194-1	a ʔ r u r									
195-1	x u r u r									
216-1	m a r iː r									
221-1	n a m									
239-1	ʔ θ u i									
252-1	m ʔ m u r									
253-1	h u m ɨ r									
254-1	ʔ θ u θ u i									
266-1	i a z x e									
267-1	n a g a r g r u r									
268-1	u m ʔ i									
272-1	a m x e									
276-1	a r a u r									
281-1	m u a ʔ i									
304-1	θ u ɨː a i i									
305-1	θ ʔ i									
308-1	h a n a r									
309-1	x u a a r									
310-1	θ u r									
311-1	ɴ ʔ r									
342-1	h u i ʔ i									
346-1	i u r a r									
347-1	i ʔ r u r									
348-1	h ʔ r u r									
351-1	θ w s a i									
361-1	ʔ m u r									
379-1	x u ʔ a h a i									
394-1	h ʔ d a r ʔ r									
395-1	m ʔ g ʔ r									
400-1	h ʔ ɨː a r u r									
412-1	ʔ a i g r u r									
413-1	θ ɨ i ʔ a u									
414-1	h u r u r									
422-1	h u i ɨ r g r u r									
423-1	i a ɴ g a ɨ r u r									
430-1	h a i u r									
435-1	h u i u r									
446-1	a ʔ θ a r									
447-1	ɨ g r									
458-1	θ u a ʔ r									
56-1	h ʔ θ u r									
62-1	ʔ n u r									
70-1	θ a n x r									
96-1	m x r									
101-1	h a r									
114-1	i u ɨː ʔ r									
119-1	i ʔ m u r									
134-1	a ʔ h g r u r									
138-1	a ʔ n u r									
146-1	a r u u u r									
161-1	g u i									
182-1	x ɨ m u u i i									
188-1	h a m a r									
196-1	h u r u r									
262-1	h ʔ r u m a									
300-1	h x ʔ u r									
313-1	d x i									
350-1	a g m a r									
352-1	d ʔ i a r									
396-1	h u r iː e									
401-1	u ʔ u r									
420-1	u θ ʔ r ɨ r									
424-1	u θ a ɨ r									
442-1	a ʔ m x r u i r									
455-1	ʔ i ʔ h ʔ r u r									
15-1	a r x i									
49-1	θ n n a r									
130-1	m ʔ r u r									
149-1	i ɨ r u r									
175-1	ʔ ɨ n a r									
199-1	a θ iː r									
230-1	a ɴ r h ʔ θ u									
233-1	a ɴ u h i θ u									
264-1	x ʔ r ʔ r									
274-1	n u r x θ a r									
298-1	i x g a h a r									
303-1	h a r a h a θ a r									
354-1	a θ iː i									
369-1	x ʔ r g r u i									
376-1	h a r d r									
415-1	m u a u ɨː u r									
418-1	n ɕ r									
456-1	θ u n a r									
59-1	ʔ θ r									
118-1	a ʔ ɴ z ʔ r									
142-1	θ u ɨː u r									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o tɕ u								
36-2		h u t a tɕ u								
48-2		n a g a i a								
60-2		t o r i								
63-2		ɕ o r a m i								
64-2		k o								
67-2		h a								
68-2		n e								
71-2		tɕ o								
76-2		h o n e								
83-2		tɕ u n o								
87-2		h a n e								
95-2		m o m i								
98-2		h a n a								
99-2		k u tɕ o								
-102-2		ɕ i t a								
103-2		tɕ u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k o k u								
139-2		k o r o s u								
140-2		o h o g u								
156-2		t a sː e r u								
168-2		tɕ u k i								
169-2		h o ɕ i								
170-2		m i dʑ u								
173-2		i ɕ i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a i								
193-2		k iː r o kʲ								
194-2		ɕ o r o i a								
195-2		k u r o i a								
216-2		m a r u a								
221-2		n a m								
239-2		i tɕ u								
252-2		m i ts u								
253-2		h o ts u								
254-2		i tɕ u tɕ u								
266-2		k a dʑ e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e								
276-2		a r a u								
281-2		m u ɕ o								
304-2		tɕ u b a k								
305-2		tɕ o i i								
308-2		h a n a								
309-2		k u ɕ a								
310-2		t o								
311-2		n i								
342-2		h u k u								
346-2		k u r a i a								
347-2		k o r u								
348-2		h u r o i a								
351-2		t oː e a								
361-2		o m o i a								
379-2		k u ɕ a h a a								
394-2		h u d a r i								
395-2		m o g i								
400-2		h i sː a r u								
412-2		ɕ a k e r u								
413-2		tɕ u k i s a s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k a r g a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		ɕ o t a a								
447-2		u e								
458-2		t o ɕ o								
56-2		h u t o								
65-2		k a a a								
70-2		t a n e								
75-2		k a a a								
114-2		k u b o								
119-2		k o m o								
161-2		h u								
171-2		k a i a								
188-2		h a m a								
196-2		h o r u								
262-2		h o r u m a								
300-2		h e ɕ o								
313-2		d e								
350-2		s e m a i a								
352-2		tɕ o k a i a								
396-2		h u r u a								
401-2		o s u								
420-2		o tɕ o r u								
424-2		u t a u kʲ								
442-2		ɕ i m e r u k e								
455-2		i k i o r u								
22-2		n a i								
24-2		m i a n a								
49-2		o n n g k								
78-2		a b u r a								
89-2		k e								
149-2		k u r u								
183-2		h o								
192-2		a o i								
250-2		h o k a n o m								
264-2		k o r o								
298-2		k e g a d a								
303-2		h a r a d a t a								
314-2		m o ɕ o								
354-2		u tɕ u								
369-2		k i r e r u								
376-2		w a r u								
415-2		m u ɕ u b u								
451-2		h o k o r i								
456-2		tɕ u n a								
72-2		n i k u								
80-2		t a m a g o								
104-2		a s i								
118-2		ɕ o r dʑ oː								
150-2		n e t e r u								
204-2		i k a i								
14-3			k o e							
18-3			d a e							
35-3			h ts t o ɴ							
