index	index_p	rindex	rindex_p	cogid	id_1	segment_1	segment_1_L1	segment_1_L2	segment_1_L3	segment_1_R1	segment_1_R2	segment_1_R3	SC_1	SC_1_L1	SC_1_L2	SC_1_L3	SC_1_R1	SC_1_R2	SC_1_R3	PROSODY_1	PROSODY_1_L1	PROSODY_1_L2	PROSODY_1_L3	PROSODY_1_R1	PROSODY_1_R2	PROSODY_1_R3	id_2	segment_2	segment_2_L1	segment_2_L2	segment_2_L3	segment_2_R1	segment_2_R2	segment_2_R3	SC_2	SC_2_L1	SC_2_L2	SC_2_L3	SC_2_R1	SC_2_R2	SC_2_R3	PROSODY_2	PROSODY_2_L1	PROSODY_2_L2	PROSODY_2_L3	PROSODY_2_R1	PROSODY_2_R2	PROSODY_2_R3	id_3	segment_3	segment_3_L1	segment_3_L2	segment_3_L3	segment_3_R1	segment_3_R2	segment_3_R3	SC_3	SC_3_L1	SC_3_L2	SC_3_L3	SC_3_R1	SC_3_R2	SC_3_R3	PROSODY_3	PROSODY_3_L1	PROSODY_3_L2	PROSODY_3_L3	PROSODY_3_R1	PROSODY_3_R2	PROSODY_3_R3	id_4	segment_4	segment_4_L1	segment_4_L2	segment_4_L3	segment_4_R1	segment_4_R2	segment_4_R3	SC_4	SC_4_L1	SC_4_L2	SC_4_L3	SC_4_R1	SC_4_R2	SC_4_R3	PROSODY_4	PROSODY_4_L1	PROSODY_4_L2	PROSODY_4_L3	PROSODY_4_R1	PROSODY_4_R2	PROSODY_4_R3	id_5	segment_5	segment_5_L1	segment_5_L2	segment_5_L3	segment_5_R1	segment_5_R2	segment_5_R3	SC_5	SC_5_L1	SC_5_L2	SC_5_L3	SC_5_R1	SC_5_R2	SC_5_R3	PROSODY_5	PROSODY_5_L1	PROSODY_5_L2	PROSODY_5_L3	PROSODY_5_R1	PROSODY_5_R2	PROSODY_5_R3	id_6	segment_6	segment_6_L1	segment_6_L2	segment_6_L3	segment_6_R1	segment_6_R2	segment_6_R3	SC_6	SC_6_L1	SC_6_L2	SC_6_L3	SC_6_R1	SC_6_R2	SC_6_R3	PROSODY_6	PROSODY_6_L1	PROSODY_6_L2	PROSODY_6_L3	PROSODY_6_R1	PROSODY_6_R2	PROSODY_6_R3	id_7	segment_7	segment_7_L1	segment_7_L2	segment_7_L3	segment_7_R1	segment_7_R2	segment_7_R3	SC_7	SC_7_L1	SC_7_L2	SC_7_L3	SC_7_R1	SC_7_R2	SC_7_R3	PROSODY_7	PROSODY_7_L1	PROSODY_7_L2	PROSODY_7_L3	PROSODY_7_R1	PROSODY_7_R2	PROSODY_7_R3	id_8	segment_8	segment_8_L1	segment_8_L2	segment_8_L3	segment_8_R1	segment_8_R2	segment_8_R3	SC_8	SC_8_L1	SC_8_L2	SC_8_L3	SC_8_R1	SC_8_R2	SC_8_R3	PROSODY_8	PROSODY_8_L1	PROSODY_8_L2	PROSODY_8_L3	PROSODY_8_R1	PROSODY_8_R2	PROSODY_8_R3	id_9	segment_9	segment_9_L1	segment_9_L2	segment_9_L3	segment_9_R1	segment_9_R2	segment_9_R3	SC_9	SC_9_L1	SC_9_L2	SC_9_L3	SC_9_R1	SC_9_R2	SC_9_R3	PROSODY_9	PROSODY_9_L1	PROSODY_9_L2	PROSODY_9_L3	PROSODY_9_R1	PROSODY_9_R2	PROSODY_9_R3	id_10	segment_10	segment_10_L1	segment_10_L2	segment_10_L3	segment_10_R1	segment_10_R2	segment_10_R3	SC_10	SC_10_L1	SC_10_L2	SC_10_L3	SC_10_R1	SC_10_R2	SC_10_R3	PROSODY_10	PROSODY_10_L1	PROSODY_10_L2	PROSODY_10_L3	PROSODY_10_R1	PROSODY_10_R2	PROSODY_10_R3
1	0.2000	5	1.0000	4																																																																			1	l	∅	∅	∅	u	ŋ	g	L	∅	∅	∅	Y	N	K	5	∅	∅	∅	7	4	1																							2	r	∅	∅	∅	u	ŋ	g	R	∅	∅	∅	Y	N	K	5	∅	∅	∅	7	4	1																																																																																								
2	0.4000	4	0.8000	4																																																																			1	u	l	∅	∅	ŋ	g	u	Y	L	∅	∅	N	K	Y	7	5	∅	∅	4	1	7																							2	u	r	∅	∅	ŋ	g	u	Y	R	∅	∅	N	K	Y	7	5	∅	∅	4	1	7																																																																																								
3	0.6000	3	0.6000	4																																																																			1	ŋ	u	l	∅	g	u	∅	N	Y	L	∅	K	Y	∅	4	7	5	∅	1	7	∅																							2	ŋ	u	r	∅	g	u	∅	N	Y	R	∅	K	Y	∅	4	7	5	∅	1	7	∅																																																																																								
4	0.8000	2	0.4000	4																																																																			1	g	ŋ	u	l	u	∅	∅	K	N	Y	L	Y	∅	∅	1	4	7	5	7	∅	∅																							2	g	ŋ	u	r	u	∅	∅	K	N	Y	R	Y	∅	∅	1	4	7	5	7	∅	∅																																																																																								
5	1.0000	1	0.2000	4																																																																			1	u	g	ŋ	u	∅	∅	∅	Y	K	N	Y	∅	∅	∅	7	1	4	7	∅	∅	∅																							2	u	g	ŋ	u	∅	∅	∅	Y	K	N	Y	∅	∅	∅	7	1	4	7	∅	∅	∅																																																																																								
1	0.2500	4	1.0000	6																																																																																									3	a	∅	∅	∅	m	b	ɛ	A	∅	∅	∅	M	P	E	7	∅	∅	∅	4	1	7																							4	a	∅	∅	∅	m	b	i	A	∅	∅	∅	M	P	I	7	∅	∅	∅	4	1	7																																																																		
2	0.5000	3	0.7500	6																																																																																									3	m	a	∅	∅	b	ɛ	∅	M	A	∅	∅	P	E	∅	4	7	∅	∅	1	7	∅																							4	m	a	∅	∅	b	i	∅	M	A	∅	∅	P	I	∅	4	7	∅	∅	1	7	∅																																																																		
3	0.7500	2	0.5000	6																																																																																									3	b	m	a	∅	ɛ	∅	∅	P	M	A	∅	E	∅	∅	1	4	7	∅	7	∅	∅																							4	b	m	a	∅	i	∅	∅	P	M	A	∅	I	∅	∅	1	4	7	∅	7	∅	∅																																																																		
4	1.0000	1	0.2500	6																																																																																									3	ɛ	b	m	a	∅	∅	∅	E	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅																							4	i	b	m	a	∅	∅	∅	I	P	M	A	∅	∅	∅	7	1	4	7	∅	∅	∅																																																																		
1	0.2500	4	1.0000	24																							5	tʰ	∅	∅	∅	u	x	a	T	∅	∅	∅	Y	G	A	1	∅	∅	∅	7	3	7																							6	t	∅	∅	∅	u	k	-	T	∅	∅	∅	Y	K	_	1	∅	∅	∅	7	1	0																																																																																									7	r	∅	∅	∅	ʊ	χ	a	R	∅	∅	∅	Y	G	A	5	∅	∅	∅	7	3	7																						
2	0.5000	3	0.7500	24																							5	u	tʰ	∅	∅	x	a	∅	Y	T	∅	∅	G	A	∅	7	1	∅	∅	3	7	∅																							6	u	t	∅	∅	k	-	∅	Y	T	∅	∅	K	_	∅	7	1	∅	∅	1	0	∅																																																																																									7	ʊ	r	∅	∅	χ	a	∅	Y	R	∅	∅	G	A	∅	7	5	∅	∅	3	7	∅																						
3	0.7500	2	0.5000	24																							5	x	u	tʰ	∅	a	∅	∅	G	Y	T	∅	A	∅	∅	3	7	1	∅	7	∅	∅																							6	k	u	t	∅	-	∅	∅	K	Y	T	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																																																																									7	χ	ʊ	r	∅	a	∅	∅	G	Y	R	∅	A	∅	∅	3	7	5	∅	7	∅	∅																						
