COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ³¹								
4342-1	t ɯ ³¹								
4344-1	ʈʂʰ ɯ ³¹								
5487-1	t ɯ ³¹								
1401-1	p ɔ ⁴⁴								
6496-1	ʈʂʰ ɯ ³¹								
1064-1	l a ⁵⁵								
1065-1	ts ɿ ³¹								
6617-1	t ɔ ²¹								
4367-1	t a ²¹								
4378-1	ɕ ɔ ⁵⁵								
4379-1	l i ⁵⁵								
3984-1	s ɿ ³³								
5086-1	ʈʂ ɤ ⁴²								
3333-1	ʂ e ⁴⁴								
2226-1	x ɔ ³⁵								
2373-1	kʰ w ɔ ³³								
2363-1	s ɔ ⁴²								
672-1	ʈʂʰ ɿ ⁵⁵								
673-1	k ɯ ³¹								
2690-1	p ɔ ²¹								
6337-1	p a ⁴⁴								
6319-1	ʈʂ e ⁴²								
2617-1	s ɿ ³³								
2066-1	s ɿ ³³								
2094-1	s ɿ ³³								
2096-1	k ɛ ⁴⁴								
798-1	p a ⁴²								
6668-1	ɕ ɔ ³³								
4028-1	t e ⁴⁴								
6555-1	k w a ⁴⁴								
2281-1	k ɔ ⁴⁴								
701-1	k w a ⁴⁴								
628-1	s a ⁴⁴								
3096-1	ts ɿ ³³								
3021-1	ʈʂ ɔ ²¹								
2708-1	ɕ i ⁵⁵								
3462-1	k a ³⁵								
1932-1	s ɿ ³³								
6469-1	s ɿ ⁴²								
4454-1	ɲ i ²¹								
4455-1	k ɛ ³⁵								
6926-1	ɲ ɤ ³³								
6927-1	ɲ i ²¹								
3916-1	m ɔ ³³								
6822-1	t ɲ i ²¹								
5417-1	ts ɿ ⁵⁵								
1959-1	x ɔ ³¹								
1960-1	t ɤ ⁵⁵								
2899-1	x ɔ ²¹								
3651-1	ts ɿ ³³								
811-1	k u ²¹								
1633-1	m e ²¹								
1775-1	k ɤ ²¹								
5801-1	k ɛ ⁴²								
4769-1	l ɔ ²¹								
3720-1	k a ³⁵								
6446-1	m e ³³								
1255-1	p ɛ ⁵⁵								
3595-1	ɲ i ⁴⁴								
