COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m i tʃ + i n								
2-1	tɬ a x + tɬ i x + tɬ								
8-1	w eː i j o								
16-1	j s + tɬ i								
24-1	i s + t i w								
32-1	m i k + i n								
51-1	t oː n + t i w								
52-1	w a k + t o k								
53-1	n a k a s + tɬ i								
54-1	tɬ a l + l i								
55-1	k w aː + w a w + tɬ								
60-1	iː x								
83-1	tɬ i + tɬ i								
87-1	p a tɬ a n + i n								
92-1	m a k a								
103-1	m i n + i n								
106-1	k a k + tɬ								
138-1	n e n + tɬ								
139-1	m i k + tɬ i								
142-1	m a + tɬ i								
145-1	m oː + t eː k a								
176-1	tɬ a k a + tɬ								
179-1	n a k + tɬ								
180-1	m i ts + tɬ i								
186-1	k eː tʃ + tɬ								
190-1	j a k + t i k								
194-1	iː ts + t e s i								
220-1	ʔ t o aː + tɬ								
231-1	ʔ t a								
240-1	k o tʃ + l i								
283-1	t e + tɬ								
293-1	i n + i n								
314-1	k w a k w + tɬ								
315-1	oː m i								
322-1	t e w a + tɬ								
323-1	tɬ a n + t e s + tɬ								
9-1	t oː t o + tɬ								
17-1	ʔ m i + tɬ								
22-1	tɬ a t a								
30-1	w i ts + tɬ i								
88-1	i ts + i n								
158-1	w eː j a k								
159-1	a t o n + tɬ								
177-1	m i j a k + i n								
184-1	t oː k w a + tɬ								
187-1	j a n k w + tɬ								
227-1	a x + tɬ i								
235-1	m oː + tɬ a l + i n + tɬ								
249-1	p oː k + tɬ i								
251-1	m +								
289-1	k w iː tɬ a p iː l								
294-1	t e w a								
296-1	n eː n a p iː l								
313-1	tɬ a n + t i k								
316-1	n e ʔ + n e m i								
318-1	t oː t o n + t i k								
320-1	a tɬ + tɬ i								
324-1	tʃ s + t i k								
326-1	a k + tɬ n								
1-2		m u tʃ u							
2-2		t a x + t i x							
8-2		w e j u							
16-2		j s e t i							
24-2		i s t i							
32-2		m i b i							
51-2		h uː n i							
52-2		w a k + t i k							
53-2		n a k a s							
54-2		t a l + l u							
55-2		k o							
60-2		i x + t e l u l u							
83-2		t i t i							
87-2		p a r a n							
92-2		m a k a							
103-2		m a j u h w i + j u							
106-2		k a k u							
138-2		n i h w a + t							
139-2		m i b + t i							
142-2		m a r i							
145-2		m u b t e k							
176-2		t a k r a t							
179-2		n a b a + t							
180-2		m e s ts t i							
186-2		k u tʃ + t i							
190-2		j a k + t i							
194-2		s e							
220-2		u h t i							
231-2		i h t i							
240-2		k u tʃ u							
283-2		t e t							
293-2		h uː n i							
314-2		b w a k o w							
315-2		u m i							
322-2		t e h w a n							
323-2		t eː n							
9-2		r o t u + t							
17-2		u m i							
22-2		t a t i							
88-2		i j + u h w i + j u							
158-2		w e j a k							
159-2		a r u n i n							
177-2		m i j k o n							
184-2		t u k o i t							
187-2		j a m k w i + k							
227-2		x a h + l u							
235-2		m u + t a l							
249-2		p u k + t i							
289-2		k w iː t a p u							
294-2		t e h w a + t							
296-2		n e n i p u l							
313-2		t a m + t i							
316-2		n i h + n i							
318-2		t u t u n i k							
324-2		tʃ s t a k w i + k							
326-2		a j + u h w i + j u							
1-3			m i tʃ i n						
2-3			t a x + t i						
8-3			w eː j						
16-3			j s eː ʔ						
24-3			i s t i						
32-3			m i k i n						
51-3			t n i						
52-3			w a k + t i ʔ						
53-3			n a k a s						
54-3			t a l + t i						
55-3			k w aː k w a						
60-3			i x + t e l o l o						
83-3			t e + t						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m i n						
106-3			k a k i						
138-3			n e j a						
139-3			m i k + t i						
142-3			m a t i						
145-3			t o k t eː k a						
176-3			t aː k a t						
179-3			n a k a + ʔ						
180-3			m i s ts t i						
186-3			k eː x + t o						
190-3			j a k + t e						
194-3			s eː						
220-3			o h + t i						
231-3			k + i h t o a						
240-3			k o tʃ						
283-3			t e l + t e s						
293-3			i n i						
314-3			k w a k w a						
315-3			oː m						
322-3			t e w a n						
323-3			t eː n						
9-3			t oː t o + ʔ						
17-3			oː m i						
22-3			t a t i						
30-3			w i ts						
88-3			i n i						
