COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	dʒ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ l a							
125-1	b i ŋ j a ɾ a							
162-1	l e s i							
171-1	o m ʃ a							
219-1	tʃ a i t a ŋ p u							
247-1	tʃʰ a ŋ l a							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m a t̪ i							
363-1	n a m b u							
397-1	g a m t i							
406-1	kʰ a m							
426-1	m ŭ k p a							
473-1	pʰ i n a ŋ							
499-1	ɕ a m ĭ n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	g o t̪ k a							
599-1	g o i t a							
608-1	b a n t o							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ k a l a							
672-1	t̪ o ŋ p a							
681-1	ɲ i r i							
690-1	m ĭ ŋ							
708-1	tʰ a ŋ b u							
717-1	dʒ o k p o							
726-1	s i							
744-1	a p a							
782-1	m ĭ							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p ʃ i							
881-1	l a m							
890-1	ɾ a w a							
899-1	s e r							
926-1	tʃʰ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	w a ɾ o ŋ							
998-1	pʰ e i							
1022-1	dʒ a tʃʰ a ɾ t							
1031-1	b i n a ŋ k a							
1069-1	tʃ u l a							
1079-1	ʃ a w a							
1098-1	j a ŋ m u							
1117-1	tʃʰ u							
1141-1	ɾ i n tʃʰ a m							
1189-1	m a n							
1198-1	n u							
1208-1	ɕ a l a							
1217-1	l a n i							
1253-1	a m a							
1271-1	n u w a ŋ							
1289-1	m ĭ n k a							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m a							
1343-1	b i n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a w u l a							
1388-1	m a n k a							
1397-1	t u ɾ							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a ɾ							
1433-1	ʃ u							
1442-1	l a m							
1451-1	b a m o							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u d̪ j a ŋ b a							
1529-1	tʃʰ a l o							
1538-1	s o l u							
1557-1	tʃ o i n u ŋ							
1618-1	i n k a							
1663-1	ɕ u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m t u							
1742-1	m u							
1751-1	b u ʃ i l a							
1778-1	ɕ a							
1787-1	tʃʰ u ɾ l a							
1823-1	l e m							
1832-1	k a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	ʃ u p t̪ a ŋ							
1888-1	ʃ a m pʰ i							
1897-1	s e							
1932-1	ɾ i n a ŋ s o p k a							
1950-1	ɕ u							
1968-1	t o ŋ t a l a							
1978-1	kʰ u t̪ p a							
1987-1	s a m							
2015-1	ŋ a m k a							
2118-1	m o ŋ ʃ o							
2238-1	ŋ a ɾ i l a							
2507-1	tʰ ĭ n u ŋ							
2526-1	l e							
2535-1	ʃ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ e i tʰ u ɾ a							
2578-1	n i tʃ i ŋ							
2596-1	u ŋ							
2615-1	ɾ i							
2663-1	g i t̪ i							
2690-1	s i							
2719-1	ɾ i							
2728-1	k o tʃ u ŋ							
2747-1	n i ŋ k a l a							
2756-1	s e r b u							
2774-1	b o ɲ i ŋ							
19-1	n a ʃ i							
28-1	n a ʃ i b a							
89-1	tʃ a ŋ p u							
107-1	l i m i n							
190-1	p u l i							
229-1	kʰ a							
257-1	t a ŋ k a l a							
338-1	b ɾ u ŋ							
436-1	ɕ u l u							
483-1	w a							
535-1	s o s o							
571-1	g e l e n i							
699-1	o ŋ p a							
845-1	ɾ o k							
971-1	tʃʰ i t̪ p u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ a							
1226-1	l a ŋ							
1235-1	n a m n i ŋ							
1280-1	dʒ i n k a l a							
1352-1	u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b e tʃ a							
1654-1	l i							
1680-1	kʰ a n t a							
1725-1	tʃ a p tʃ e n							
2127-1	dʒ a m k a l a							
2181-1	d̪ i l o							
2366-1	l j a k a							
2672-1	b a g a							
2681-1	b a l u							
55-1	d̪ a ʃ i k a							
80-1	t u ŋ g a							
116-1	t u l i							
210-1	g o i							
319-1	pʰ o t k a l a							
453-1	tʃ a ŋ p u							
508-1	ŋ a m							
754-1	a i n u ɾ a							
764-1	g a ɾ a ŋ b ɾ u m a ŋ							
827-1	m i							
1244-1	g u ɾ o ŋ u ŋ							
1460-1	s o ŋ k a l a							
1734-1	ɕ i m u							
2033-1	g o k p o							
2172-1	b i k a							
