COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ɔ ¹¹							
33-1	t ə ¹¹							
46-1	p l e ¹¹							
126-1	m e ³³							
114-1	b ɛ ¹¹							
149-1	p l e ³³							
171-1	tʰ ɛ ³³							
191-1	k a e ⁵⁵							
203-1	n ə ³³							
224-1	l e ³³							
275-1	kʰ e ¹¹							
302-1	ʔ u ³³							
315-1	d u ⁵⁵							
394-1	n u ⁵⁵							
431-1	pʰ e ⁵⁵							
444-1	p u ⁵⁵							
445-1	n e ¹¹							
514-1	n a ⁵⁵							
555-1	kʰ u i ¹¹							
579-1	cʰ ɛ ³³							
603-1	kʰ e ¹¹							
737-1	l o ¹¹							
763-1	cʰ u a ¹¹							
870-1	kʰ a ⁵⁵							
918-1	ʔ a ³³							
979-1	l ɛ ¹¹							
1013-1	m e ¹¹							
1040-1	tʰ u i ¹¹							
1027-1	m e ¹¹							
1053-1	l a ¹¹							
1065-1	m ɛ ¹¹							
1091-1	m o ¹¹							
1116-1	ʔ ə ¹¹							
1129-1	n e ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ ɛ ³³							
1255-1	p u ⁵⁵							
1277-1	t a ³³							
1290-1	p ɨ ¹¹							
1301-1	cʰ u ¹¹							
1337-1	m ə ¹¹							
1323-1	m u ¹¹							
1350-1	m ə ¹¹							
1372-1	j e ³³							
1498-1	d ə ¹¹							
1664-1	l a ³³							
1652-1	ʔ o ¹¹							
1687-1	n e ⁵⁵							
1708-1	m o ¹¹							
1732-1	tʰ u ¹¹							
1742-1	n ɔ ¹¹							
1755-1	pʰ l i ³³							
1767-1	m a ³³							
1786-1	j e ¹¹							
1803-1	u e ¹¹							
1815-1	cʰ e ³³							
1840-1	pʰ r a ³³							
1853-1	t e ⁵⁵							
1866-1	n e ⁵⁵							
1894-1	l e ¹¹							
1934-1	cʰ ə ¹¹							
1947-1	kʰ ɛ ¹¹							
1993-1	pʰ l i ³³							
2059-1	ʔ ɔ ¹¹							
2098-1	j e ³³							
2086-1	tʰ u ³³							
2153-1	m a ¹¹							
2180-1	l ɔ ¹¹							
2205-1	kʰ u u ³³							
2328-1	l e ³³							
2349-1	j u ¹¹							
2372-1	m ə ¹¹							
2388-1	m i ¹¹							
2413-1	d a ³³							
2637-1	p l ɔ ¹¹							
2649-1	cʰ u ³³							
2693-1	p a ¹¹							
2755-1	n e ⁵⁵							
2858-1	m i ³³							
2953-1	cʰ e ³³							
2986-1	cʰ e ⁵⁵							
3034-1	t e ⁵⁵							
3088-1	p l a ³³							
3113-1	p l a ³³							
3154-1	j u ¹¹							
3179-1	cʰ e ¹¹							
3246-1	d e ³³							
3259-1	cʰ i ¹¹							
3282-1	tʰ a ¹¹							
3295-1	cʰ cʰ e ¹¹							
3338-1	l ɔ ¹¹							
3351-1	p l ə ¹¹							
3375-1	m ə ¹¹							
3410-1	j u ⁵⁵							
3423-1	m a ¹¹							
3445-1	cʰ ə ³³							
3485-1	p u ¹¹							
3500-1	p l ɔ ¹¹							
3545-1	t u ¹¹							
3557-1	j a ³³							
3581-1	cʰ a ³³							
3594-1	kʰ ə ³³							
3618-1	j o ¹¹							
3654-1	p l a ⁵⁵							
3667-1	t u ³³							
3680-1	kʰ l a ⁵⁵							
3763-1	p r ɔ ⁵⁵							
3850-1	p l e ¹¹							
3878-1	tʰ ə ³³							
3903-1	tʰ a ³³							
3938-1	c o ¹¹							
3963-1	l a ¹¹							
3977-1	m e ³³							
1464-1	l w i ³³							
10-1	l ɔ ³³							
59-1	tʰ ɛ ¹¹							
91-1	a e ¹¹							
288-1	n e i ¹¹							
316-1	m ə ¹¹							
336-1	kʰ l ə ³³							
371-1	cʰ w i ⁵⁵							
383-1	n ə ¹¹							
408-1	pʰ u ³³							
469-1	p r i ¹¹							
567-1	m u ¹¹							
592-1	n ɛ ⁵⁵							
646-1	s ə ¹¹							
666-1	pʰ e ¹¹							
696-1	p r e ¹¹							
634-1	p l ɔ ¹¹							
725-1	kʰ j a ⁵⁵							
750-1	kʰ ɔ ⁵⁵							
823-1	kʰ l ə ¹¹							
835-1	ʔ u ¹¹							
894-1	n ə ¹¹							
930-1	j u ⁵⁵							
942-1	kʰ ə ³³							
969-1	ʔ a i ¹¹							
1160-1	ʔ a ¹¹							
1314-1	k ɔ ⁵⁵							
1363-1	t e ³³							
1385-1	r ɔ ³³							
1530-1	b e ³³							
1539-1	ʔ a ³³							
1565-1	l ə ¹¹							
1599-1	l o ¹¹							
1612-1	j o ⁵⁵							
1632-1	t u ¹¹							
1643-1	k l ɔ ¹¹							
1676-1	k l a ⁵⁵							
1700-1	tʰ ə ¹¹							
1829-1	k e ¹¹							
1878-1	l a ¹¹							
1907-1	pʰ w e ⁵⁵							
2025-1	tʰ i ¹¹							
2072-1	a ¹¹							
2111-1	pʰ ə ¹¹							
2193-1	pʰ e ³³							
2219-1	kʰ u ⁵⁵							
2230-1	ʔ e ³³							
2255-1	j a ¹¹							
2279-1	j ə ¹¹							
2320-1	j a ⁵⁵							
2341-1	m ə ¹¹							
2401-1	ʔ w a ¹¹							
2442-1	m ɛ ³³							
2468-1	n a ¹¹							
2480-1	pʰ r e ¹¹							
2531-1	pʰ u ¹¹							
2559-1	k ə ¹¹							
2590-1	p u ¹¹							
2604-1	tʰ ə ¹¹							
2662-1	tʰ ɨ ¹¹							
2673-1	n ɨ ¹¹							
2825-1	b u ⁵⁵							
2846-1	tʰ e ³³							
2881-1	r ɛ i ¹¹							
2893-1	n i ³³							
2910-1	c e ¹¹							
2922-1	cʰ i ³³							
3047-1	pʰ o ¹¹							
3059-1	p l a ³³							
3167-1	j e ³³							
21-2		t e ¹¹						
33-2		tʰ au ¹¹						
46-2		p r a ¹¹						
126-2		θ a ⁵³						
114-2		b a ŋ ¹¹						
149-2		p r a ⁵³						
171-2		tʰ a ŋ ⁵³						
191-2		kʰ ɟ ɛ ʔ ⁴⁵						
203-2		n i ⁵³						
224-2		l i ʔ ²¹						
275-2		kʰ a ¹¹						
302-2		tʰ u ⁵³						
315-2		tʰ au ʔ ⁴⁵						
394-2		n au ʔ ⁴⁵						
431-2		p a ʔ ²¹						
444-2		p a ʔ ²¹						
445-2		n a ¹¹						
514-2		θ i ʔ ⁴⁵						
555-2		kʰ a i ¹¹						
579-2		cʰ a ŋ ⁵³						
603-2		kʰ a ¹¹						
737-2		l u ¹¹						
763-2		cʰ j ɛ ¹¹						
870-2		kʰ i ʔ ⁴⁵						
918-2		ʔ a ⁵³						
979-2		l a ŋ ³³						
1013-2		m a ¹¹						
1040-2		tʰ j i ¹¹						
1027-2		m a ³³						
1053-2		l w i ¹¹						
1065-2		m a ŋ ¹¹						
1091-2		m w i ³³						
1116-2		ʔ i ¹¹						
1129-2		n a ¹¹						
1173-2		d i ¹¹						
1207-2		ɕ a ŋ ⁵³						
1255-2		p i ʔ ²¹						
1277-2		t ɛ ʔ ²¹						
1290-2		b w a ŋ ¹¹						
1301-2		cʰ w a ŋ ¹¹						
1337-2		m i ¹¹						
1323-2		m u ¹¹						
1350-2		m i ¹¹						
1372-2		w ɛ ʔ ¹¹						
1498-2		d i ¹¹						
1664-2		l i ʔ ²¹						
1652-2		ʔ au ¹¹						
1687-2		θ a ʔ ⁴⁵						
