COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m															
2017-1	h e															
1004-1	l a															
614-1	b ou̯ h															
686-1	b l e															
88-1	k ʔ															
872-1	n ɨ ŋ															
1891-1	d a															
68-1	s ɨi̯ m															
631-1	b ɨi̯ n															
594-1	g a															
1759-1	h a ɲ															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m o															
2042-1	a															
1968-1	d ʔ															
2000-1	r a ŋ															
17-1	t															
4-1	p ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	a m															
1652-1	c ă ɲ															
576-1	ŋ ɔ															
1738-1	d ə̆ k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p t															
957-1	n															
1704-1	ʔ ɨi̯ ʔ															
304-1	j m															
1796-1	c ɔ ŋ															
720-1	t ai̯ h															
287-1	k p															
321-1	g ou̯ h															
206-1	d ou̯ ʔ															
1950-1	ʔ o															
665-1	p a n															
703-1	n ou̯ ʔ															
1290-1	m ai̯															
1391-1	k ă t															
269-1	g t															
855-1	c ă n															
2078-1	s e															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p ă t															
1859-2		ŋ a														
175-2		k a														
241-2		ʔ u h														
2163-2		a u														
2181-2		n a m														
2060-2		ʔ u m														
410-2		d aːi̯														
1841-2		m a														
2017-2		h a														
1004-2		l a														
614-2		b o h														
686-2		b l a														
88-2		a a k														
872-2		n u ŋ														
1891-2		d a														
68-2		s a m														
631-2		b u h														
594-2		k a														
1759-2		h a n														
805-2		k ɔː n														
756-2		h u k														
1201-2		m a a ʔ														
2042-2		ʔ a														
1968-2		d a ʔ														
2000-2		a a ŋ														
17-2		a a ʔ														
4-2		b a m														
788-2		d a														
1219-2		n a m														
141-2		ʔ a ŋ														
541-2		b a a a ŋ														
1687-2		h u a														
123-2		n a m														
1652-2		dʑ ɔː n														
576-2		ŋ oː														
1738-2		d a k														
442-2		h oː m														
368-2		a a a ŋ														
1778-2		b a ʔ														
957-2		n a ʔ														
