COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	s iː															
1089-1	s ŋ ɛ a															
1319-1	s e															
1398-1	s iː p p u.m															
1557-1	s i s ŋ															
1626-1	p a s a															
1840-1	s i ŋ u															
2247-1	s ŋ															
4677-1	s u s ŋ j															
5162-1	m i n̩ p i															
5406-1	s ŋ ŋ s i															
359-1	s a s i															
1577-1	p i r ŋ															
2196-1	s a s a															
2230-1	s i z															
2533-1	s a s i															
3605-1	z a ŋ d a															
3866-1	o s u.m															
4553-1	s a s u.m															
4822-1	z u m g.uː.r o															
5254-1	d u p ɔ															
503-1	z u p a															
1356-1	m iː r̃.i															
1881-1	j u.m s iː															
3218-1	s ŋ s iː.m															
3372-1	z a z a															
3718-1	a s a															
4135-1	p a p u.m r̃.i															
4694-1	z u s u.m															
807-1	z e m e iː															
2320-1	k a p ɛ															
2476-1	s eː ŋ															
3719-1	m i															
4081-1	d a m z i															
4313-1	z ŋ															
4460-1	s u e ɛ															
5810-1	p u z u															
93-1	d ɔ															
260-1	z i z a															
385-1	p ɛ m b ɛ															
890-1	a m o o r u.m															
1336-1	g.uː.r ŋ g ŋ															
1703-1	j ɔ															
1769-1	p ɛ m b i															
2162-1	p ɛ s ɛ															
2635-1	s o															
3031-1	d ɛ s ɛ															
4591-1	k ŋ p i															
5301-1	p ɛ p u															
5605-1	p u s a															
463-1	d u m g.uː.r u.m															
1432-1	s a p iː															
1474-1	s u e															
1788-1	s aː a i															
2044-1	s u m o o															
2713-1	p ŋ m ɛ s ɛ r ɛ															
3219-1	p o s a															
3425-1	z ɔ															
4184-1	s j ɛ u.m															
4629-1	s u p o u															
4759-1	g.uː.r iː d															
4904-1	dʒ u dʒ o a															
4960-1	dʒ i n iː dʒ o															
4980-1	s ɔ															
5059-1	g u j aː															
5339-1	z a z a															
5549-1	a p a															
5905-1	p i p u															
5922-1	p u.m p a															
5938-1	a z i z ɛ ɛ a															
1-1	p ɛ															
483-1	z e z u															
629-1	dʒ ɔ															
667-1	ɛ p ɛ															
1254-1	s a s z uː															
1415-1	b ŋ															
1542-1	g.uː.r															
1683-1	r u.m															
1898-1	s u r̃ aː j															
2901-1	p uː eː p u															
2957-1	m a ŋ d i															
3048-1	g.uː.r i j															
3251-1	d a z a															
3885-1	d ɛ p o															
4402-1	g.uː.r i															
5622-1	g.uː.r e e i j e e															
6006-1	s u s a															
135-1	b uː ŋ uː															
158-1	m ɔ s u															
194-1	s ɛ r̃.i															
221-1	ɛ d u.m															
650-1	r e s i															
1152-1	g.uː.r i g.uː.r ɛ															
1374-1	b ɔ p ŋ ɔ															
1452-1	g eː r a															
1862-1	i d u.m															
2083-1	k a i s i															
2108-1	s ɔ ɛ															
2636-1	m															
2924-1	z ɔ z i															
2941-1	d i d iː															
3405-1	iː.m k iː.m r̃.i															
3751-1	p e															
4066-1	z eː z ɔ															
4535-1	d uː g.uː.r ɔ															
4888-1	j a a j															
5583-1	p a e u															
5751-1	d i j iː.m															
5981-1	a p a															
114-1	d o j̃ o															
851-1	d ŋ															
1941-1	p u.m p u.m															
2179-1	g.uː.r d i															
2351-1	p aː p a															
2496-1	uː iː															
3482-1	m e dʒ e dʒ e e e e															
3497-1	e s a ɛ ɛ															
3588-1	s o s o															
4202-1	d n r i n															
4293-1	p ɛ p uː															
4921-1	d a m d aː															
408-1	d e m d i															
545-1	u s u															
978-1	s a m u															
1052-1	n eː m b u															
1070-1	z u.m dʒ o															
1942-1	d i															
2456-1	s u d u															
2514-1	d u.m s u.m															
2666-1	d i g.uː.r ɔ															
2817-1	a eː g i															
3132-1	dʒ uː ŋ															
3300-1	ɛ w o															
3976-1	p uː															
4152-1	p i p a															
4361-1	s ɛ s u.r.u															
4570-1	u s aː w̃.m															
4648-1	j ɔ															
5318-1	d e dʒ e															
5673-1	d a r ɔ a															
5887-1	j a z i															
446-1	g o iː g ɔ o															
521-1	d aː d aː ɛ															
1108-1	w̃ w̃ z ɔ															
1124-1	ŋ b ŋ															
1745-1	dʒ a r o															
1823-1	g ŋ															
2143-1	e															
2265-1	u r ɔ															
2392-1	z ɔ s u															
2579-1	d ɔː															
2774-1	k a k i															
3339-1	s a w a															
3550-1	i k i i aː															
4024-1	z uː z a															
4219-1	s ɛ m.b.o s ɛ															
4240-1	z eː z i															
4259-1	g.uː.r ɔ m															
4738-1	g.uː.r iː.m d a															
5197-1	ɛ s u															
5447-1	g.uː.r i n i															
5531-1	a u s u															
5733-1	n eː															
5828-1	z a p i															
562-1	s u m n̩ o															
998-1	g.uː.r a															
1022-1	s u s u															
1023-1	s a															
1205-1	j e															
1275-1	t oː															
1578-1	z w̃ w̃															
2063-1	i r ɛ															
2334-1	ɛ r u.m															
2798-1	aː s ɛ j̃															
3252-1	o m b o															
3463-1	r̃.i p aː															
3683-1	ɲ u dʒ ɛ															
3772-1	t uː m a															
3790-1	w a ɔ															
4052-1	p a r a															
4220-1	s u															
4440-1	dʒ ɛ ɛ															
4479-1	k															
4711-1	j a r u.m															
4778-1	d a s w̃ w̃ a															
4821-1	r u															
4941-1	ɔ j̃ ɔ															
5272-1	s a s u															
5423-1	ɔ s i															
5424-1	k ɔ r ɔ															
563-1	s o m o															
613-1	m a ɛ															
684-1	r̃ e r̃ i															
742-1	z a r a															
1204-1	e r i															
1373-1	a j a a															
1787-1	d aː															
1988-1	k ɛ i k ɛ															
2283-1	b ɛ r u															
2372-1	b r u															
2441-1	n ɔː															
2598-1	i n															
2773-1	b a r m i															
3011-1	d a d a j̃															
3176-1	ɔ r ɔ															
3283-1	u p u															
3318-1	r e e t i															
