COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d e a i															
1089-1	j a e a															
1319-1	j n̩ n̩ a															
1398-1	s ŋ g uː r i d n̩ i															
1557-1	dʒ i j e															
1626-1	j a g uː r a															
1840-1	j i ŋ i															
2247-1	g e n̩															
4677-1	j u j a j n̩															
5162-1	m i n̩ d e															
5406-1	j ŋ e g uː r e															
359-1	g a g uː r i n̩															
1577-1	dʒ i g uː r e															
2196-1	j a d a															
2230-1	s i j e															
2533-1	j e j n̩ i															
3605-1	j a a d a															
3866-1	n̩ ŋ s u															
4553-1	j a n̩ j n̩ a															
4822-1	j u m g uː r a															
5254-1	g uː r e g uː r a															
503-1	j i g uː r a e															
1356-1	m e a a															
1881-1	j a j e e n̩															
3218-1	g uː r ŋ a a g uː r e															
3372-1	j a k a															
3718-1	n̩ a j a															
4135-1	g uː r a g uː r i ŋ															
4694-1	g u s n̩ n̩ u															
807-1	j e m e ŋ															
2320-1	g uː r a b e															
2476-1	k ŋ ŋ n̩															
3719-1	m i															
4081-1	d a m g uː r n̩ i															
4313-1	j ɛ a n̩ i															
4460-1	s u a a															
5810-1	g uː r i j i															
93-1	dʒ e															
260-1	k a a r e															
385-1	dʒ ɛ m b ɛ n̩															
890-1	n̩ a m e ŋ r u															
1336-1	g uː r e g e															
1703-1	j eː n̩															
1769-1	dʒ ɛ m b															
2162-1	b ɛ s ɛ															
2635-1	s ɔ															
3031-1	b ɛ g ɛ															
4591-1	g uː r ŋ g uː r i															
5301-1	b ɛ b u															
5605-1	g uː r ɛ r̃ a j̃															
463-1	g uː r u m g uː r u															
1432-1	t a dʒ u															
1474-1	t uː ɔ n̩ ɔ															
1788-1	s a a i															
2044-1	g ɛ m ɛ aː															
2713-1	b ŋ m ɛ n̩ b ɛ r ɛ															
3219-1	dʒ ɔ dʒ uː															
3425-1	j eː															
4184-1	k a j j															
4629-1	dʒ u dʒ ɔ u															
4759-1	g uː r ŋ n̩ j e															
4904-1	g uː r n̩ u g uː r ɔ a															
4960-1	dʒ e dʒ eː dʒ e															
4980-1	dʒ ɔ															
5059-1	g u b oː															
5339-1	g uː r a j a															
5549-1	a w n̩ a															
5905-1	t ɛ r̃ u															
5922-1	g uː r e g uː r e															
5938-1	a a j uː j a a a															
1-1	b ɛ															
483-1	g e z uː															
629-1	dʒ ɔ															
667-1	ɛ w ɛ															
1254-1	dʒ uː ɔ dʒ u dʒ u															
1415-1	ŋ ŋ															
1542-1	g uː r n̩ e e															
1683-1	j e e e															
1898-1	b u b a j															
2901-1	z uː eː g u															
2957-1	m a ŋ g uː r ŋ															
3048-1	g uː r ŋ j e															
3251-1	b a dʒ a															
3885-1	b ɔ b u															
4402-1	g uː r e															
5622-1	g uː r e e u g uː r e a															
6006-1	r̃ r̃ a															
135-1	ŋ															
158-1	m a s u															
194-1	b ɛ ɔ															
