COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d iː m̩															
1089-1	n aː m̩ m̩															
1319-1	n m̩ o															
1398-1	s u p d iː															
1557-1	iː r iː															
1626-1	tʃ aː w a															
1840-1	t iː o m̩															
2247-1	o m̩															
4677-1	k u z o j															
5162-1	m.i.n iː r̃ o															
5406-1	t aː n d iː															
359-1	g a p m̩															
1577-1	iː r e															
2196-1	n a r̃ a															
2230-1	s iː															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t a m̩															
4822-1	k u m b o															
5254-1	d r ɔ															
503-1	tʃ i s a j															
1356-1	m.i.n a j															
1881-1	n aː m.i.n iː m̩ m̩															
3218-1	tʃ j m̩ s uː															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r̃ iː j															
4694-1	g uː s uː															
807-1	k ɔ m j iː															
2320-1	k a p e															
2476-1	k u m̩ m̩															
3719-1	m															
4081-1	j a m b iː															
4313-1	n ɛ j iː															
4460-1	s u															
5810-1	tʃ i z iː															
93-1	d uː															
260-1	tʃ e t e															
385-1	tʃ ɛ m b aː															
890-1	a m.i.n o iː r u															
1336-1	j e e															
1703-1	b e															
1769-1	d ɛ m b iː															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛ g ɛ															
4591-1	d e r iː															
5301-1	tʃ aː r u															
5605-1	t i a j															
463-1	u m b iː															
1432-1	t a r iː															
1474-1	t uː															
1788-1	s aː m̩ m̩															
2044-1	g i m.i.n e															
2713-1	s ɔː m.i.n ɛ d ɛ r ɛ															
3219-1	tʃ uː s uː															
3425-1	j ɔː															
4184-1	s j															
4629-1	s uː ɔ															
4759-1	n iː j															
4904-1	s uː a a															
4960-1	dʒ i n iː z iː															
4980-1	t uː															
5059-1	g u b o															
5339-1	z a a															
5549-1	t a b a															
5905-1	t i r̃ u															
5922-1	b i r e															
5938-1	m̩ a j m̩ z m̩ m̩ a															
1-1	p ɛ															
483-1	g e s u															
629-1	j uː															
667-1	ɛ w ɛ															
1254-1	z uː j uː z uː															
1415-1	b m̩ o															
1542-1	n iː															
1683-1	s iː															
1898-1	tʃ u r̃ o m̩															
2901-1	s uː eː s uː															
2957-1	m.i.n a n i															
3048-1	b iː j o															
3251-1	a r̃ a															
3885-1	d ɔ r ɔ															
4402-1	j iː															
5622-1	tʃ e j e j															
6006-1	ɲ u n a															
135-1	b uː ŋ d uː															
158-1	m ɔ s u															
194-1	b ɛ j															
221-1	ɛ s uː															
650-1	e s i															
1152-1	j i b ɛ															
1374-1	k ɔ p ɔ															
1452-1	aː r a															
1862-1	i u.m															
2083-1	k a m̩ t i															
2108-1	n a															
2636-1	m															
2924-1	z e z iː															
2941-1	b i r̃ iː															
3405-1	r̃.i ɛ m ɛ m̩															
3751-1	p e j															
4066-1	g ɔː r̃ ɔ															
4535-1	n uː w ɔ															
4888-1	s a n a															
5583-1	a e a															
5751-1	j j o															
5981-1	a dʒ a															
114-1	d ɔ															
851-1	d ŋ															
1941-1	k iː s iː															
2179-1	p iː															
2351-1	tʃ aː r̃ a															
2496-1	n uː															
3482-1	s ei s ei e e e e															
3497-1	s a															
3588-1	k ɔ r ɔ															
4202-1	d e d e e															
4293-1	p b uː															
4921-1	s a m̩ b iː.m															
408-1	a m b iː															
545-1	u r u															
978-1	t a m															
1052-1	n a m b u															
1070-1	t u w e															
1942-1	d e															
2456-1	k ɔ d u															
2514-1	t uː s u.m															
2666-1	s.o.s i g.uː.r iː															
2817-1	a eː g e															
3132-1	b uː ɔː															
3300-1	j w e															
3976-1	s uː															
4152-1	k i d a															
4361-1	t e															
4570-1	ɔ w̃.m															
4648-1	j e															
5318-1	d uː d e															
5673-1	d e r e															
5887-1	j a j															
446-1	g o n g o r o															
521-1	k aː t u															
1108-1	ɔ j ɔ															
1124-1	b															
1745-1	dʒ a j a															
1823-1	g.uː.r o															
2143-1	b a															
2265-1	r ɔ															
2392-1	d ɔ s u															
2579-1	d e															
2774-1	k a t u															
3339-1	k a g a															
3550-1	m̩ i n m̩ m̩															
4024-1	z i z a															
4219-1	t e m.b.o z e															
4240-1	w eː r i															
4259-1	g.uː.r ɔː m															
4738-1	g.uː.r u n d a															
5197-1	ɛ r u															
5447-1	g.uː.r i n e															
5531-1	u r̃ u															
5733-1	n ɔ															
5828-1	j a p e															
562-1	s u m ɔ															
998-1	ŋ̍ ei															
1022-1	t i i															
1023-1	j e															
1205-1	j e															
1275-1	t															
1578-1	j w̃ w̃															
2063-1	i r ɛ															
2334-1	e s u.m															
2798-1	a r̃ ɛ															
3252-1	o m b e															
3463-1	r̃.i t aː															
715-2		d u														
1089-2		n aː														
1319-2		n aː														
1398-2		s u w̃ u														
1557-2		g i r e														
1626-2		w̃ a g a														
1840-2		t i iː														
2247-2		g aː														
4677-2		k u r aː j														
5162-2		w̃ i r̃ e														
5406-2		t aː n w̃ iː														
359-2		g a r u														
1577-2		g i r e														
2196-2		n a r̃ a														
2230-2		s u j̃ e														
2533-2		b a r i														
3605-2		k a n w̃ a														
3866-2		o s u														
4553-2		t aː w̃ u														
4822-2		k u w̃ b o														
5254-2		d u r ɔ														
503-2		tʃ i r̃ ɛ														
1356-2		w̃ aː w̃														
1881-2		n u w̃ iː														
2084-2		j aː d ɛ														
2420-2		k uː r i														
3218-2		dʒ aː s u														
3372-2		n a w̃ aː														
3718-2		a r u														
4135-2		b a w̃ ɛ														
4694-2		g u s u														
807-2		k o m i														
2320-2		k a j̃ ɛ														
2476-2		k iː														
2842-2		w̃ iː g iː														
