COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ r									
18-1	θ a r x r									
35-1	h i θ u θ u r									
36-1	h ɨ θ a θ ɨ r									
48-1	n a g a a									
60-1	θ θ r i r									
63-1	a i r a m i r									
64-1	k i r									
67-1	h a i									
68-1	n x									
71-1	ts ʔ r									
76-1	h u n ɨ r									
83-1	θ ɨ n u r									
87-1	h a n g r									
95-1	m i m i r									
98-1	h a n a r									
99-1	k u ts i r									
-102-1	a i θ a r									
103-1	θ ɨ m ɨ r									
110-1	θ x r									
116-1	m ɨ n ɨ r									
120-1	n u m ɨ r									
132-1	k i k u r									
139-1	k u r u a u r									
140-1	ʔ w θ g u r									
156-1	θ a θ ɨ r u r									
168-1	θ ɨ k i r									
169-1	h u u i r									
170-1	m ʔ ui ɨ r									
173-1	ʔ u i r									
180-1	k u m u r									
185-1	h a i r									
186-1	m ʔ x r u r									
187-1	m ʔ ts i r									
190-1	a k a a									
193-1	k iː r u i									
194-1	a i r u i									
195-1	k u r u i									
216-1	m a r ui i									
221-1	n a b									
239-1	ʔ θ u r									
252-1	m i ts ɨ r									
253-1	w u ts ɨ r									
254-1	ʔ θ ɨ θ u r									
266-1	k a ui ɨ i									
267-1	n a g a r ɨ r u r									
268-1	ɨ m i r									
272-1	a m ɨ r									
276-1	a r a ɨ r									
281-1	m u u i r									
304-1	θ ɨ h a i									
305-1	ts i e i									
308-1	h a n a r									
309-1	k u a a r									
310-1	θ u r									
311-1	n i r									
342-1	r u k i r									
346-1	k u r a i									
347-1	k i r u r									
348-1	h i r u a									
351-1	θ θ i a r									
361-1	ʔ m u i a									
379-1	k ɨ u a r a									
394-1	h i d a r i r									
395-1	m ʔ g i r									
400-1	h i sː a r u r									
412-1	u a k ɨ r u r									
413-1	θ ɨ k a a a u r									
414-1	h u r u r									
422-1	h u k u r ɨ r u r									
423-1	k a ɴ g a ɨ r u r									
430-1	h a k u r									
435-1	h u k u r									
446-1	a i θ a r									
447-1	ɨ x r									
458-1	θ u u i r									
56-1	h i θ θ r									
62-1	ʔ n ɨ r									
70-1	θ a n ɨ r									
96-1	m ɨ r									
101-1	h a r									
114-1	k u b i r									
119-1	k i m u r									
134-1	a i θ i r r r									
138-1	a i n ɨ r									
146-1	a r u k u r									
161-1	ʔ ɨ r									
182-1	k ɨ m u r i									
188-1	w a m a r									
196-1	w u r ɨ r									
262-1	h i r ɨ m a r									
300-1	h x u u r									
313-1	d x r									
350-1	a ɨ m a i									
352-1	ts i k a i									
396-1	h ɨ r ɨ r									
401-1	ʔ u u r									
420-1	ʔ θ ʔ r ɨ r									
424-1	ɨ θ a ɨ r									
442-1	a i m ɨ θ ɨ k ɨ r									
455-1	ʔ k ʔ θ θ r u r									
15-1	a r ɨ r									
49-1	u n n a r									
130-1	m i r u r									
149-1	k ɨ r u r									
175-1	u u n a r									
199-1	a θ ɴ r									
230-1	a n r h i θ u									
233-1	a n u h i θ u									
264-1	k i r i r									
274-1	n ɨ r ɨ θ a r									
298-1	k x g a ɕ a r									
303-1	h a r a ɕ a θ a r									
354-1	a ts ui i									
