COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n ɔ ⁵⁵								
495-1	n a ⁵⁵								
838-1	ʐ a ⁵⁵								
438-1	ʐ a ⁵⁵								
334-1	l a ʔ ⁵⁵								
360-1	l a ³¹								
394-1	m a ³¹								
221-1	a p ⁵⁵								
202-1	k au ³¹								
935-1	a ³¹								
93-1	a ³¹								
7-1	p a n ³¹								
664-1	a ŋ ⁵⁵								
246-1	w a ʔ ⁵⁵								
547-1	ʐ a ⁵⁵								
555-1	a m ⁵⁵								
464-1	m au ³¹								
119-1	m ʐ ə ŋ ⁵⁵								
835-1	ʐ a p ⁵⁵								
79-1	t w a ³¹								
693-1	n a ⁵⁵								
477-1	n a ⁵⁵								
891-1	t a ŋ ⁵⁵								
528-1	ʐ o ⁵⁵								
797-1	ʐ a ʔ ⁵⁵								
493-1	n a ʔ ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	a ⁵⁵								
452-1	m ʐ a ʔ ⁵⁵								
580-1	ʐ a ⁵⁵								
833-1	n a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	ȵ̥ w a ⁵⁵								
86-1	t a ŋ ⁵⁵								
384-1	m a n ³¹								
61-1	t a m ⁵⁵								
536-1	ʐ a ⁵⁵								
731-1	ʂ a ³¹								
779-1	ɔ ⁵⁵								
589-1	t a ŋ ⁵⁵								
658-1	a m ⁵⁵								
456-1	m ʐ a ŋ ³¹								
183-1	k ʐ au ³¹								
785-1	x ɔ ³¹								
714-1	a ⁵⁵								
331-1	l ɔ ³¹								
930-1	a p ⁵⁵								
161-1	k w a ŋ ⁵⁵								
814-1	w a ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	ʐ a ʔ ⁵⁵								
727-1	ʂ a ŋ ⁵⁵								
260-1	ʐ a p ⁵⁵								
144-1	k w a m ⁵⁵								
53-1	p a m ⁵⁵								
59-1	t a ʔ ⁵⁵								
506-1	p a ⁵⁵								
29-1	p a ⁵⁵								
316-1	ʈʂ w a ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	m a ³¹								
312-1	w o ³¹								
490-1	n a ³⁵								
436-1	ʐ a ³¹								
927-1	n a n ⁵⁵								
383-1	m a ʔ ⁵⁵								
211-1	ʐ a m ⁵⁵								
873-1	ʐ a ŋ ⁵⁵								
877-1	s a ⁵⁵								
344-1	l a m ⁵⁵								
666-1	n ɔ ³¹								
595-1	ʈʂ w a ŋ ⁵⁵								
660-1	a p ⁵⁵								
642-1	t a ŋ ⁵⁵								
257-1	ʐ a m ⁵⁵								
167-1	ʐ a ³¹								
880-1	t a p ⁵⁵								
484-1	n w a ŋ ⁵⁵								
574-1	ʐ a m ³¹								
718-1	ʐ a ŋ ³¹								
811-1	x au ³¹								
458-1	t a ŋ ³¹								
884-1	tʰ a ⁵⁵								
205-1	k u ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	a a ⁵⁵								
920-1	a ŋ ³¹								
36-1	p ʐ a ŋ ⁵⁵								
665-2		ŋ o ⁵¹							
495-2		n u ²¹							
838-2		j o ʔ ²¹							
438-2		m j o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l i ²¹							
394-2		m j i ²¹							
221-2		j i p ²¹							
202-2		k u ²¹							
935-2		u ²¹							
93-2		l a ²¹							
7-2		p a n ²¹							
664-2		a ŋ ⁵¹							
246-2		k a ʔ ⁵⁵							
547-2		s i k ⁵⁵							
555-2		j i m ²¹							
464-2		m u ²¹							
119-2		j i ²¹							
835-2		n a p ⁵⁵							
79-2		t a ²¹							
693-2		ŋ u ⁵¹							
477-2		n j a ²¹							
891-2		t i ŋ ⁵⁵							
528-2		j o ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ²¹							
896-2		ts u t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		s u ʔ ⁵⁵							
833-2		n a ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ u ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a ŋ ⁵⁵							
61-2		a m ²¹							
536-2		ʃ o ʔ ⁵⁵							
731-2		s a ²¹							
779-2		o ⁵¹							
589-2		kʰ a ŋ ⁵¹							
680-2		ŋ o ʔ ⁵⁵							
658-2		a m ²¹							
456-2		m j a ŋ ²¹							
183-2		k j i ²¹							
785-2		kʰ o ²¹							
714-2		a ²¹							
331-2		l o ²¹							
206-2		j o ⁵¹							
930-2		ŋ a p ⁵⁵							
353-2		l i ⁵¹							
161-2		k a ŋ ⁵¹							
814-2		k a ²¹							
179-2		k j o ʔ ²¹							
194-2		j o ʔ ²¹							
727-2		s a ŋ ⁵¹							
260-2		kʰ j a p ⁵⁵							
144-2		k a m ⁵¹							
53-2		p a m ⁵¹							
59-2		t o ʔ ²¹							
506-2		p i k ⁵⁵							
29-2		p i k ²¹							
316-2		k o ʔ ⁵⁵							
389-2		m j a ŋ ²¹							
118-2		m o ²¹							
312-2		kʰ o ²¹							
490-2		ŋ j i ⁵⁵							
436-2		m j a ²¹							
927-2		ŋ a ŋ ⁵¹							
383-2		m o ʔ ²¹							
211-2		j a m ⁵¹							
873-2		s i ŋ ⁵¹							
371-2		l i ŋ ²¹							
877-2		s a ⁵⁵							
344-2		l a m ⁵¹							
666-2		ŋ o ²¹							
595-2		a ŋ ²¹							
660-2		a p ²¹							
642-2		t a ŋ ⁵⁵							
257-2		kʰ j a m ⁵¹							
167-2		k j o ²¹							
880-2		t a p ⁵⁵							
337-2		j o ⁵¹							
484-2		n a ŋ ⁵¹							
574-2		j a m ²¹							
718-2		ʃ a ŋ ²¹							
811-2		k u ²¹							
458-2		t u ŋ ²¹							
884-2		p i ⁵⁵							
205-2		k u ʔ ²¹							
499-2		n e ⁵¹							
706-2		j o ⁵¹							
920-2		u ŋ ²¹							
36-2		p j a ŋ ²¹							
665-3			ŋ a ⁵⁵						
495-3			n au ³⁵						
838-3			j a ³¹						
438-3			m j a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l a ³¹						
394-3			m a ³¹						
221-3			j a ʔ ⁵⁵						
202-3			k au ³¹						
935-3			a ³¹						
93-3			l a ³¹						
7-3			p ɛ̃ ³¹						
664-3			v ɔ̃ ⁵⁵						
246-3			k a ʔ ⁵⁵						
547-3			ʃ a k ⁵⁵						
555-3			j ɛ̃ ⁵⁵						
464-3			m au ³¹						
119-3			a ⁵⁵						
835-3			n ɛ ʔ ⁵⁵						
79-3			t a ³¹						
693-3			ŋ au ⁵⁵						
477-3			n ɛ ʔ ³¹						
891-3			t a ŋ ³⁵						
528-3			a ⁵⁵						
797-3			k j au ʔ ⁵⁵						
493-3			n a k ³¹						
217-3			j ɛ ʔ ³¹						
896-3			t a ʔ ⁵⁵						
452-3			m j au ʔ ³¹						
580-3			ʃ a ʔ ⁵⁵						
833-3			n a̱ ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			ŋ a ⁵⁵						
86-3			t a ŋ ⁵⁵						
384-3			m ɛ̃ ³⁵						
61-3			t ɛ̃ ⁵⁵						
536-3			ʃ a ʔ ³¹						
779-3			a ⁵⁵						
589-3			kʰ ɔ̃ ⁵⁵						
680-3			ŋ a ʔ ⁵⁵						
456-3			m j ɔ̃ ³¹						
183-3			k j u ³¹						
785-3			kʰ a ³¹						
331-3			l a ³¹						
206-3			j a ⁵⁵						
930-3			ŋ ɛ̱ ʔ ⁵⁵						
353-3			l a ⁵⁵						
161-3			k ɔ̃ ⁵⁵						
179-3			k j a ʔ ³¹						
194-3			j a ʔ ³¹						
727-3			ʃ ɔ̃ ⁵⁵						
260-3			kʰ j ɛ ʔ ⁵⁵						
144-3			k ɛ̃ ⁵⁵						
53-3			p a ⁵⁵						
59-3			t a ʔ ³¹						
506-3			pʰ a k ⁵⁵						
29-3			p a k ⁵⁵						
316-3			tʃ a ʔ ³¹						
312-3			kʰ a ³¹						
436-3			m j a ³¹						
927-3			n ɛ̃ ⁵⁵						
383-3			m a ʔ ³¹						
211-3			j ɛ̃ ⁵⁵						
873-3			l a ŋ ⁵⁵						
371-3			l a ŋ ³¹						
877-3			s ɛ ³⁵						
344-3			l ɛ̃ ⁵⁵						
666-3			ŋ a ³¹						
595-3			t ɔ̃ ³¹						
660-3			v ɛ ʔ ³¹						
642-3			tʃʰ ɔ̃ ³⁵						
257-3			kʰ j ɛ̃ ⁵⁵						
167-3			k j a ³⁵						
880-3			t ɛ ʔ ⁵⁵						
337-3			a ⁵⁵						
484-3			n ɔ̃ ⁵⁵						
574-3			j a ³¹						
718-3			ʃ a ³¹						
811-3			kʰ i ³¹						
458-3			t ɔ̃ ŋ ³¹						
884-3			t a ³⁵						
205-3			k a ʔ ³¹						
499-3			n ai ⁵⁵						
706-3			ʃ a ⁵⁵						
920-3			a ŋ ³¹						
36-3			p j ɔ̃ ⁵⁵						
665-4				ŋ ɔː ³¹					
495-4				n uː ⁵⁵					
838-4				j ɔː ³¹					
438-4				m j ɔː ³¹					
334-4				l ɔː k ³¹					
360-4				l ə ⁵⁵					
394-4				m j i ⁵⁵					
221-4				j a p ³¹					
202-4				k uː ⁵⁵					
935-4				ɛː ⁵⁵					
93-4				s uː ⁵⁵					
7-4				p a n ⁵⁵					
664-4				j a ŋ ³¹					
246-4				k j a ʔ ⁵⁵					
547-4				ʃ əː k ⁵⁵					
555-4				j a m ³¹					
464-4				m a ⁵⁵					
119-4				j əː ŋ ³¹					
835-4				n a p ⁵⁵					
79-4				t uː ⁵⁵					
693-4				ŋ uː ³¹					
477-4				ŋ j a ⁵⁵					
891-4				t əː ŋ ⁵⁵					
528-4				j uː ³¹					
797-4				k j uː k ⁵⁵					
493-4				n əː k ³¹					
217-4				j a p ³¹					
896-4				tsʰ uː t ⁵⁵					
452-4				m j uː k ³¹					
580-4				ŋ uː k ⁵⁵					
833-4				n a ³¹					
390-4				m a ŋ ³³					
696-4				ŋ uː ³¹					
86-4				t a ŋ ³¹					
384-4				m a n ⁵⁵					
61-4				t a m ⁵⁵					
536-4				p a ŋ ⁵⁵					
