COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	pʰ u n															
2181-1	n ə̆ m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m a															
2017-1	h e															
1004-1	l a															
614-1	pʰ ou̯ h															
686-1	pʰ l oi̯															
88-1	k ă ʔ															
872-1	n ɨ ŋ															
1891-1	d a															
68-1	s i m															
631-1	b ə̆ n															
594-1	d a															
1759-1	h a n															
805-1	g i n															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː ʔ														
2163-2		g uː														
2181-2		n a m														
2060-2		ʔ e m														
410-2		d ai̯														
1841-2		m ai̯														
2017-2		h au̯														
1004-2		l aː														
614-2		b o h														
686-2		b l oːi̯														
88-2		ɲ oi̯ k														
872-2		n ɨ ŋ														
1891-2		d aː														
68-2		h ə m														
631-2		b oi̯														
594-2		k aː														
1759-2		h a n														
805-2		k ɨ n														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ u t													
2163-3			ɗ ɔː r													
2181-3			n a m													
2060-3			ʔ əː m													
410-3			d ai̯													
1841-3			m ɔːi̯													
2017-3			h i													
1004-3			l ɔːi̯													
614-3			d o h													
686-3			b l oi̯													
88-3			k a ʔ													
872-3			n u ŋ													
1891-3			ɗ ɔːi̯													
68-3			h i m													
631-3			k oi̯ n													
594-3			k ɔːi̯													
1759-3			h a n													
805-3			k i ŋ													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				g uː												
2181-4				n a m												
2060-4				ʔ ɛ m												
410-4				t aːi̯												
1841-4				m aːi̯												
2017-4				h aːi̯												
1004-4				l aːi̯												
614-4				pʰ o h												
686-4				pʰ l oːi̯												
88-4				p ɔː k												
872-4				n ɨ ŋ												
1891-4				t aːi̯												
68-4				h iː m												
631-4				p oi̯												
594-4				k aːi̯												
1759-4				h a n												
805-4				k ə n												
1859-5					ŋ iː											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					pʰ uː											
2181-5					n ə m											
2060-5					ʔ ɔ m											
410-5					ʔ ei̯											
1841-5					m ei̯											
2017-5					h ei̯											
1004-5					r̥ ei̯											
614-5					pʰ ɔ h											
