COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ u t															
2163-1	kʰ u n															
2181-1	n ə̆ m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m pʰ															
2017-1	h e															
1004-1	l ă															
614-1	b ou̯ h															
686-1	b l e															
88-1	k au̯ ʔ															
872-1	n ɨ ŋ															
1891-1	d ă															
68-1	s i m															
631-1	b ə̆ r															
594-1	g ă															
1759-1	h a ɲ															
805-1	g i ɲ															
756-1	h u ʔ															
1201-1	m oi̯ ʔ															
2042-1	ʔ ă															
1968-1	d ă ʔ															
2000-1	ă ŋ															
17-1	v ai̯ t															
4-1	pʰ ə m															
788-1	d ɛ															
1219-1	h i m															
141-1	ʔ ă ŋ															
541-1	b r j a ŋ															
1687-1	h u r															
123-1	ă m															
1652-1	c i ɲ															
576-1	ŋ ɔ															
1738-1	d a k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ai̯ t															
1859-2		ŋ ai̯														
175-2		g a														
241-2		ʔ uː ʔ														
2163-2		kʰ uː n														
2181-2		n u m														
2060-2		ʔ ɨː m														
410-2		d ai̯														
1841-2		m f														
2017-2		h ɔːi̯														
1004-2		l aː														
614-2		b o h														
686-2		b l i														
88-2		g ɔ k														
872-2		n ɨː ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b u n														
594-2		k aː														
1759-2		h a ɲ														
805-2		kʰ ɨː ɲ														
756-2		h ɨː k														
1201-2		m oːi̯ ʔ														
2042-2		ʔ aː														
1968-2		d ɔ ʔ														
2000-2		l aː ŋ														
17-2		v ɛ ʔ														
4-2		pʰ əː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		b oːi̯ dʑ a ŋ														
1687-2		h uː n														
123-2		aː m														
1652-2		dʑ ə n														
576-2		ŋ oː l														
1738-2		d a k														
442-2		h oː m														
368-2		d dʑ a ŋ														
1778-2		b ɛ ʔ														
1859-3			ŋ ɔːi̯													
175-3			g a													
241-3			ʔ uː t													
2163-3			kʰ uː r													
2181-3			n a m													
2060-3			ʔ ɨː m													
410-3			ɗ ai̯													
1841-3			m aːu̯													
2017-3			h iː													
1004-3			l aː													
614-3			ɓ o h													
686-3			b l iː													
88-3			g a ʔ													
872-3			n ɲ ŋ													
1891-3			ɗ aː													
68-3			s i m													
631-3			ɓ o r													
594-3			k aː													
1759-3			h a ɲ													
805-3			k ɨː ɲ													
756-3			h ɲ ʔ													
1201-3			m oi̯ t													
2042-3			ʔ aː													
1968-3			ɗ a ʔ													
2000-3			aː ŋ													
17-3			v ai̯ ʔ													
4-3			pʰ ɯ m													
788-3			ɗ ɔːi̯													
1219-3			h i m													
141-3			ʔ aː ŋ													
541-3			b r j a ŋ													
1687-3			h uː r													
123-3			aː m													
1652-3			dʑ i ŋ													
576-3			ŋ ɔː													
1738-3			ɗ a g													
442-3			h ɔː m													
368-3			ɗ j a ŋ													
1778-3			ɓ ɛ ʔ													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				v uː												
2181-4				n a m												
2060-4				ʔ ɲ m												
410-4				t aːi̯												
1841-4				m aːu̯												
2017-4				h ə												
1004-4				l aː												
614-4				p o h												
686-4				p l iː												
88-4				g ai̯ k												
872-4				n o ŋ												
1891-4				t aː												
68-4				s i m												
631-4				p a ai̯												
594-4				k aː												
1759-4				h a ɲ												
805-4				k ə n												
756-4				h o k												
1201-4				m oːi̯ ʔ												
2042-4				ʔ aː												
1968-4				t ɔː ʔ												
2000-4				aː ŋ												
17-4				v ɛ t												
4-4				pʰ əː m												
788-4				t ai̯												
1219-4				h i m												
141-4				ʔ aː ŋ												
541-4				p ai̯ dʑ a ŋ												
1687-4				h uː ai̯												
123-4				aː m												
1652-4				dʑ ə n												
576-4				ŋ ai̯												
1738-4				t a k												
442-4				h ɔː m												
368-4				t dʑ a ŋ												
1778-4				b ɛ t												
1859-5					ŋ iː											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					kʰ uː r											
2181-5					n a m											
2060-5					ʔ ɨː m											
410-5					g ei̯											
1841-5					m f											
2017-5					h ei̯											
1004-5					l aː											
614-5					b au̯ h											
686-5					b l ei̯											
88-5					ʔ a ʔ											
872-5					n ɨː ŋ											
1891-5					g aː											
68-5					s i m											
631-5					b ə r											
594-5					k aː											
1759-5					h a ŋ											
805-5					k ɨː ŋ											
756-5					h ɨː ʔ											
1201-5					m w ʔ											
2042-5					ʔ a											
1968-5					ɗ a ʔ											
2000-5					r̥ aː ŋ											
17-5					ɓ ai̯ ʔ											
4-5					pʰ əː m											
788-5					g ei̯											
1219-5					h i m											
141-5					ʔ aː ŋ											
541-5					b r j a ŋ											
1687-5					h uː r											
123-5					aː m											
1652-5					dʑ ə ŋ											
576-5					ŋ w r̥											
1738-5					g ɨ ʔ											
442-5					h oː m											
368-5					g j a ŋ											
1778-5					b ai̯ ʔ											
1859-6						ŋ iː										
175-6						k a										
241-6						ʔ uː ʔ										
2163-6						k uː r										
2181-6						n a m										
2060-6						ʔ ɨː m										
410-6						ɗ ei̯										
1841-6						m f										
2017-6						h ei̯										
1004-6						l aː										
614-6						b o h										
686-6						b l i										
88-6						ʔ a ʔ										
872-6						n ɨː ŋ										
1891-6						g aː										
68-6						s i m										
631-6						b aː r										
594-6						k aː										
1759-6						h a ŋ										
805-6						k iː ŋ										
756-6						h ɨː ʔ										
1201-6						m w ʔ										
2042-6						ʔ aː										
1968-6						ɗ a ʔ										
2000-6						r aː ŋ										
17-6						ɓ ai̯ ʔ										
4-6						pʰ əː m										
788-6						g iː										
1219-6						h i m										
141-6						ʔ aː ŋ										
541-6						b r j a ŋ										
1687-6						h uː r										
123-6						aː m										
1652-6						dʑ iː ŋ										
576-6						ŋ a r										
1738-6						g a ʔ										
442-6						h oː m										
368-6						ɗ j a ŋ										
1778-6						b ai̯ ʔ										
1859-7							ŋ ai̯									
175-7							k a									
241-7							ʔ uː ʔ									
2163-7							l uː									
2181-7							n a m									
2060-7							ʔ ɨː m									
410-7							t aːi̯									
1841-7							m aːu̯									
2017-7							h i									
1004-7							l aː									
614-7							p o h									
686-7							p l i									
88-7							g ai̯ k									
872-7							n ɨː ŋ									
1891-7							t aː									
68-7							s i m									
631-7							p ə n									
594-7							k aː									
1759-7							h a ɲ									
805-7							k i n									
756-7							h ɨː k									
1201-7							m oːi̯ ʔ									
2042-7							ʔ aː									
